station_id,status,note
450010-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450030-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450040-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450050-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450060-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450070-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450090-99999,QUARANTINE_METADATA,Suspicious coordinate evidence in prior artifacts; do not use physically until verified.
450100-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450110-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450200-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450320-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450330-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450340-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450350-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450390-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450410-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450440-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
450450-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
590750-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
590870-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
590960-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592710-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592730-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592780-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592800-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592870-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592930-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
592980-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
593030-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
593090-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
594780-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
594880-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
594930-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
595010-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
595050-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
596730-99999,DISCOVER_AND_VERIFY,Seed only; discover all repository stations and map metadata.
