file_date,trade_date,cutoff_utc,entry_time_utc,entry_time_stockholm,side,bucket_label,actual_tmax_f,model_p_bucket,model_p_win,market_prob_side,edge,yes_price_c,no_price_c,entry_price_c,stake,shares,win,pnl,balance_after,note
2025-12-01,2025-12-01,2025-12-01 18:00:00+00:00,,,,,43,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-02,2025-12-02,2025-12-02 18:00:00+00:00,,,,,42,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-03,2025-12-03,2025-12-03 18:00:00+00:00,,,,,42,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-04,2025-12-04,2025-12-04 18:00:00+00:00,,,,,43,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-05,2025-12-05,2025-12-05 18:00:00+00:00,,,,,32,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-06,2025-12-06,2025-12-06 18:00:00+00:00,,,,,43,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-07,2025-12-07,2025-12-07 18:00:00+00:00,,,,,43,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-08,2025-12-08,2025-12-08 18:00:00+00:00,,,,,40,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-09,2025-12-09,2025-12-09 18:00:00+00:00,,,,,35,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-10,2025-12-10,2025-12-10 18:00:00+00:00,,,,,47,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-11,2025-12-11,2025-12-11 18:00:00+00:00,,,,,41,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-12,2025-12-12,2025-12-12 18:00:00+00:00,,,,,36,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-13,2025-12-13,2025-12-13 18:00:00+00:00,,,,,41,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-14,2025-12-14,2025-12-14 18:00:00+00:00,,,,,34,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-15,2025-12-15,2025-12-15 18:00:00+00:00,,,,,30,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-16,2025-12-16,2025-12-16 18:00:00+00:00,,,,,33,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-17,2025-12-17,2025-12-17 18:00:00+00:00,,,,,48,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-18,2025-12-18,2025-12-18 18:00:00+00:00,,,,,51,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-19,2025-12-19,2025-12-19 18:00:00+00:00,,,,,58,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-20,2025-12-20,2025-12-20 18:00:00+00:00,,,,,38,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-21,2025-12-21,2025-12-21 18:00:00+00:00,,,,,47,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-22,2025-12-22,2025-12-22 18:00:00+00:00,,,,,40,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-23,2025-12-23,2025-12-23 18:00:00+00:00,,,,,41,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-24,2025-12-24,2025-12-24 18:00:00+00:00,,,,,46,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-25,2025-12-25,2025-12-25 18:00:00+00:00,,,,,48,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-26,2025-12-26,2025-12-26 18:00:00+00:00,,,,,28,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-27,2025-12-27,2025-12-27 18:00:00+00:00,,,,,31,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-28,2025-12-28,2025-12-28 18:00:00+00:00,,,,,37,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-29,2025-12-29,2025-12-29 18:00:00+00:00,,,,,50,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-30,2025-12-30,2025-12-30 18:00:00+00:00,,,,,33,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
2025-12-31,2025-12-31,2025-12-31 18:00:00+00:00,,,,,33,,,,,,,,108.0,,,0.0,2700.0,no_entry_signal
