file_date,trade_date,bucket_label,side,model_win_pct,bucket_win_pct,ev_produced,entry_price,entry_time_stockholm,eod_price,actual_tmax_f,result
2025-12-01,2025-11-30,47°F or higher,YES,100.0,1.15,0.9885,1.15,2025-11-30T19:00:00+01:00,0.1,47,L
2025-12-02,2025-12-01,43°F or higher,YES,97.569653,20.5,0.770697,20.5,2025-12-01T19:00:00+01:00,27.5,43,W
2025-12-03,2025-12-02,39-40°F,NO,100.0,43.5,0.565,43.5,2025-12-02T19:00:00+01:00,35.5,42,L
2025-12-05,2025-12-04,37°F or higher,YES,100.0,1.75,0.9825,1.75,2025-12-04T19:00:00+01:00,3.25,43,W
2025-12-06,2025-12-05,33°F or below,YES,77.156889,0.05,0.771069,0.05,2025-12-05T19:00:00+01:00,0.05,32,L
2025-12-07,2025-12-06,40-41°F,NO,100.0,51.0,0.49,51.0,2025-12-06T19:00:00+01:00,67.0,43,W
2025-12-08,2025-12-07,37°F or higher,YES,100.0,20.0,0.8,20.0,2025-12-07T19:00:00+01:00,99.95,43,W
2025-12-09,2025-12-08,39°F or higher,YES,100.0,2.8,0.972,2.8,2025-12-08T19:00:00+01:00,0.7,40,L
2025-12-10,2025-12-09,39°F or below,YES,97.541701,1.85,0.956917,1.85,2025-12-09T19:00:00+01:00,0.15,35,L
2025-12-11,2025-12-10,42°F or higher,YES,100.0,37.0,0.63,37.0,2025-12-10T19:00:00+01:00,0.05,47,L
2025-12-12,2025-12-11,39-40°F,YES,65.314435,7.2,0.581144,7.2,2025-12-11T19:00:00+01:00,6.05,41,L
2025-12-13,2025-12-12,40-41°F,NO,96.131761,60.0,0.361318,60.0,2025-12-12T19:00:00+01:00,39.5,36,L
2025-12-14,2025-12-13,38°F or higher,YES,100.0,13.5,0.865,13.5,2025-12-13T19:00:00+01:00,0.05,41,L
2025-12-15,2025-12-14,34°F or higher,YES,100.0,3.0,0.97,3.0,2025-12-14T19:00:00+01:00,0.3,34,L
2025-12-16,2025-12-15,33°F or below,YES,81.02306,31.0,0.500231,31.0,2025-12-15T19:00:00+01:00,78.0,30,W
2025-12-17,2025-12-16,37°F or below,YES,96.697653,4.45,0.922477,4.45,2025-12-16T19:00:00+01:00,0.05,33,L
2025-12-18,2025-12-17,50°F or higher,NO,93.940634,38.0,0.559406,38.0,2025-12-17T19:00:00+01:00,41.0,48,W
2025-12-19,2025-12-18,56-57°F,NO,97.789577,56.5,0.412896,56.5,2025-12-18T19:00:00+01:00,43.5,51,L
2025-12-21,2025-12-20,46-47°F,NO,96.874185,59.0,0.378742,59.0,2025-12-20T19:00:00+01:00,57.5,38,L
2025-12-22,2025-12-21,42°F or higher,YES,100.0,10.5,0.895,10.5,2025-12-21T19:00:00+01:00,4.5,47,L
2025-12-24,2025-12-23,44-45°F,NO,78.637937,45.0,0.336379,45.0,2025-12-23T19:00:00+01:00,31.0,41,L
2025-12-25,2025-12-24,44°F or higher,YES,100.0,84.5,0.155,84.5,2025-12-24T19:00:00+01:00,98.5,46,W
2025-12-26,2025-12-25,34°F or higher,YES,100.0,8.0,0.92,8.0,2025-12-25T19:00:00+01:00,3.75,48,L
2025-12-27,2025-12-26,32-33°F,NO,91.833173,49.0,0.428332,49.0,2025-12-26T19:00:00+01:00,81.5,28,W
2025-12-28,2025-12-27,30-31°F,YES,66.584029,0.25,0.66334,0.25,2025-12-27T19:00:00+01:00,0.2,31,L
2025-12-29,2025-12-28,37°F or below,YES,89.4213,0.4,0.890213,0.4,2025-12-28T19:00:00+01:00,0.05,37,L
2025-12-30,2025-12-29,38°F or higher,YES,100.0,4.65,0.9535,4.65,2025-12-29T19:00:00+01:00,0.5,50,L
2025-12-31,2025-12-30,32-33°F,NO,74.838162,49.0,0.258382,49.0,2025-12-30T19:00:00+01:00,38.0,33,L
