alias_status,canonical_station_id,daily_bright_sunshine_duration_end,daily_bright_sunshine_duration_start,daily_cloud_to_cloud_lightning_end,daily_cloud_to_cloud_lightning_start,daily_cloud_to_ground_lightning_end,daily_cloud_to_ground_lightning_start,daily_daily_maximum_temperature_end,daily_daily_maximum_temperature_start,daily_daily_minimum_temperature_end,daily_daily_minimum_temperature_start,daily_daily_rainfall_end,daily_daily_rainfall_start,daily_evaporation_end,daily_evaporation_start,daily_global_solar_radiation_end,daily_global_solar_radiation_start,daily_grass_minimum_temperature_end,daily_grass_minimum_temperature_start,daily_mean_cloud_amount_end,daily_mean_cloud_amount_start,daily_mean_dew_point_temperature_end,daily_mean_dew_point_temperature_start,daily_mean_relative_humidity_end,daily_mean_relative_humidity_start,daily_mean_sea_level_pressure_end,daily_mean_sea_level_pressure_start,daily_mean_temperature_end,daily_mean_temperature_start,daily_mean_wet_bulb_temperature_end,daily_mean_wet_bulb_temperature_start,daily_mean_wind_speed_end,daily_mean_wind_speed_start,daily_prevailing_wind_direction_end,daily_prevailing_wind_direction_start,daily_reduced_visibility_hours_end,daily_reduced_visibility_hours_start,daily_sea_temperature_am_end,daily_sea_temperature_am_start,daily_sea_temperature_end,daily_sea_temperature_pm_end,daily_sea_temperature_pm_start,daily_sea_temperature_start,elevation_m,feed_membership,latitude,longitude,network,notes,official_code_status,official_station_code,selected_hf_end,selected_hf_start,source_evidence,station_name,target_station,temperature_cutoff_end,temperature_cutoff_rows,temperature_cutoff_start
unmerged_name_preserved,hko_name:central_pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind_10min,,,HKO,,pending_official_metadata_resolution,,,,goal_required_station_list,Central Pier,False,,,
unmerged_name_preserved,hko_name:chek_lap_kok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"humidity_1min,latest_10min_wind:max_wind_gust_kmh,latest_10min_wind:mean_wind_speed_kmh,pressure_1min,silver_cutoff_temperature,since_midnight_maxmin,temperature_1min,wind_10min",,,HKO,,pending_official_metadata_resolution,,2026-06-18 15:30:00+08:00,2021-12-29 08:50:00+08:00,"C:\hkg_tmax_data\bronze\analysis_phase_a\hko_high_frequency_selected_station_observations.parquet,C:\hkg_tmax_data\silver\observations\hko_station_temperature_cutoff_summary.parquet,goal_required_station_list",Chek Lap Kok,False,2026-06-18,1951,2020-06-30
unmerged_name_preserved,hko_name:cheung_chau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"humidity_1min,latest_10min_wind:max_wind_gust_kmh,latest_10min_wind:mean_wind_speed_kmh,pressure_1min,silver_cutoff_temperature,since_midnight_maxmin,temperature_1min,wind_10min",,,HKO,,pending_official_metadata_resolution,,2026-06-18 15:30:00+08:00,2021-12-29 08:50:00+08:00,"C:\hkg_tmax_data\bronze\analysis_phase_a\hko_high_frequency_selected_station_observations.parquet,C:\hkg_tmax_data\silver\observations\hko_station_temperature_cutoff_summary.parquet,goal_required_station_list",Cheung Chau,False,2026-06-18,1926,2020-06-30
unmerged_name_preserved,hko_name:cheung_chau_beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind_10min,,,HKO,,pending_official_metadata_resolution,,,,goal_required_station_list,Cheung Chau Beach,False,,,
unmerged_name_preserved,hko_name:clear_water_bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"humidity_1min,silver_cutoff_temperature,since_midnight_maxmin,temperature_1min",,,HKO,,pending_official_metadata_resolution,,,,"C:\hkg_tmax_data\silver\observations\hko_station_temperature_cutoff_summary.parquet,goal_required_station_list",Clear Water Bay,False,2026-06-18,1931,2020-06-30
unmerged_name_preserved,hko_name:green_island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"latest_10min_wind:max_wind_gust_kmh,latest_10min_wind:mean_wind_speed_kmh,wind_10min",,,HKO,,pending_official_metadata_resolution,,2026-06-18 15:30:00+08:00,2021-12-29 08:50:00+08:00,"C:\hkg_tmax_data\bronze\analysis_phase_a\hko_high_frequency_selected_station_observations.parquet,goal_required_station_list",Green Island,False,,,
unmerged_name_preserved,hko_name:hk_observatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"humidity_1min,latest_1min_humidity:relative_humidity_pct,latest_1min_pressure:msl_pressure_hpa,latest_1min_temperature:air_temperature_c,latest_since_midnight_maxmin:temperature_since_midnight_max_c,latest_since_midnight_maxmin:temperature_since_midnight_min_c,pressure_1min,silver_cutoff_temperature,since_midnight_maxmin,temperature_1min",,,HKO,,pending_official_metadata_resolution,,2026-06-18 15:30:00+08:00,2020-06-30 09:00:00+08:00,"C:\hkg_tmax_data\bronze\analysis_phase_a\hko_high_frequency_selected_station_observations.parquet,C:\hkg_tmax_data\silver\observations\hko_station_temperature_cutoff_summary.parquet,goal_required_station_list",HK Observatory,True,2026-06-18,1952,2020-06-30
unmerged_name_preserved,hko_name:hk_park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"humidity_1min,silver_cutoff_temperature,since_midnight_maxmin,temperature_1min",,,HKO,,pending_official_metadata_resolution,,,,"C:\hkg_tmax_data\silver\observations\hko_station_temperature_cutoff_summary.parquet,goal_required_station_list",HK Park,False,2026-06-18,1933,2020-06-30
unmerged_name_preserved,hko_name:happy_valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"silver_cutoff_temperature,since_midnight_maxmin,temperature_1min",,,HKO,,pending_official_metadata_resolution,,,,"C:\hkg_tmax_data\silver\observations\hko_station_temperature_cutoff_summary.parquet,goal_required_station_list",Happy Valley,False,2026-06-18,1945,2020-06-30
unmerged_name_preserved,hko_name:hong_kong_international_airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31,1997-01-01,,,,,,,,daily_climate:reduced_visibility_hours,,,HKO,,pending_official_metadata_resolution,,,,"C:\hkg_tmax_data\bronze\analysis_phase_a\hko_daily_climate_elements.parquet,goal_required_station_list",Hong Kong International Airport,False,,,
unmerged_name_preserved,hko:HKO,,,,,,,2026-05-31,1884-01-01,2026-05-31,1884-01-01,2026-05-31,1884-03-01,,,,,2026-05-31,1968-01-01,2026-05-31,1949-01-01,2026-05-31,1961-01-01,2026-05-31,1947-01-01,2026-05-31,1884-03-01,2026-05-31,1884-03-01,2026-05-31,1947-01-01,,,,,,,,,,,,,32,"daily_climate:daily_maximum_temperature,daily_climate:daily_minimum_temperature,daily_climate:daily_rainfall,daily_climate:grass_minimum_temperature,daily_climate:mean_cloud_amount,daily_climate:mean_dew_point_temperature,daily_climate:mean_relative_humidity,daily_climate:mean_sea_level_pressure,daily_climate:mean_temperature,daily_climate:mean_temperature,max_temperature,min_temperature,mean_sea_level_pressure,dew_point_temperature,wet_bulb_temperature,relative_humidity,cloud_amount,rainfall,grass_minimum_temperature,daily_climate:mean_wet_bulb_temperature",22.301944,114.174167,HKO,,configured_target_candidate_pending_g1,HKO,,,"C:\hkg_tmax_data\bronze\analysis_phase_a\hko_daily_climate_elements.parquet,C:\hkg_tmax_data\metadata\static_context\station_registry.parquet,goal_required_station_list",Hong Kong Observatory,True,,,
unmerged_name_preserved,hko_name:hong_kong_sea_school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind_10min,,,HKO,,pending_official_metadata_resolution,,,,goal_required_station_list,Hong Kong Sea School,False,,,
