station_id,STATION NAME,CTRY,ICAO,LAT,LON,ELEV(M),BEGIN,END,distance_km,bearing_deg,tier,role,research_note
450050-99999,HONG KONG OBSERVATORY,CH,,22.3,114.167,62.0,19460901,20180930,0.0,0.0,A,Target/local urban reference,Direct HKO observation reference; historical station series and local urban thermal state.
450390-99999,SHA TIN,CH,,22.4,114.2,8.0,20040713,20250824,11.625869594463575,16.966431770611166,A,Inland/valley New Territories,Strong inland heating and cool-surge penetration indicator.
450450-99999,WAGLAN ISLAND,CH,,22.183,114.3,60.0,20040122,20250824,18.884707396387636,133.51845044278923,A,Offshore east/marine,"Marine airflow, dewpoint, wind and sea-breeze regime indicator."
450440-99999,CHEUNG CHAU,CH,,22.2,114.017,79.0,20020313,20250824,19.025077815957136,234.263218156913,A,Offshore southwest/island,Marine western approach and southwest flow indicator.
450340-99999,TAI MEI TUK,CH,,22.483,114.233,53.0,19921204,20230319,21.450217709579704,18.429084568308383,A,Northeast coastal/reservoir,Northeast monsoon and eastern marine penetration indicator.
450070-99999,HONG KONG INTL,HK,VHHH,22.309,113.915,8.5,19481231,20250824,25.943884354778422,272.2584815637678,A,Airport/open west coast,Open-exposure western air mass and airport thermal state.
450320-99999,TA KWU LING,CH,,22.533,114.15,13.0,19921204,20250824,25.96728286720018,356.1445892420337,A,Far north inland,Continental/inland heating and cool-surge state.
450350-99999,LAU FAU SHAN,CH,,22.467,113.983,35.0,20040713,20250824,26.509077362333528,314.50194562335946,A,Northwest coast/estuary,Pearl River estuary and northwest marine/continental contrast.
594930-99999,BAOAN INTL,CH,ZGSZ,22.639,113.811,4.0,19570601,20250824,52.52640408904244,315.9278527384847,A,Shenzhen/Baoan airport mainland,Mainland urban/open exposure north-west of HKO; strong cross-border heat/advection signal.
450110-99999,MACAU INTL,MC,VMMC,22.15,113.592,6.1,19510320,20250824,61.49212169350101,254.37071184079372,A,Macau airport southwest marine,Southwest marine/open exposure and Pearl River Delta state.
595010-99999,SHANWEI,CH,,22.783,115.367,5.0,19560820,20250824,134.43324977443731,66.22353856452918,A,Shanwei east coast,Eastern coastal upstream state under easterly flow.
592870-99999,BAIYUN INTL,CH,ZGGG,23.392,113.299,15.2,19451130,20250824,150.51552993657924,323.9442237739236,A,Guangzhou/Baiyun inland metropolis,Regional inland heat level and Pearl River Delta air-mass state.
596730-99999,SHANGCHUAN DAO,CH,,21.733,112.767,18.0,19591101,20250824,157.48976465338188,246.66508940607693,A,Shangchuan Dao southwest marine,Southwest marine/upstream monsoon state.
592930-99999,HEYUAN,CH,,23.8,114.733,41.0,19560820,20250824,176.55924833292787,19.037266122138533,A,Heyuan north-northeast inland,Cool-surge and continental air-mass precursor.
590870-99999,FOGANG,CH,,23.883,113.517,68.0,19570602,20250824,188.15823624403694,339.43440313171004,A,Fogang north inland,Northern continental/cool-surge precursor and inland heating state.
592780-99999,GAOYAO,CH,,23.05,112.467,12.0,19570601,20250824,193.32984128514695,295.87991772372357,A,Gaoyao west inland,Western inland heat and pressure/moisture advection.
590960-99999,LIANPING,CH,,24.367,114.483,214.0,19570602,20250824,232.09301269547203,7.92856035575619,A,Lianping far north,Deep continental/cool-surge precursor and pressure tendency.
450040-99999,KOWLOON,CH,,22.312,114.173,66.4,19791102,19971231,1.4701879397747686,24.823414016071524,B,Very-near urban/Kowloon,Local urban microclimate contrast; historical-only coverage.
450010-99999,CHEUNG CHAU,CH,VHCH,22.2,114.017,79.0,19730101,19971223,19.025077815957136,234.263218156913,B,Offshore southwest/island historical,Earlier Cheung Chau identifier; merge carefully with 450440 using date-effective station identity.
450030-99999,TAI-O,CH,,22.25,113.85,76.0,19770514,20020820,33.08878278226951,260.38709212324045,B,Western Lantau/coastal historical,Western marine influence; ends 2002.
592980-99999,HUI-YANG,CH,,23.083,114.417,16.0,19570603,19971231,90.76439458444014,16.365350123213602,B,Huizhou/Huiyang northeast historical,Northeast mainland advection/humidity indicator; historical coverage.
594780-99999,TAI-SHAN,CH,,22.267,112.783,46.0,19560820,19971231,142.4475995044708,268.78639167289344,B,Taishan west mainland historical,Western regional heat/advection indicator; ends 1997.
593030-99999,SONG-LIN-BA,CH,,23.967,115.967,152.0,19570601,19971231,261.2124555640404,44.447345058168196,B,Songlinba far northeast historical,Historical upstream east/northeast synoptic state.
592710-99999,HUAIJI,CH,,23.95,112.2,57.0,19570601,19971231,272.24387334293573,312.75143493861674,B,Huaiji northwest historical,Historical northwest inland air-mass indicator.
450090-99999,TAI MO SHAN,CH,,22.417,114.117,947.0,19471231,19560331,13.989027676872668,338.44443412572105,C,High mountain,Historical upper-elevation synoptic/thermal contrast; ends 1956.
450330-99999,KAT O,CH,,22.533,114.3,10.0,19921204,19990604,29.294255504664683,27.794494374816622,C,Northeast island/coastal historical,Useful historical marine-east sensor; ends 1999.
595050-99999,APPROXIMATE LOCALE,CH,,22.5,115.5,0.0,19830201,20011016,138.83106030771398,80.52868304716378,C,Approximate east-coast locale,Metadata identity uncertain; use only after station audit.
592800-99999,QING YUAN,CH,,23.7,113.083,19.0,19990207,19991203,191.1640460791295,324.7315612192259,C,Qingyuan north-west historical,One-year historical regional inland signal.
450060-99999,GREEN ISLAND,CH,,22.283,114.117,76.0,20010707,20010707,5.480559692932972,249.83302755536425,D,West-harbour/island,Only one day in station history; effectively unusable for robust modelling.
450410-99999,TSEUNG KAWN O,CH,,22.317,114.25,32.0,20040604,20040604,8.745151058922215,77.50091406594834,D,East urban/coastal,Only one day in station history; unusable until other source history exists.
450100-99999,TATE'S CAIRN,CH,,22.367,114.217,576.0,20011226,20011226,9.052663835371938,34.60740773529761,D,Elevated hill/synoptic,Only one day in station history; not robust.
450200-99999,MACAO/FORTALEZA DO MONTE,MC,,22.183,113.533,59.0,20120823,20120823,66.53655364742232,258.8445031733791,D,Macau urban hill,One-day record in this archive; not robust.
594880-99999,ZHUHAI SANZAO,CH,,22.017,113.383,3.0,19740611,19741125,86.65381078305995,248.8545701219328,D,Zhuhai/Sanzao southwest,Very short 1974 coverage; low robust value.
593090-99999,DAPING,CH,,23.183,115.85,97.0,19740421,19751221,198.5629245338472,60.041811522574676,D,Daping east-northeast historical,Very short 1970s coverage.
592730-99999,QINGCHENG,CH,,23.667,112.867,20.0,19740112,19741024,202.02350518892865,319.0499333625542,D,Qingcheng northwest historical,Very short 1974 coverage.
590750-99999,YANGSHAN,CH,,24.483,112.633,64.0,19731004,19741013,288.8362099309494,327.4814460393846,D,Yangshan far north historical,Very short 1973–74 coverage.
