status,old_path,new_path,area,purpose
A,,apps/ingestion-service/.gitignore,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/AGENTS.md,applications,deployable service relocation or runtime hardening
A,,apps/ingestion-service/README.md,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/asof_multi_model/fetch_kmia_tmax_asof_multi_model.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/config/jobs.yml,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/nbm_asof_tool/fetch_nbm_tmax_asof.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/run-knyc-pilot.ps1,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/download_iem_mos_kncy_archive.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/iem_minute_bulk_download.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/kalshi_api.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/kalshi_download_kxhighmia_minute.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/kalshi_download_temperature_minute.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/polymarket_download_nyc_daily_wide.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/scripts/weathercom_download_to_csv.py,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/IngestionServiceApplication.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/backfill/BackfillCommandLineRunner.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/config/CliSettlementIngestionProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/config/GribstreamTrainingDataProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/config/GribstreamTransferProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/config/MosTrainingDataProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/config/PipelineProperties.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/gribstream/GribstreamClient.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/gribstream/GribstreamExampleRunner.java,applications,deployable service relocation or runtime hardening
M,,apps/ingestion-service/src/main/java/com/predictionmarkets/weather/gribstream/GribstreamExecutorProperties.java,applications,deployable service relocation or runtime hardening
