feature,feature_family,asof_rule,production_allowed,diagnostic_only,leakage_status,null_percent_all_cutoffs,dtype
analog_abs_resid_mean_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_abs_resid_mean_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_abs_resid_mean_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_available,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,bool
analog_effective_sample_size_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_effective_sample_size_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_effective_sample_size_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_nearest_distance_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_nearest_distance_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_nearest_distance_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_large_negative_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_large_negative_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_large_negative_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_large_positive_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_large_positive_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_large_positive_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_positive_resid_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_positive_resid_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_prob_positive_resid_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_idw_mean_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_idw_mean_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_idw_mean_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_mean_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_mean_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_mean_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_median_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_median_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_median_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_p25_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_p25_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_p25_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_p75_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_p75_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_p75_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_recency_weighted_mean_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_recency_weighted_mean_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_recency_weighted_mean_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_trimmed_mean_100,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_trimmed_mean_25,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
analog_resid_trimmed_mean_50,analog,prior calendar years only inside each cutoff family,True,False,pass,0.0,float64
bright_sunshine_duration_delta_lag2_minus_lag3,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
bright_sunshine_duration_delta_lag2_minus_lag7,climate|no_official,HKO daily climate variables only through T-2,True,False,pass,0.0,float64
