brightness_temp_c_bin_left,brightness_temp_c_bin_right,pixel_count
-204.0,-203.0,435
-203.0,-202.0,0
-202.0,-201.0,0
-201.0,-200.0,0
-200.0,-199.0,0
-199.0,-198.0,0
-198.0,-197.0,0
-197.0,-196.0,0
-196.0,-195.0,0
-195.0,-194.0,0
-194.0,-193.0,0
-193.0,-192.0,0
-192.0,-191.0,0
-191.0,-190.0,0
-190.0,-189.0,0
-189.0,-188.0,0
-188.0,-187.0,0
-187.0,-186.0,0
-186.0,-185.0,0
-185.0,-184.0,0
-184.0,-183.0,0
-183.0,-182.0,0
-182.0,-181.0,0
-181.0,-180.0,0
-180.0,-179.0,0
-179.0,-178.0,0
-178.0,-177.0,0
-177.0,-176.0,0
-176.0,-175.0,0
-175.0,-174.0,0
-174.0,-173.0,0
-173.0,-172.0,0
-172.0,-171.0,0
-171.0,-170.0,0
-170.0,-169.0,0
-169.0,-168.0,0
-168.0,-167.0,0
-167.0,-166.0,0
-166.0,-165.0,0
-165.0,-164.0,0
-164.0,-163.0,0
-163.0,-162.0,1463
-162.0,-161.0,0
-161.0,-160.0,0
-160.0,-159.0,0
-159.0,-158.0,0
-158.0,-157.0,0
-157.0,-156.0,0
-156.0,-155.0,3053
-155.0,-154.0,0
-154.0,-153.0,0
-153.0,-152.0,0
-152.0,-151.0,3684
-151.0,-150.0,0
-150.0,-149.0,0
-149.0,-148.0,3265
-148.0,-147.0,0
-147.0,-146.0,0
-146.0,-145.0,2434
-145.0,-144.0,0
-144.0,-143.0,2060
-143.0,-142.0,0
-142.0,-141.0,1589
-141.0,-140.0,1168
-140.0,-139.0,0
-139.0,-138.0,935
-138.0,-137.0,710
-137.0,-136.0,0
-136.0,-135.0,632
-135.0,-134.0,592
-134.0,-133.0,505
-133.0,-132.0,451
-132.0,-131.0,411
-131.0,-130.0,389
-130.0,-129.0,344
-129.0,-128.0,624
-128.0,-127.0,260
-127.0,-126.0,252
-126.0,-125.0,521
-125.0,-124.0,266
-124.0,-123.0,499
-123.0,-122.0,272
-122.0,-121.0,529
-121.0,-120.0,541
-120.0,-119.0,507
-119.0,-118.0,444
-118.0,-117.0,411
-117.0,-116.0,394
-116.0,-115.0,347
-115.0,-114.0,320
-114.0,-113.0,482
-113.0,-112.0,287
-112.0,-111.0,476
-111.0,-110.0,480
-110.0,-109.0,478
-109.0,-108.0,481
-108.0,-107.0,552
-107.0,-106.0,821
-106.0,-105.0,926
-105.0,-104.0,843
-104.0,-103.0,518
-103.0,-102.0,500
-102.0,-101.0,273
-101.0,-100.0,177
-100.0,-99.0,87
-99.0,-98.0,68
-98.0,-97.0,49
-97.0,-96.0,67
-96.0,-95.0,55
-95.0,-94.0,47
-94.0,-93.0,42
-93.0,-92.0,42
-92.0,-91.0,34
-91.0,-90.0,37
-90.0,-89.0,24
-89.0,-88.0,42
-88.0,-87.0,43
-87.0,-86.0,36
-86.0,-85.0,49
-85.0,-84.0,50
-84.0,-83.0,36
-83.0,-82.0,32
-82.0,-81.0,59
-81.0,-80.0,70
-80.0,-79.0,78
-79.0,-78.0,113
-78.0,-77.0,180
-77.0,-76.0,250
-76.0,-75.0,306
-75.0,-74.0,564
-74.0,-73.0,817
-73.0,-72.0,950
-72.0,-71.0,1146
-71.0,-70.0,1355
-70.0,-69.0,1655
-69.0,-68.0,1889
-68.0,-67.0,2318
-67.0,-66.0,2520
-66.0,-65.0,2969
-65.0,-64.0,3339
-64.0,-63.0,3862
-63.0,-62.0,4433
-62.0,-61.0,4459
-61.0,-60.0,5227
-60.0,-59.0,5925
-59.0,-58.0,5944
-58.0,-57.0,6873
-57.0,-56.0,7376
-56.0,-55.0,7870
-55.0,-54.0,8894
-54.0,-53.0,9102
-53.0,-52.0,10813
-52.0,-51.0,12449
-51.0,-50.0,12231
-50.0,-49.0,13721
-49.0,-48.0,15241
-48.0,-47.0,15107
-47.0,-46.0,16659
-46.0,-45.0,16499
-45.0,-44.0,16745
-44.0,-43.0,17796
-43.0,-42.0,17599
-42.0,-41.0,17299
-41.0,-40.0,17056
-40.0,-39.0,17359
-39.0,-38.0,17075
-38.0,-37.0,17711
-37.0,-36.0,17658
-36.0,-35.0,17576
-35.0,-34.0,17145
-34.0,-33.0,17931
-33.0,-32.0,17702
-32.0,-31.0,17312
-31.0,-30.0,17258
-30.0,-29.0,17991
-29.0,-28.0,18495
-28.0,-27.0,17265
-27.0,-26.0,18345
-26.0,-25.0,19062
-25.0,-24.0,20172
-24.0,-23.0,20663
-23.0,-22.0,20905
-22.0,-21.0,21749
-21.0,-20.0,23497
-20.0,-19.0,23799
-19.0,-18.0,24719
-18.0,-17.0,24768
-17.0,-16.0,25779
-16.0,-15.0,27324
-15.0,-14.0,27306
-14.0,-13.0,29976
-13.0,-12.0,28884
-12.0,-11.0,29969
-11.0,-10.0,29972
-10.0,-9.0,31569
-9.0,-8.0,30785
-8.0,-7.0,31150
-7.0,-6.0,33049
-6.0,-5.0,32950
-5.0,-4.0,33314
-4.0,-3.0,34310
-3.0,-2.0,33987
-2.0,-1.0,33884
-1.0,0.0,34979
0.0,1.0,35084
1.0,2.0,35164
2.0,3.0,37186
3.0,4.0,37689
4.0,5.0,39152
5.0,6.0,40137
6.0,7.0,41126
7.0,8.0,43135
8.0,9.0,44509
9.0,10.0,45626
10.0,11.0,50044
11.0,12.0,55992
12.0,13.0,58638
13.0,14.0,63646
14.0,15.0,66751
15.0,16.0,69639
16.0,17.0,78320
17.0,18.0,90836
18.0,19.0,118429
19.0,20.0,177999
20.0,21.0,205737
21.0,22.0,116211
22.0,23.0,76773
23.0,24.0,58934
24.0,25.0,22127
25.0,26.0,1494
26.0,27.0,23
27.0,28.0,1
