source,item_id,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc,lead_hour_grib,availability_proxy_utc,variable,grib_short_name,grib_name,grib_type_of_level,grib_level,grib_step_type,grib_units,normalized_units,grid_point_count,bbox_min,bbox_mean,bbox_median,bbox_max,bbox_std
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,tcc,tcc,Total Cloud Cover,atmosphere,,instant,%,,99,5.0,69.44545448187625,81.5999984741211,100.0,32.637489377254695
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,tcc,tcc,Total Cloud Cover,atmosphere,,avg,%,,99,17.5,72.42121216745088,84.0999984741211,100.0,25.69709825140076
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,u10,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,m_s_1,99,-1.4912292957305908,0.0320030740189431,0.0087707517668604,1.608770728111267,0.6295466177629407
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,v10,10v,10 metre V wind component,heightAboveGround,,instant,m s**-1,m_s_1,99,2.5837769508361816,8.385797026181462,8.583776473999023,11.483777046203612,2.130489569299882
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,t2m,2t,2 metre temperature,heightAboveGround,,instant,K,degC,99,27.146386718750023,29.27263670641969,28.846368408203148,33.14638671875002,1.1620779212598042
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,d2m,2d,2 metre dewpoint temperature,heightAboveGround,,instant,K,degC,99,21.130700683593773,24.927658605093928,25.330682373046898,26.430688476562523,1.1712419033357746
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,tmax,tmax,Maximum temperature,heightAboveGround,,max,K,degC,99,27.188165283203148,29.55381673177085,29.188165283203148,33.28817138671877,1.1697505913446715
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,tmin,tmin,Minimum temperature,heightAboveGround,,min,K,degC,99,24.511346435546898,27.670937031447306,27.811334228515648,29.011346435546898,0.910423078830772
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,r2,2r,2 metre relative humidity,heightAboveGround,,instant,%,,99,52.20000076293945,77.97575729061859,83.19999694824219,86.0999984741211,8.994095444755747
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,,2026-07-06T06:00:00Z,prmsl,prmsl,Pressure reduced to MSL,meanSea,,instant,Pa,hPa,99,1004.653359375,1006.6031147411616,1006.78140625,1008.16140625,0.8445470397359682
