source,item_id,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc_expected,availability_proxy_utc,availability_proxy_method,http_last_modified_utc,raw_path,raw_bytes,raw_sha256,station_id,station_name,station_latitude,station_longitude,nearest_grid_latitude,nearest_grid_longitude,issued_at_utc_grib,valid_at_utc_grib,tcc_atmosphere_instant,tcc_atmosphere_avg,10u_heightaboveground_instant_m_s_1,10v_heightaboveground_instant_m_s_1,2t_heightaboveground_instant_degc,2d_heightaboveground_instant_degc,tmax_heightaboveground_max_degc,tmin_heightaboveground_min_degc,2r_heightaboveground_instant,prmsl_meansea_instant_hpa,cape_surface_instant_j_kg_1,t_surface_instant_degc,cin_surface_instant_j_kg_1,tp_surface_accum_kg_m_2,gust_surface_instant_m_s_1,sdswrf_surface_avg_w_m_2,normalized_variable_count,normalization_elapsed_seconds,normalization_note
gfs,gfs_20260706_00z_f000,2026-07-06,0,0,2026-07-06T00:00:00Z,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f000.grib2,6768761,3c780479c7d06d635e64e754a2b5c6234662fec6a3e44a27321162d79731b5d7,,,,,,,,,,,,,,,,,,,,,,,,,0,8.560001151636243e-05,Skipped f000 analysis/initialization lead; fetched and cataloged but not decoded for forward T-24 features.
gfs,gfs_20260706_00z_f006,2026-07-06,0,6,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f006.grib2,10355901,06cd825bb509021c0712820315301bc96f94b120adba0725ed8b7e936bc2e1a6,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T06:00:00Z,100.0,61.70000076293945,-0.0912292450666427,9.583776473999023,28.5463806152344,25.430688476562523,28.788171386718773,27.511346435546898,83.5999984741211,1006.829375,1968.0,29.048699951171898,0.2882080078125,4.5,13.101421356201172,810.3679809570312,16,4.461607700039167,
gfs,gfs_20260706_00z_f009,2026-07-06,0,9,2026-07-06T00:00:00Z,2026-07-06T09:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f009.grib2,10211326,e7d29dd0b61c6400ac0c530b4626fff321df95aea855f99c90ef7416e2720611,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T09:00:00Z,90.8000030517578,82.80000305175781,-0.509490966796875,8.821545600891113,28.179498291015648,25.830651855468773,28.538049316406276,28.125146484375023,86.80000305175781,1006.11828125,2226.0,28.450006103515648,0.45703125,1.6875,13.199999809265137,617.260009765625,16,4.201190699997824,
gfs,gfs_20260706_00z_f003,2026-07-06,0,3,2026-07-06T00:00:00Z,2026-07-06T03:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f003.grib2,10084296,02ba5b2950dbf865d7ea0882e2b3a0e6a1a7165763d31b29566f0884a0336116,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T03:00:00Z,20.200000762939453,61.09999847412109,-1.098638892173767,8.642926216125488,28.330651855468773,25.4306579589844,28.555322265625023,27.511346435546898,84.4000015258789,1007.930390625,1924.0,29.451318359375023,-0.137451171875,1.9375,11.901785850524902,686.5440063476562,16,4.425181700033136,
gfs,gfs_20260706_00z_f018,2026-07-06,0,18,2026-07-06T00:00:00Z,2026-07-06T18:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f018.grib2,10511474,000f0390d526d112805d3667d737a286210f15482bfe8fc1a19f7708a13bb000,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T18:00:00Z,83.5,77.5999984741211,0.38800048828125,8.251373291015625,27.646356201171898,25.315454101562523,27.9533630371094,27.2463317871094,87.30000305175781,1006.99234375,1618.0,26.928887939453148,-0.40478515625,9.625,12.007744789123535,0.0,16,4.506126299966127,
gfs,gfs_20260706_00z_f024,2026-07-06,0,24,2026-07-06T00:00:00Z,2026-07-07T00:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f024.grib2,10530891,33b41aff4d3663cd62770f53a9274a78392dcd11eeb16fbf65b9754039617d57,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T00:00:00Z,100.0,99.5999984741211,1.4718017578125,7.542913913726807,27.793786621093773,24.995080566406276,27.807275390625023,27.093774414062523,84.9000015258789,1007.700859375,1371.0,27.240197753906276,-0.208740234375,12.6875,10.900166511535645,31.968000411987305,16,4.581324100028724,
gfs,gfs_20260706_00z_f021,2026-07-06,0,21,2026-07-06T00:00:00Z,2026-07-06T21:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f021.grib2,10322057,127dc78d873071b17a7932f8a920914f82a13b82b1488b2e8eb364e0d6ec6756,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T21:00:00Z,100.0,99.3000030517578,1.036401391029358,8.598688125610352,27.422906494140648,24.9802185058594,27.6672302246094,27.315515136718773,86.5999984741211,1006.6175,1275.0,26.904840087890648,0.03955078125,5.6875,11.80008602142334,0.0,16,4.818376399984118,
gfs,gfs_20260706_00z_f012,2026-07-06,0,12,2026-07-06T00:00:00Z,2026-07-06T12:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f012.grib2,10441701,66a4dee9315966ebd2f8b3c42286330e294ee1610ac4394619e33147abde5492,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-06T12:00:00Z,67.5999984741211,82.0,0.8209594488143921,8.297930717468262,27.728112792968773,25.211328125000023,28.507989501953148,27.625146484375023,86.0999984741211,1007.353125,1543.0,27.153955078125023,-0.0908203125,5.0,12.004950523376465,362.239990234375,16,4.606254499987699,
gfs,gfs_20260706_00z_f039,2026-07-06,0,39,2026-07-06T00:00:00Z,2026-07-07T15:00:00Z,2026-07-06T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_00z_f039.grib2,10428143,1d4de61f816ba0414e6294a8538fe9327385abfb16ca32524964d9fb958113f4,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-06T00:00:00Z,2026-07-07T15:00:00Z,97.5999984741211,58.400001525878906,-1.6239013671875,3.595019578933716,27.468469238281276,25.149987792968773,27.840539550781276,27.449670410156276,87.0,1007.89671875,1287.0,27.1262145996094,0.107666015625,0.25,6.325447082519531,0.0,16,4.750262599962298,
gfs,gfs_20260706_06z_f000,2026-07-06,6,0,2026-07-06T06:00:00Z,2026-07-06T06:00:00Z,2026-07-06T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260706\gfs_20260706_06z_f000.grib2,6779165,c7e61a4c34f1f24f564f7a182bd712513f3294f29abc332ab463193c5e457aba,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0001233000075444,Skipped f000 analysis/initialization lead; fetched and cataloged but not decoded for forward T-24 features.
