source,cycle,lead,object_length,selected_range_count,selected_bytes,single_span_bytes,merged_count_gap_0,merged_bytes_gap_0,merged_count_gap_64000,merged_bytes_gap_64000,merged_count_gap_256000,merged_bytes_gap_256000,merged_count_gap_1000000,merged_bytes_gap_1000000,merged_count_gap_5000000,merged_bytes_gap_5000000,merged_count_gap_25000000,merged_bytes_gap_25000000
gefs_control,0,0,12658447,12,6486160,12352951,4,6486160,4,6486160,4,6486160,3,7017581,1,12352951,1,12352951
gefs_control,0,3,18672790,15,8864956,18373081,6,8864956,6,8864956,6,8864956,5,9431751,1,18373081,1,18373081
gefs_control,0,6,17921750,15,8201428,17622403,6,8201428,6,8201428,6,8201428,5,8775879,1,17622403,1,17622403
gefs_control,0,9,17891355,15,8046841,17590122,6,8046841,6,8046841,6,8046841,5,8626141,1,17590122,1,17590122
gefs_control,0,12,18101976,15,8252088,17800644,6,8252088,6,8252088,6,8252088,5,8824264,1,17800644,1,17800644
gefs_control,0,15,18257516,15,8322213,17945947,6,8322213,6,8322213,6,8322213,5,8905761,1,17945947,1,17945947
gefs_control,0,18,17991986,15,8312128,17672805,6,8312128,6,8312128,6,8312128,5,8903875,1,17672805,1,17672805
gefs_control,0,21,18078756,15,8153638,17764175,6,8153638,6,8153638,6,8153638,5,8743391,1,17764175,1,17764175
gefs_control,0,24,18106662,15,8272743,17800858,6,8272743,6,8272743,6,8272743,5,8860209,1,17800858,1,17800858
gefs_control,0,27,18645718,15,8665462,18336513,6,8665462,6,8665462,6,8665462,5,9258828,1,18336513,1,18336513
gefs_control,0,30,18479946,15,8601135,18171941,6,8601135,6,8601135,6,8601135,5,9193453,1,18171941,1,18171941
gefs_control,0,33,18467970,15,8114808,18153792,6,8114808,6,8114808,6,8114808,5,8710860,1,18153792,1,18153792
gefs_control,0,36,18596171,15,8290945,18279379,6,8290945,6,8290945,6,8290945,5,8883802,1,18279379,1,18279379
gefs_control,0,39,18210404,15,8189445,17888399,6,8189445,6,8189445,6,8189445,5,8785132,1,17888399,1,17888399
gefs_control,0,42,18296249,15,8328582,17973051,6,8328582,6,8328582,6,8328582,5,8927928,1,17973051,1,17973051
gefs_control,0,45,18121221,15,8183144,17802412,6,8183144,6,8183144,6,8183144,5,8776622,1,17802412,1,17802412
gefs_control,0,48,18166630,15,8325165,17857214,6,8325165,6,8325165,6,8325165,5,8914090,1,17857214,1,17857214
gefs_control,6,0,12645067,12,6491091,12345771,4,6491091,4,6491091,4,6491091,3,7025577,1,12345771,1,12345771
gefs_control,6,3,18015231,15,8227468,17716337,6,8227468,6,8227468,6,8227468,5,8795285,1,17716337,1,17716337
gefs_control,6,6,18014886,15,8230621,17718512,6,8230621,6,8230621,6,8230621,5,8793253,1,17718512,1,17718512
gefs_control,6,9,18213865,15,8310080,17904966,6,8310080,6,8310080,6,8310080,5,8886878,1,17904966,1,17904966
gefs_control,6,12,18172764,15,8279597,17857509,6,8279597,6,8279597,6,8279597,5,8865266,1,17857509,1,17857509
gefs_control,6,15,18026058,15,8125924,17713623,6,8125924,6,8125924,6,8125924,5,8712511,1,17713623,1,17713623
gefs_control,6,18,18050950,15,8240808,17745084,6,8240808,6,8240808,6,8240808,5,8828348,1,17745084,1,17745084
gefs_control,6,21,18595145,15,8655380,18289301,6,8655380,6,8655380,6,8655380,5,9241648,1,18289301,1,18289301
gefs_control,6,24,18442865,15,8589977,18132663,6,8589977,6,8589977,6,8589977,5,9181403,1,18132663,1,18132663
gefs_control,6,27,18442501,15,8093759,18131225,6,8093759,6,8093759,6,8093759,5,8689581,1,18131225,1,18131225
gefs_control,6,30,18578778,15,8296837,18264563,6,8296837,6,8296837,6,8296837,5,8886812,1,18264563,1,18264563
gefs_control,6,33,18200524,15,8173362,17878533,6,8173362,6,8173362,6,8173362,5,8770862,1,17878533,1,17878533
