split,method,baseline_method,row_count,mean_delta_rps,p05_delta_rps,p50_delta_rps,p95_delta_rps
fold1,B0_climatology,B4_hierarchical_residual_pmf,1096,0.13725346283111942,0.1326351727656202,0.13745160789852273,0.1416548177407349
fold1,B1_global_residual_pmf,B4_hierarchical_residual_pmf,1096,0.0007541307366436624,0.00037121067369102134,0.0007560455749760463,0.0011498685162679915
fold1,B2_month_residual_pmf,B4_hierarchical_residual_pmf,1096,0.0002590674671755847,4.906081570050791e-05,0.00026018478189997196,0.0004724992227401975
fold1,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,1096,0.00020459545097425007,-0.00010109922130496149,0.00019171109333215516,0.0005098983109176376
fold1,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,1096,0.0,0.0,0.0,0.0
fold1,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,1096,-7.562448594505894e-05,-0.00037612344130146696,-6.720766455562896e-05,0.0002350828547461345
fold1,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,1096,0.0332995979418108,0.030203346019270383,0.03331258927575069,0.036457801020379065
fold1,C1_multinomial_ridge,B4_hierarchical_residual_pmf,1096,0.0009190374857401427,0.0002292465938732124,0.0009163117442762513,0.0016020294355633675
fold1,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,1096,0.0010447477334233502,0.0003221335481205692,0.0010521074195976518,0.0017926630830906124
fold1,K0_B4_identity,B4_hierarchical_residual_pmf,1096,0.0,0.0,0.0,0.0
fold1,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,1096,-2.6768859802087182e-05,-7.47023168889676e-05,-2.6745372019253838e-05,2.2023137348924757e-05
fold1,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,1096,-2.359223927328458e-19,-6.938893903907228e-18,0.0,6.938893903907228e-18
fold1,P1_normal_mos,B4_hierarchical_residual_pmf,1096,0.0005327092427366221,0.00014109807556325106,0.0005285785063517262,0.0009597728867900794
fold1,P2_student_t_mos,B4_hierarchical_residual_pmf,1096,0.0005773536195292264,0.00013238356991951734,0.0005862274818404789,0.0009781546371378331
fold1,S1_conservative_simplex_stack,B4_hierarchical_residual_pmf,1096,-4.248283489089101e-05,-9.449501713177794e-05,-4.137497629918066e-05,8.211842639339858e-06
fold2,B0_climatology,B4_hierarchical_residual_pmf,1095,0.15417895436170123,0.14884678228172,0.1541407630950454,0.15955610933662442
fold2,B1_global_residual_pmf,B4_hierarchical_residual_pmf,1095,8.434513031588222e-05,-0.0003053384881444361,7.894151430070523e-05,0.0005036313695790758
fold2,B2_month_residual_pmf,B4_hierarchical_residual_pmf,1095,0.0003203670460649826,5.4214224162918126e-05,0.00032804280921494913,0.0005860010668247588
fold2,B3_forecast_level_residual_pmf,B4_hierarchical_residual_pmf,1095,5.8738365700870654e-05,-0.0002516311157118714,4.918874662937847e-05,0.00036827799735701677
fold2,B4_hierarchical_residual_pmf,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold2,B5_kernel_analog_pmf,B4_hierarchical_residual_pmf,1095,-0.0004876377101630516,-0.000778700002236938,-0.00047926172162688144,-0.00019831526820886933
fold2,B6_month_climatology_diagnostic,B4_hierarchical_residual_pmf,1095,0.035455221673445766,0.032166952744112014,0.03531865964987585,0.03924860353243734
fold2,C1_multinomial_ridge,B4_hierarchical_residual_pmf,1095,0.0016629608295842008,0.0010159558028742769,0.0016523001773818963,0.00236900969531407
fold2,C2_ordinal_cdf_logistic,B4_hierarchical_residual_pmf,1095,0.0021022587362576842,0.0013701865102757904,0.002085061086495074,0.0028829459827438677
fold2,K0_B4_identity,B4_hierarchical_residual_pmf,1095,0.0,0.0,0.0,0.0
fold2,K1_B4_power_calibrated,B4_hierarchical_residual_pmf,1095,7.227696718795029e-06,-3.854717570701341e-05,8.224050900399599e-06,5.235151095441045e-05
fold2,K2_B4_monotone_cdf_projected,B4_hierarchical_residual_pmf,1095,-3.3306690738754697e-19,-6.938893903907228e-18,0.0,3.4694469519504587e-19
