cutoff_profile,fold_id,model_id,status,diagnostics
tminus1_2359,fold1_2011_2013,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2359,fold2_2014_2016,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2359,fold3_2017_2019,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2359,fold4_2020_2021,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2359,presealed_holdout_2022_2023,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2359,sealed_confirmation_2024_plus,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2100,fold1_2011_2013,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2100,fold2_2014_2016,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2100,fold3_2017_2019,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2100,fold4_2020_2021,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2100,presealed_holdout_2022_2023,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_2100,sealed_confirmation_2024_plus,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_1800,fold1_2011_2013,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_1800,fold2_2014_2016,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_1800,fold3_2017_2019,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_1800,fold4_2020_2021,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_1800,presealed_holdout_2022_2023,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
tminus1_1800,sealed_confirmation_2024_plus,M4_robust_linear_residual,huber_converged,"{""estimator"": ""HuberRegressor"", ""fallback_used"": false}"
