year,dispatch_rows,station_missing_count_mean,station_json_empty_rows,target_station_missing_rows
1999,21,0.14285714285714285,0,0
2000,9309,0.690514555806209,0,0
2001,9340,0.080406852248394,0,0
2002,9212,0.07110290924880591,0,0
2003,9323,0.07132897136114985,0,0
2004,9250,0.03016216216216216,0,0
2005,9406,0.06846693599829896,0,0
2006,9362,0.020935697500534076,0,0
2007,9358,0.230711690532165,0,1
2008,9465,0.3256207078711041,0,0
2009,9381,0.13058309348683508,0,0
2010,9407,0.18943340065908365,0,0
2011,9302,0.12642442485486993,0,0
2012,9545,0.20974332111052907,0,1
2013,9640,0.22977178423236513,0,0
2014,9933,0.14547468035840128,0,0
2015,9633,0.1639157064258279,0,0
2016,9884,0.20528126264670174,0,0
2017,9735,0.22208525937339496,0,0
2018,9624,0.17373233582709893,0,0
2019,9766,0.28230595945115705,0,0
2020,9574,0.23229580112805515,0,0
2021,9735,0.2239342578325629,0,0
2022,9560,0.23859832635983264,0,0
2023,9874,0.47599756937411386,0,0
2024,10072,0.35881652104845113,0,0
2025,10037,0.2879346418252466,0,0
2026,3896,0.14168377823408623,0,0
