iter	RMSE
0	2.317357303
1	2.309304622
2	2.300146284
3	2.293636539
4	2.286992621
5	2.278519769
6	2.273078015
7	2.266609998
8	2.261419887
9	2.255633976
10	2.249119523
11	2.241774667
12	2.236406126
13	2.23158958
14	2.227622484
15	2.222028157
16	2.217729568
17	2.211256698
18	2.205726046
19	2.201417788
20	2.195882692
21	2.191059723
22	2.18565401
23	2.180526359
24	2.175433126
25	2.173121463
26	2.169301958
27	2.163703577
28	2.159255124
29	2.15262223
30	2.146941032
31	2.14109851
32	2.136992278
33	2.132084218
34	2.127773847
35	2.122403695
36	2.11812934
37	2.114311526
38	2.11124528
39	2.108762193
40	2.105495839
41	2.100118378
42	2.096041969
43	2.092878951
44	2.090192385
45	2.08646378
46	2.082646538
47	2.079610705
48	2.076827459
49	2.070905997
50	2.06731774
51	2.063408049
52	2.061770196
53	2.058185755
54	2.054490734
55	2.052059845
56	2.048726987
57	2.045603394
58	2.043111265
59	2.040058528
60	2.037275096
61	2.033330625
62	2.029529421
63	2.026217448
64	2.023037753
65	2.021155918
66	2.016918272
67	2.013043754
68	2.010390853
69	2.006275955
70	2.002617778
71	1.999688731
72	1.995839052
73	1.992784671
74	1.989800206
75	1.987416482
76	1.986153681
77	1.981597461
78	1.980247134
79	1.976924594
80	1.972830015
81	1.970043253
82	1.967748396
83	1.963034287
84	1.960438255
85	1.957971215
86	1.954865126
87	1.94961056
88	1.947107508
89	1.943787057
90	1.939113009
91	1.935145645
92	1.93107935
93	1.92744548
94	1.922373159
95	1.919319071
96	1.916442049
97	1.914660918
98	1.911190383
99	1.905328504
100	1.903080954
101	1.901045118
102	1.898651454
103	1.895740821
104	1.893230045
105	1.890036309
106	1.886712116
107	1.88329735
108	1.879120284
109	1.875625383
110	1.871695872
111	1.869093186
112	1.868431241
113	1.866211432
114	1.863854123
115	1.861777666
116	1.859514196
117	1.856271112
118	1.852371224
119	1.848619544
120	1.845941719
121	1.843485481
122	1.841033324
123	1.836844258
124	1.834468912
125	1.831753358
126	1.829583432
127	1.82801424
128	1.826120116
129	1.823242795
130	1.821767226
131	1.818949593
132	1.816437081
