iter	Passed	Remaining
0	74	37194
1	140	35073
2	206	34213
3	270	33497
4	335	33188
5	399	32867
6	460	32464
7	522	32158
8	583	31821
9	638	31302
10	693	30848
11	749	30495
12	807	30243
13	867	30111
14	928	30033
15	991	30005
16	1060	30136
17	1130	30270
18	1195	30268
19	1264	30342
20	1330	30340
21	1394	30288
22	1460	30287
23	1530	30364
24	1599	30386
25	1671	30470
26	1738	30453
27	1804	30420
28	1873	30421
29	1938	30372
30	1997	30213
31	2060	30134
32	2128	30121
33	2197	30118
34	2268	30138
35	2346	30246
36	2419	30280
37	2487	30242
38	2554	30189
39	2612	30043
40	2675	29952
41	2750	29990
42	2809	29856
43	2865	29693
44	2926	29590
45	2991	29520
46	3058	29479
47	3122	29401
48	3190	29364
49	3260	29343
50	3330	29324
51	3392	29229
52	3403	28701
53	3467	28637
54	3529	28559
55	3589	28461
56	3657	28423
57	3725	28387
58	3792	28346
59	3860	28313
60	3924	28244
61	3986	28166
62	4051	28106
63	4129	28132
64	4217	28226
65	4297	28259
66	4387	28354
67	4461	28346
68	4537	28345
69	4604	28285
70	4689	28333
71	4757	28280
72	4826	28231
73	4901	28219
74	4968	28156
75	5030	28067
76	5091	27972
77	5151	27873
78	5214	27789
79	5277	27706
80	5340	27625
81	5402	27538
82	5465	27459
83	5527	27375
84	5592	27304
85	5656	27228
86	5721	27159
87	5780	27063
88	5841	26974
89	5899	26875
90	5961	26795
91	6025	26722
92	6092	26663
93	6155	26586
94	6219	26514
95	6282	26439
96	6348	26373
97	6409	26292
98	6472	26216
99	6535	26140
100	6598	26067
101	6661	25992
102	6724	25917
103	6786	25839
104	6843	25745
105	6903	25660
106	6960	25564
107	7020	25483
108	7088	25427
109	7148	25344
110	7204	25249
111	7272	25195
112	7342	25145
113	7412	25099
114	7477	25031
115	7548	24989
116	7623	24957
117	7691	24899
118	7759	24842
119	7823	24774
120	7885	24698
121	7950	24634
122	8019	24580
123	8084	24513
124	8145	24435
125	8201	24345
126	8259	24256
127	8316	24169
128	8378	24097
129	8444	24034
130	8511	23976
131	8576	23911
132	8640	23843
133	8704	23774
134	8767	23705
135	8826	23624
136	8884	23540
137	8941	23454
138	8997	23368
139	9065	23311
140	9127	23239
141	9187	23163
142	9246	23084
143	9312	23022
144	9376	22956
145	9438	22885
146	9504	22824
147	9576	22777
148	9647	22727
149	9706	22648
150	9763	22565
151	9793	22423
152	9860	22363
153	9936	22323
154	9996	22249
155	10063	22191
156	10127	22126
157	10188	22053
158	10247	21976
159	10308	21906
160	10373	21842
161	10435	21772
162	10500	21708
163	10564	21644
164	10629	21580
165	10692	21512
166	10754	21445
167	10816	21375
168	10874	21299
169	10929	21216
170	10986	21137
171	11067	21105
172	11148	21073
173	11216	21015
174	11290	20967
175	11360	20912
176	11426	20851
177	11489	20784
178	11554	20720
179	11616	20652
180	11686	20596
181	11749	20529
182	11813	20463
183	11879	20402
184	11942	20333
185	12007	20270
186	12068	20200
187	12125	20122
188	12182	20047
189	12241	19973
190	12301	19900
191	12364	19834
192	12427	19767
193	12485	19694
194	12542	19617
195	12605	19551
196	12670	19488
197	12736	19426
198	12800	19361
199	12857	19286
200	12916	19214
201	12984	19155
202	13060	19108
203	13137	19061
204	13206	19004
205	13282	18956
206	13360	18911
207	13437	18864
208	13511	18812
209	13576	18748
210	13645	18690
211	13710	18625
212	13780	18568
213	13845	18504
214	13919	18451
215	13991	18396
216	14068	18347
217	14141	18292
218	14212	18236
219	14283	18179
220	14355	18122
221	14434	18075
222	14512	18027
223	14592	17980
224	14675	17936
225	14748	17881
