feature_name,feature_scope,source_family,unit,formula,strict_allowed,proxy_allowed,shadow_allowed
calendar__doy_cos1,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__doy_sin1,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__is_djf,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__is_jja,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__is_mam,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__is_son,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__month_cos1,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__month_sin1,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
calendar__year_index,strict,calendar,mixed,deterministic target-date calendar features,True,False,False
gefsens__center__prob_ge_30_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_30_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_31_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_31_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_32_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_32_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_33_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_33_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_34_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_34_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_35_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_35_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_36_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_36_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_37_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_37_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_38_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_38_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_39_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_39_5,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__prob_ge_40_0,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
gefsens__center__tmax_p10_c,strict,gefsens,mixed,strict H24N GribStream safe-row GEFS member features at HKO center,True,False,False
