dataset,stage,status,http_status,run_time_count,first_run_time,last_run_time,row_count,forecast_wide_rows_upserted,expected_rows,estimated_credits_consumed,expected_credits,elapsed_seconds,credits_per_minute,rows_per_second,request_sha256,chunk_id,raw_path,source,error_class,error_message
gfs,core,completed,200,7,2021-03-22T00:00:00Z,2021-03-28T00:00:00Z,1800,1800,2100,1950,2275,10.717,10917.031,167.954,bbd281b438b07f60f078d349dc1347a26c89e60afd3b605ad911782745ecc380,firstweek_gfs_bbd281b438b0,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/gfs/run_window_utc=20210322_000000_to_20210328_000000/bbd281b438b07f60f078d349dc1347a26c89e60afd3b605ad911782745ecc380.ndjson.gz,api_fetched,,
gefsatmosmean,core,completed,200,7,2020-10-01T18:00:00Z,2020-10-07T18:00:00Z,672,672,672,448,448,2.839,9467.863,236.697,24562f5f7d522e860bfb0d396d3144ffd4fac4efd0eb1c6a02caf89d5e15aa56,firstweek_gefsatmosmean_24562f5f7d52,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/gefsatmosmean/run_window_utc=20201001_180000_to_20201007_180000/24562f5f7d522e860bfb0d396d3144ffd4fac4efd0eb1c6a02caf89d5e15aa56.ndjson.gz,api_fetched,,
gefsatmos,core,completed,200,7,2020-10-01T18:00:00Z,2020-10-07T18:00:00Z,1736,1736,1736,1736,1736,17.476,5960.154,99.336,a4cff19532296eff502f7457183428c64bab2716d6bc9e266d62daecdd437a54,firstweek_gefsatmos_a4cff1953229,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/gefsatmos/run_window_utc=20201001_180000_to_20201007_180000/a4cff19532296eff502f7457183428c64bab2716d6bc9e266d62daecdd437a54.ndjson.gz,api_fetched,,
ifsoper,core,completed,200,7,2024-02-28T18:00:00Z,2024-03-05T18:00:00Z,756,756,756,756,756,12.653,3584.911,59.749,872c23a5f5cf6f9daf8e122a5805dbe003e53f6cbc4facbfad45474ccbbb9983,firstweek_ifsoper_872c23a5f5cf,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/ifsoper/run_window_utc=20240228_180000_to_20240305_180000/872c23a5f5cf6f9daf8e122a5805dbe003e53f6cbc4facbfad45474ccbbb9983.ndjson.gz,api_fetched,,
ifsenfo,core,completed,200,7,2024-03-01T18:00:00Z,2024-03-07T18:00:00Z,2856,2856,2856,2856,2856,34.317,4993.445,83.224,88f2cc20d5c237364ec7e2ca72d354394960f5da2e646c8f1fc4e2626a358d20,firstweek_ifsenfo_88f2cc20d5c2,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/ifsenfo/run_window_utc=20240301_180000_to_20240307_180000/88f2cc20d5c237364ec7e2ca72d354394960f5da2e646c8f1fc4e2626a358d20.ndjson.gz,api_fetched,,
cwawrf15,prospective,completed,200,3,2026-06-22T18:00:00Z,2026-06-24T18:00:00Z,180,180,180,150,150,1.375,6546.095,130.922,bc3cf50cdbdcc16a589f75ed7da2b10126da8da4aa4c4f44cde4316aa685d12b,firstweek_cwawrf15_bc3cf50cdbdc,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/cwawrf15/run_window_utc=20260622_180000_to_20260624_180000/bc3cf50cdbdcc16a589f75ed7da2b10126da8da4aa4c4f44cde4316aa685d12b.ndjson.gz,api_fetched,,
aifsoper,optional,completed,200,7,2025-02-25T18:00:00Z,2025-03-03T18:00:00Z,420,420,420,280,280,15.774,1065.022,26.626,4140336dbc189091346faa4ec1a4a42837102ce5b7553ffde77d86cb52ff7722,firstweek_aifsoper_4140336dbc18,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/aifsoper/run_window_utc=20250225_180000_to_20250303_180000/4140336dbc189091346faa4ec1a4a42837102ce5b7553ffde77d86cb52ff7722.ndjson.gz,api_fetched,,
aifsenfo,optional,completed,200,7,2025-07-02T18:00:00Z,2025-07-08T18:00:00Z,1428,1428,1428,1428,1428,34.316,2496.767,41.613,b00f36e0ce1c2623cda617dc4182d8f775578d0c303a25a14014af24227a128f,firstweek_aifsenfo_b00f36e0ce1c,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/aifsenfo/run_window_utc=20250702_180000_to_20250708_180000/b00f36e0ce1c2623cda617dc4182d8f775578d0c303a25a14014af24227a128f.ndjson.gz,api_fetched,,
aigfssfc,optional,completed,200,7,2026-04-16T18:00:00Z,2026-04-22T18:00:00Z,120,120,420,40,140,0.7,3427.204,171.36,3c572cff12f352276012b5db56e75b2f5368450e363318a7f9bd347b2f74b03e,firstweek_aigfssfc_3c572cff12f3,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/aigfssfc/run_window_utc=20260416_180000_to_20260422_180000/3c572cff12f352276012b5db56e75b2f5368450e363318a7f9bd347b2f74b03e.ndjson.gz,api_fetched,,
aigfspres,optional,completed,200,7,2026-04-16T18:00:00Z,2026-04-22T18:00:00Z,120,120,420,20,70,11.878,101.031,10.103,ef36763f0531f1f8895d15fdbb513a2fd5ad030544fa12d6e91552b3f649fef0,firstweek_aigfspres_ef36763f0531,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_first_week/aigfspres/run_window_utc=20260416_180000_to_20260422_180000/ef36763f0531f1f8895d15fdbb513a2fd5ad030544fa12d6e91552b3f649fef0.ndjson.gz,api_fetched,,
