dataset,stage,status,http_status,row_count,expected_rows,expected_credits,request_sha256,raw_path,source,wrong_forecasted_at_count,error_class,error_message
gfs,core,completed,200,300,300,325,aa430bec6ea3533fcae3e4be138eede4cc5d0334eaebf98ead682afe5d78f7df,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/gfs/run_time_utc=20210323_000000/aa430bec6ea3533fcae3e4be138eede4cc5d0334eaebf98ead682afe5d78f7df.ndjson.gz,raw_reused,0,,
gefsatmosmean,core,completed,200,96,96,64,f1038e552219f3c3907b34d131f5a233e279090f975bef23f2d37698fa011d89,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/gefsatmosmean/run_time_utc=20201001_180000/f1038e552219f3c3907b34d131f5a233e279090f975bef23f2d37698fa011d89.ndjson.gz,api_fetched,0,,
gefsatmos,core,completed,200,248,248,248,6bc5bac426f077e9bc8b2805d010510141c005a916d40434fe44211c4e3e6775,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/gefsatmos/run_time_utc=20201001_180000/6bc5bac426f077e9bc8b2805d010510141c005a916d40434fe44211c4e3e6775.ndjson.gz,api_fetched,0,,
ifsoper,core,completed,200,108,108,108,5bcef9919f5b135b5ff9ef4f775ef1e4fd1a64a1caf651208bcaecd6f739c6ba,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/ifsoper/run_time_utc=20240228_180000/5bcef9919f5b135b5ff9ef4f775ef1e4fd1a64a1caf651208bcaecd6f739c6ba.ndjson.gz,api_fetched,0,,
ifsenfo,core,completed,200,408,408,408,7e27524f7befe1992707dd78976a72a5d87f497883fd5bd24e9ab8332bd4adb8,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/ifsenfo/run_time_utc=20240301_180000/7e27524f7befe1992707dd78976a72a5d87f497883fd5bd24e9ab8332bd4adb8.ndjson.gz,raw_reused,0,,
cwawrf15,prospective,completed,200,60,60,50,aaed14bdf1df8969dbb051a014832ca23926777e65e49668ebb56a08d10139ac,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/cwawrf15/run_time_utc=20260623_180000/aaed14bdf1df8969dbb051a014832ca23926777e65e49668ebb56a08d10139ac.ndjson.gz,api_fetched,0,,
aifsoper,optional,completed,200,60,60,40,15d88976ac43fc239bee1e2ca09df6ec7874ecc17ecfef87bf240d86b2c0c97e,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/aifsoper/run_time_utc=20250225_180000/15d88976ac43fc239bee1e2ca09df6ec7874ecc17ecfef87bf240d86b2c0c97e.ndjson.gz,raw_reused,0,,
aifsenfo,optional,completed,200,204,204,204,8afa30ad8df0ad2a84cc302174f322939fc586ba40eb4fc6f287a496479e7030,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/aifsenfo/run_time_utc=20250702_180000/8afa30ad8df0ad2a84cc302174f322939fc586ba40eb4fc6f287a496479e7030.ndjson.gz,api_fetched,0,,
aigfssfc,optional,completed_empty,200,0,60,25,6c6c61ff1e36097c9c854be8e08af2c6fd09000d0d85ec7711e14b1ab1554c9b,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/aigfssfc/run_time_utc=20260416_180000/6c6c61ff1e36097c9c854be8e08af2c6fd09000d0d85ec7711e14b1ab1554c9b.ndjson.gz,api_fetched,0,,
aigfspres,optional,completed_empty,200,0,60,10,a570c5ebc14985565d31f2232cbe9d5af3cccf54ad466f684e38c8489bf4428f,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/aigfspres/run_time_utc=20260416_180000/a570c5ebc14985565d31f2232cbe9d5af3cccf54ad466f684e38c8489bf4428f.ndjson.gz,api_fetched,0,,
aigefssfc,optional,completed,200,124,124,124,34bf19be19fd35a04164334e93a0622cc518add8f0365c3ff2c2bd66ce734f14,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/aigefssfc/run_time_utc=20250601_180000/34bf19be19fd35a04164334e93a0622cc518add8f0365c3ff2c2bd66ce734f14.ndjson.gz,api_fetched,0,,
graphcast,optional,completed,200,60,60,30,83ca69c72727da09181d03dc552e808658cf4475d9f52fb418adbcf1db37dc08,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/graphcast/run_time_utc=20240425_180000/83ca69c72727da09181d03dc552e808658cf4475d9f52fb418adbcf1db37dc08.ndjson.gz,api_fetched,0,,
fourcastnetgfs,optional,completed,200,60,60,30,ba9509240feb0b385f91fe4b56da1ca71728e5fa2ad618b22b5f4bd36b16a099,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/fourcastnetgfs/run_time_utc=20240502_180000/ba9509240feb0b385f91fe4b56da1ca71728e5fa2ad618b22b5f4bd36b16a099.ndjson.gz,api_fetched,0,,
nbmoc,probe,completed_empty,200,0,15,20,042915977cbda1b88d2745074dbaf62e922fb8d0656f1d6ded5fc336c720a3f4,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_smoke/nbmoc/run_time_utc=20260623_180000/042915977cbda1b88d2745074dbaf62e922fb8d0656f1d6ded5fc336c720a3f4.ndjson.gz,api_fetched,0,,
