variable,present,rows,first_date,last_date,null_rate
daily_maximum_temperature,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
daily_minimum_temperature,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
mean_temperature,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
mean_dew_point_temperature,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
mean_wet_bulb_temperature,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
mean_relative_humidity,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
mean_sea_level_pressure,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
daily_rainfall,True,7269,1999-01-02,2023-12-31,0.20426929392446633
mean_cloud_amount,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
bright_sunshine_duration,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
global_solar_radiation,True,9131,1999-01-01,2023-12-31,0.0004378762999452655
evaporation,True,9061,1999-01-01,2023-12-31,0.008100711548987411
grass_minimum_temperature,True,9060,1999-01-01,2023-12-31,0.008210180623973728
sea_temperature_am,True,9111,1999-01-01,2023-12-31,0.002627257799671593
sea_temperature_pm,True,9110,1999-01-01,2023-12-31,0.002736726874657909
sea_temperature,True,5607,1999-01-04,2023-12-31,0.38620689655172413
mean_wind_speed,True,9053,1999-01-01,2023-12-31,0.008976464148877941
prevailing_wind_direction,True,9009,1999-01-01,2023-12-31,0.013793103448275862
reduced_visibility_hours,True,9128,1999-01-01,2023-12-31,0.0007662835249042146
cloud_to_cloud_lightning,True,6768,2005-06-21,2023-12-31,0.25911330049261083
cloud_to_ground_lightning,True,6768,2005-06-21,2023-12-31,0.25911330049261083
