chunk_index,dataset,status,http_status,run_time_count,first_run_time,last_run_time,row_count,forecast_wide_rows_upserted,estimated_credits_consumed,expected_credits,expected_rows,elapsed_seconds,request_sha256,chunk_id,raw_path,source,sanity_issue_count,sanity_issues,error_class,error_message
1,gfs,completed,200,14,2021-03-22T00:00:00Z,2021-04-04T00:00:00Z,3900,3900,4225,4550,4200,0.001,6ea1745622058df26121329a54cb680d6ca2a8d41ede871fce609f07688a01cd,batch_smoke_10w_gfs_6ea174562205,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gfs/run_window_utc=20210322_000000_to_20210404_000000/6ea1745622058df26121329a54cb680d6ca2a8d41ede871fce609f07688a01cd.ndjson.gz,raw_reused,0,,,
2,gfs,completed,200,14,2021-04-05T00:00:00Z,2021-04-18T00:00:00Z,4200,4200,4550,4550,4200,0.001,6ada27f3ba1ab40865595b283266aa892a2c61497e6131a723822ae97fdf2c78,batch_smoke_10w_gfs_6ada27f3ba1a,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gfs/run_window_utc=20210405_000000_to_20210418_000000/6ada27f3ba1ab40865595b283266aa892a2c61497e6131a723822ae97fdf2c78.ndjson.gz,raw_reused,0,,,
3,gfs,completed,200,14,2021-04-19T00:00:00Z,2021-05-02T00:00:00Z,4200,4200,4550,4550,4200,0.002,1dae871b6071e970b6880fa500554c86141be5cddd4413b8819f6cc9456ab982,batch_smoke_10w_gfs_1dae871b6071,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gfs/run_window_utc=20210419_000000_to_20210502_000000/1dae871b6071e970b6880fa500554c86141be5cddd4413b8819f6cc9456ab982.ndjson.gz,raw_reused,0,,,
4,gfs,completed,200,14,2021-05-03T00:00:00Z,2021-05-16T00:00:00Z,4200,4200,4550,4550,4200,0.001,862b757ef196740e5c2a267f3cf215875ac9cdb83ee8849522d639c1584dd2c2,batch_smoke_10w_gfs_862b757ef196,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gfs/run_window_utc=20210503_000000_to_20210516_000000/862b757ef196740e5c2a267f3cf215875ac9cdb83ee8849522d639c1584dd2c2.ndjson.gz,raw_reused,0,,,
5,gfs,completed,200,14,2021-05-17T00:00:00Z,2021-05-30T00:00:00Z,4200,4200,4550,4550,4200,0.001,be7e6013f0db4adbdcb9005013ebcb8f567328054a60f3226103249315eaacbe,batch_smoke_10w_gfs_be7e6013f0db,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gfs/run_window_utc=20210517_000000_to_20210530_000000/be7e6013f0db4adbdcb9005013ebcb8f567328054a60f3226103249315eaacbe.ndjson.gz,raw_reused,0,,,
6,gefsatmosmean,completed,200,31,2020-10-01T18:00:00Z,2020-10-31T18:00:00Z,2976,2976,1984,1984,2976,10.504,3b9d35160161b2b89065573c99ad6d38b0a7eb1d88d8ab6fdaa14303d6e55c10,batch_smoke_10w_gefsatmosmean_3b9d35160161,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gefsatmosmean/run_window_utc=20201001_180000_to_20201031_180000/3b9d35160161b2b89065573c99ad6d38b0a7eb1d88d8ab6fdaa14303d6e55c10.ndjson.gz,api_fetched,0,,,
7,gefsatmosmean,completed,200,31,2020-11-01T18:00:00Z,2020-12-01T18:00:00Z,2976,2976,1984,1984,2976,11.289,35765359e3edc0a74ddde04a15c19ca74f24657eadecbc60b74db4872a16c29f,batch_smoke_10w_gefsatmosmean_35765359e3ed,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gefsatmosmean/run_window_utc=20201101_180000_to_20201201_180000/35765359e3edc0a74ddde04a15c19ca74f24657eadecbc60b74db4872a16c29f.ndjson.gz,api_fetched,0,,,
8,gefsatmosmean,completed,200,8,2020-12-02T18:00:00Z,2020-12-09T18:00:00Z,768,768,512,512,768,3.329,e92e56657e5878cf463ce5347e3d3f78a459f57af79ee2c974429602d85c6f34,batch_smoke_10w_gefsatmosmean_e92e56657e58,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gefsatmosmean/run_window_utc=20201202_180000_to_20201209_180000/e92e56657e5878cf463ce5347e3d3f78a459f57af79ee2c974429602d85c6f34.ndjson.gz,api_fetched,0,,,
9,gefsatmos,completed,200,5,2020-10-01T18:00:00Z,2020-10-05T18:00:00Z,1240,1240,1240,1240,1240,17.22,8b2304d7da246cdc4c7843a6856384fe535d927cef7b6b3664afa71591168bad,batch_smoke_10w_gefsatmos_8b2304d7da24,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gefsatmos/run_window_utc=20201001_180000_to_20201005_180000/8b2304d7da246cdc4c7843a6856384fe535d927cef7b6b3664afa71591168bad.ndjson.gz,api_fetched,0,,,
10,gefsatmos,completed,200,5,2020-10-06T18:00:00Z,2020-10-10T18:00:00Z,1240,1240,1240,1240,1240,10.042,7128a9486a65faf6b5400d579b7dd920b0a0afded4487b97027487f1245a8fe3,batch_smoke_10w_gefsatmos_7128a9486a65,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_batch_smoke_10w/gefsatmos/run_window_utc=20201006_180000_to_20201010_180000/7128a9486a65faf6b5400d579b7dd920b0a0afded4487b97027487f1245a8fe3.ndjson.gz,api_fetched,0,,,
