chunk_index,dataset,status,http_status,run_time_count,first_run_time,last_run_time,row_count,forecast_wide_rows_upserted,estimated_credits_consumed,expected_credits,expected_rows,elapsed_seconds,request_sha256,chunk_id,raw_path,source,sanity_issue_count,sanity_issues,error_class,error_message
1,gfs,completed,200,14,2021-03-22T00:00:00Z,2021-04-04T00:00:00Z,3900,3900,4225,4550,4200,0.001,6ea1745622058df26121329a54cb680d6ca2a8d41ede871fce609f07688a01cd,batch_smoke_10w_gfs_6ea174562205,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210322_000000_to_20210404_000000/6ea1745622058df26121329a54cb680d6ca2a8d41ede871fce609f07688a01cd.ndjson.gz,raw_reused,0,,,
2,gfs,completed,200,14,2021-04-05T00:00:00Z,2021-04-18T00:00:00Z,4200,4200,4550,4550,4200,0.001,6ada27f3ba1ab40865595b283266aa892a2c61497e6131a723822ae97fdf2c78,batch_smoke_10w_gfs_6ada27f3ba1a,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210405_000000_to_20210418_000000/6ada27f3ba1ab40865595b283266aa892a2c61497e6131a723822ae97fdf2c78.ndjson.gz,raw_reused,0,,,
3,gfs,completed,200,14,2021-04-19T00:00:00Z,2021-05-02T00:00:00Z,4200,4200,4550,4550,4200,0.001,1dae871b6071e970b6880fa500554c86141be5cddd4413b8819f6cc9456ab982,batch_smoke_10w_gfs_1dae871b6071,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210419_000000_to_20210502_000000/1dae871b6071e970b6880fa500554c86141be5cddd4413b8819f6cc9456ab982.ndjson.gz,raw_reused,0,,,
4,gfs,completed,200,14,2021-05-03T00:00:00Z,2021-05-16T00:00:00Z,4200,4200,4550,4550,4200,0.002,862b757ef196740e5c2a267f3cf215875ac9cdb83ee8849522d639c1584dd2c2,batch_smoke_10w_gfs_862b757ef196,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210503_000000_to_20210516_000000/862b757ef196740e5c2a267f3cf215875ac9cdb83ee8849522d639c1584dd2c2.ndjson.gz,raw_reused,0,,,
5,gfs,completed,200,14,2021-05-17T00:00:00Z,2021-05-30T00:00:00Z,4200,4200,4550,4550,4200,0.001,be7e6013f0db4adbdcb9005013ebcb8f567328054a60f3226103249315eaacbe,batch_smoke_10w_gfs_be7e6013f0db,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210517_000000_to_20210530_000000/be7e6013f0db4adbdcb9005013ebcb8f567328054a60f3226103249315eaacbe.ndjson.gz,raw_reused,0,,,
6,gfs,completed,200,14,2021-05-31T00:00:00Z,2021-06-13T00:00:00Z,4200,4200,4550,4550,4200,0.001,dd6bff1cd2f01881c912df0b55ef5e22b8ac2b06bc9edd6adb60350cb7713b4e,full_tactical_backfill_ok_tmax_gfs_dd6bff1cd2f0,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210531_000000_to_20210613_000000/dd6bff1cd2f01881c912df0b55ef5e22b8ac2b06bc9edd6adb60350cb7713b4e.ndjson.gz,raw_reused,0,,,
7,gfs,completed,200,14,2021-06-14T00:00:00Z,2021-06-27T00:00:00Z,4200,4200,4550,4550,4200,0.001,5285318a75ba033c53d74487c45dfe69e1e73c76a4ebbd1e3739e8ac4992e5d4,full_tactical_backfill_ok_tmax_gfs_5285318a75ba,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210614_000000_to_20210627_000000/5285318a75ba033c53d74487c45dfe69e1e73c76a4ebbd1e3739e8ac4992e5d4.ndjson.gz,raw_reused,0,,,
8,gfs,completed,200,14,2021-06-28T00:00:00Z,2021-07-11T00:00:00Z,4200,4200,4550,4550,4200,0.002,f98d581368c1f1af6852f30489087fd44977bf009d83a55ad532fc9737b4673e,full_tactical_backfill_ok_tmax_gfs_f98d581368c1,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210628_000000_to_20210711_000000/f98d581368c1f1af6852f30489087fd44977bf009d83a55ad532fc9737b4673e.ndjson.gz,raw_reused,0,,,
9,gfs,completed,200,14,2021-07-12T00:00:00Z,2021-07-25T00:00:00Z,4200,4200,4550,4550,4200,0.001,ca3ae8a313c47cf0184ef9160d111dae475f8567c320100db68a26fe631992b3,full_tactical_backfill_ok_tmax_gfs_ca3ae8a313c4,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210712_000000_to_20210725_000000/ca3ae8a313c47cf0184ef9160d111dae475f8567c320100db68a26fe631992b3.ndjson.gz,raw_reused,0,,,
10,gfs,completed,200,14,2021-07-26T00:00:00Z,2021-08-08T00:00:00Z,4200,4200,4550,4550,4200,0.001,772dd2718621f1112db98b3d632d9bd41daa1b05c5761311b5f01a3d217f801a,full_tactical_backfill_ok_tmax_gfs_772dd2718621,C:/Users/ahmad/Desktop/generalFiles/git/weather_markets/weather_data_extraction/bootstrap/hkg_tmax_elite_codex_bootstrap/hkg_tmax_elite_codex/data/_pipeline_internal/raw/gribstream_tactical_full_tactical_backfill_ok_tmax/gfs/run_window_utc=20210726_000000_to_20210808_000000/772dd2718621f1112db98b3d632d9bd41daa1b05c5761311b5f01a3d217f801a.ndjson.gz,raw_reused,0,,,
