path,bytes,sha256
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\all_ablation_predictions.parquet,7143093,4a8cac11a98a1413052852b10d270cd876d1f1fd9f70f49a47605728c4aa593f
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\all_cutoff_features.parquet,29615075,72e0db235d28e84248907f15abaa4055516357535c0ac6405c00f1b1029c8d8f
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\all_oof_predictions.parquet,8160992,fbbd6b04c9743da2f310ecdbd561b9f928362bab298f35073ecad31007357a55
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\features_cutoff_1700.parquet,11785094,485f2783eb189417ac840cb160602087b382514dac9647b37055ccd1e0e65f6e
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\features_cutoff_1800.parquet,11793685,337f25be47570a072c6cf8abf0e4fb0811c993e55c67669a667507602c27172a
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\features_cutoff_2100.parquet,11826822,d77901fbfdb3db012d240907a8f764a28b65a147a678ea480aa8cd2ce8c9d1bf
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\features_cutoff_2359.parquet,11834865,d162f29eeb2474804b44f529058670013fd12cace7b824ecd8de2fc0d952d5f1
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\oof_predictions_cutoff_1700.parquet,2265101,f972378435908056ae62840d10e5689952c7698da6e0f71d0b95dde7ef5f4674
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\oof_predictions_cutoff_1800.parquet,2268703,02a8c85f1eca0bab4976617add7db03f0729f3117f4348570f15f28f46c642a0
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\oof_predictions_cutoff_2100.parquet,2288757,ddfed4b493884330a7c2c0f5d467a34ff386db5a02aa0d04910261f665c1c113
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\oof_predictions_cutoff_2359.parquet,2438973,8ba8a4592e026c5c69d753b0dfb443b943d0c55f4527a491f9b11f21d242f994
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\run_manifest.json,1044,74bd2d8231e2613741b5d4cc79b9deec573c9d3e98be2bb29894337fdadfee6e
experiments\0215_gpt_pro_point_forecast_strategy\artifacts\selected_model_oof_predictions.parquet,266353,af018fa8e189bfa907aecbd8c04f66452b574c77d6d649ede7f0895e75759ace
experiments\0215_gpt_pro_point_forecast_strategy\ASOF_CONTRACT.md,733,24027b118b7e1ca286dc38fda203844ab3dc2e29e414462f5ada1ca1e5ce8e95
experiments\0215_gpt_pro_point_forecast_strategy\CONCLUSION.md,278,4db0caba39fa3f68aed64c68faa67dea204e7ee858bd206a78faf12fb8ee7f62
experiments\0215_gpt_pro_point_forecast_strategy\DATA_MANIFEST.md,3131,564846eb110d59615d324777b84bc0701b4827c456513d33d71632e43279676a
experiments\0215_gpt_pro_point_forecast_strategy\final_forecasting_strategy_report.md,41545,40ce585c2c09db65a7c8fe2f62b422ac38842b2d58bc90e5322b14bcdc011c30
experiments\0215_gpt_pro_point_forecast_strategy\HYPOTHESIS.md,448,e52bb0b08b5fc7ab8f1ffeda78ed0a917300320f8cc42d9257d16b3738198e16
experiments\0215_gpt_pro_point_forecast_strategy\logs\stage_timing.log,821,0635cafd8a4cf4292f4a242377a55dc7dcc22972eb1d2abf8cb16a3f57913234
experiments\0215_gpt_pro_point_forecast_strategy\PROTOCOL.md,870,c13906f116c558f65af3ea3e58736a901722a87e19ab41b77acbc98305c16d01
experiments\0215_gpt_pro_point_forecast_strategy\REPRODUCE.md,498,d380f2618d966598ad11f7aa7f5b2e643514401f5bf1a18e23dfd74a1aec9715
experiments\0215_gpt_pro_point_forecast_strategy\results\ablation_scoreboard.csv,22355,1de77ab4a71afedd0c64603e60d7ab6542d02531523b031ceb827842b1df3112
experiments\0215_gpt_pro_point_forecast_strategy\results\baseline_scoreboard.csv,11316,197a3f99086667aff7e205e5851c39d719e62ee4d1deda65438a7d2f82469bf7
experiments\0215_gpt_pro_point_forecast_strategy\results\boundary_diagnostics.csv,340,7cd3c607ee7708f4f8366015c8a598048bcb3bb94796505beaad6fecbece9f2c
experiments\0215_gpt_pro_point_forecast_strategy\results\bulletin_feasibility_diagnostic.csv,4438,59880b2801b14361529aee244f5a8b3e3fa3b80abe242969d6be9ba893726988
experiments\0215_gpt_pro_point_forecast_strategy\results\climate_table_candidates.csv,109,d83169809ae3589e96623ffa383fd61842b772065f39fcbca1870246a9ebf643
