variable,rows,first_date,last_date,null_value_percent,operational_input_allowed_percent,availability_tiers
bright_sunshine_duration,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
cloud_to_cloud_lightning,6768,2005-06-21,2023-12-31,0.0,0.0,MECHANISM_ONLY
cloud_to_ground_lightning,6768,2005-06-21,2023-12-31,0.0,0.0,MECHANISM_ONLY
daily_maximum_temperature,9131,1999-01-01,2023-12-31,0.0,0.0,TARGET_ONLY
daily_minimum_temperature,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
daily_rainfall,9131,1999-01-01,2023-12-31,20.392070967035377,0.0,MECHANISM_ONLY
evaporation,9131,1999-01-01,2023-12-31,0.7666192092870441,0.0,MECHANISM_ONLY
global_solar_radiation,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
grass_minimum_temperature,9131,1999-01-01,2023-12-31,0.777570912276859,0.0,MECHANISM_ONLY
mean_cloud_amount,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
mean_dew_point_temperature,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
mean_relative_humidity,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
mean_sea_level_pressure,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
mean_temperature,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
mean_wet_bulb_temperature,9131,1999-01-01,2023-12-31,0.0,0.0,MECHANISM_ONLY
mean_wind_speed,9131,1999-01-01,2023-12-31,0.8542328332055635,0.0,MECHANISM_ONLY
prevailing_wind_direction,9131,1999-01-01,2023-12-31,1.3361077647574198,0.0,MECHANISM_ONLY
reduced_visibility_hours,9131,1999-01-01,2023-12-31,0.032855108969444755,0.0,MECHANISM_ONLY
sea_temperature,9131,1999-01-01,2023-12-31,38.59380133610777,0.0,MECHANISM_ONLY
sea_temperature_am,9131,1999-01-01,2023-12-31,0.2190340597962983,0.0,MECHANISM_ONLY
sea_temperature_pm,9131,1999-01-01,2023-12-31,0.2299857627861132,0.0,MECHANISM_ONLY
