cutoff_profile,feature,family,rows,non_null_count,missing_pct
tminus1_1500,residual_lag14_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_lag3_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_lag7_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_memory_count_roll14,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_memory_count_roll30,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_memory_count_roll60,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_memory_count_roll7,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_memory_missing_lag2_flag,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_memory_missing_roll30_flag,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_memory_missing_roll7_flag,official_residual_memory,9647,9647,0.0
tminus1_1500,residual_roll14_abs_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll14_large_negative_rate_lag2,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll14_large_positive_rate_lag2,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll14_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll14_positive_rate_lag2,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_abs_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_ewm_halflife10_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_large_abs_rate_lag2,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_median_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_positive_rate_lag2,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll30_std_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll60_abs_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll60_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_abs_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_ewm_halflife3_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_mean_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_median_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_minus_roll30_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_positive_rate_lag2,official_residual_memory,9647,0,100.0
tminus1_1500,residual_roll7_std_lag2_c,official_residual_memory,9647,0,100.0
tminus1_1800,residual_lag14_c,official_residual_memory,9647,8321,13.745205763449778
tminus1_1800,residual_lag2_c,official_residual_memory,9647,8333,13.620814761065617
tminus1_1800,residual_lag3_c,official_residual_memory,9647,8332,13.631180677930962
tminus1_1800,residual_lag7_c,official_residual_memory,9647,8328,13.672644345392351
tminus1_1800,residual_memory_count_roll14,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_memory_count_roll30,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_memory_count_roll60,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_memory_count_roll7,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_memory_missing_lag2_flag,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_memory_missing_roll30_flag,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_memory_missing_roll7_flag,official_residual_memory,9647,9647,0.0
tminus1_1800,residual_roll14_abs_mean_lag2_c,official_residual_memory,9647,9427,2.280501710376283
tminus1_1800,residual_roll14_large_negative_rate_lag2,official_residual_memory,9647,9427,2.280501710376283
tminus1_1800,residual_roll14_large_positive_rate_lag2,official_residual_memory,9647,9427,2.280501710376283
tminus1_1800,residual_roll14_mean_lag2_c,official_residual_memory,9647,9427,2.280501710376283
tminus1_1800,residual_roll14_positive_rate_lag2,official_residual_memory,9647,9427,2.280501710376283
tminus1_1800,residual_roll30_abs_mean_lag2_c,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll30_ewm_halflife10_lag2_c,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll30_large_abs_rate_lag2,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll30_mean_lag2_c,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll30_median_lag2_c,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll30_positive_rate_lag2,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll30_std_lag2_c,official_residual_memory,9647,9500,1.5237897792059707
tminus1_1800,residual_roll60_abs_mean_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_1800,residual_roll60_mean_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_1800,residual_roll7_abs_mean_lag2_c,official_residual_memory,9647,9138,5.27625168446149
tminus1_1800,residual_roll7_ewm_halflife3_lag2_c,official_residual_memory,9647,9138,5.27625168446149
tminus1_1800,residual_roll7_mean_lag2_c,official_residual_memory,9647,9138,5.27625168446149
tminus1_1800,residual_roll7_median_lag2_c,official_residual_memory,9647,9138,5.27625168446149
tminus1_1800,residual_roll7_minus_roll30_lag2_c,official_residual_memory,9647,9076,5.918938530112988
tminus1_1800,residual_roll7_positive_rate_lag2,official_residual_memory,9647,9138,5.27625168446149
tminus1_1800,residual_roll7_std_lag2_c,official_residual_memory,9647,9138,5.27625168446149
tminus1_2100,residual_lag14_c,official_residual_memory,9647,8414,12.78117549497253
tminus1_2100,residual_lag2_c,official_residual_memory,9647,8426,12.656784492588368
tminus1_2100,residual_lag3_c,official_residual_memory,9647,8425,12.667150409453717
tminus1_2100,residual_lag7_c,official_residual_memory,9647,8421,12.708614076915104
tminus1_2100,residual_memory_count_roll14,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_memory_count_roll30,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_memory_count_roll60,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_memory_count_roll7,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_memory_missing_lag2_flag,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_memory_missing_roll30_flag,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_memory_missing_roll7_flag,official_residual_memory,9647,9647,0.0
tminus1_2100,residual_roll14_abs_mean_lag2_c,official_residual_memory,9647,9457,1.9695242044158807
tminus1_2100,residual_roll14_large_negative_rate_lag2,official_residual_memory,9647,9457,1.9695242044158807
tminus1_2100,residual_roll14_large_positive_rate_lag2,official_residual_memory,9647,9457,1.9695242044158807
tminus1_2100,residual_roll14_mean_lag2_c,official_residual_memory,9647,9457,1.9695242044158807
tminus1_2100,residual_roll14_positive_rate_lag2,official_residual_memory,9647,9457,1.9695242044158807
tminus1_2100,residual_roll30_abs_mean_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll30_ewm_halflife10_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll30_large_abs_rate_lag2,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll30_mean_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll30_median_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll30_positive_rate_lag2,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll30_std_lag2_c,official_residual_memory,9647,9519,1.3268373587643827
tminus1_2100,residual_roll60_abs_mean_lag2_c,official_residual_memory,9647,9526,1.2542759407069555
tminus1_2100,residual_roll60_mean_lag2_c,official_residual_memory,9647,9526,1.2542759407069555
tminus1_2100,residual_roll7_abs_mean_lag2_c,official_residual_memory,9647,9184,4.79941950865554
tminus1_2100,residual_roll7_ewm_halflife3_lag2_c,official_residual_memory,9647,9184,4.79941950865554
tminus1_2100,residual_roll7_mean_lag2_c,official_residual_memory,9647,9184,4.79941950865554
tminus1_2100,residual_roll7_median_lag2_c,official_residual_memory,9647,9184,4.79941950865554
tminus1_2100,residual_roll7_minus_roll30_lag2_c,official_residual_memory,9647,9127,5.3902767699803045
tminus1_2100,residual_roll7_positive_rate_lag2,official_residual_memory,9647,9184,4.79941950865554
tminus1_2100,residual_roll7_std_lag2_c,official_residual_memory,9647,9184,4.79941950865554
tminus1_2359,residual_lag14_c,official_residual_memory,9647,9630,0.17622058671089458
tminus1_2359,residual_lag2_c,official_residual_memory,9647,9642,0.0518295843267337
tminus1_2359,residual_lag3_c,official_residual_memory,9647,9641,0.06219550119208044
tminus1_2359,residual_lag7_c,official_residual_memory,9647,9637,0.1036591686534674
tminus1_2359,residual_memory_count_roll14,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_memory_count_roll30,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_memory_count_roll60,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_memory_count_roll7,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_memory_missing_lag2_flag,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_memory_missing_roll30_flag,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_memory_missing_roll7_flag,official_residual_memory,9647,9647,0.0
tminus1_2359,residual_roll14_abs_mean_lag2_c,official_residual_memory,9647,9639,0.08292733492277392
tminus1_2359,residual_roll14_large_negative_rate_lag2,official_residual_memory,9647,9639,0.08292733492277392
tminus1_2359,residual_roll14_large_positive_rate_lag2,official_residual_memory,9647,9639,0.08292733492277392
tminus1_2359,residual_roll14_mean_lag2_c,official_residual_memory,9647,9639,0.08292733492277392
tminus1_2359,residual_roll14_positive_rate_lag2,official_residual_memory,9647,9639,0.08292733492277392
tminus1_2359,residual_roll30_abs_mean_lag2_c,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll30_ewm_halflife10_lag2_c,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll30_large_abs_rate_lag2,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll30_mean_lag2_c,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll30_median_lag2_c,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll30_positive_rate_lag2,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll30_std_lag2_c,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll60_abs_mean_lag2_c,official_residual_memory,9647,9616,0.32134342282574896
tminus1_2359,residual_roll60_mean_lag2_c,official_residual_memory,9647,9616,0.32134342282574896
tminus1_2359,residual_roll7_abs_mean_lag2_c,official_residual_memory,9647,9642,0.0518295843267337
tminus1_2359,residual_roll7_ewm_halflife3_lag2_c,official_residual_memory,9647,9642,0.0518295843267337
tminus1_2359,residual_roll7_mean_lag2_c,official_residual_memory,9647,9642,0.0518295843267337
tminus1_2359,residual_roll7_median_lag2_c,official_residual_memory,9647,9642,0.0518295843267337
tminus1_2359,residual_roll7_minus_roll30_lag2_c,official_residual_memory,9647,9631,0.16585466984554784
tminus1_2359,residual_roll7_positive_rate_lag2,official_residual_memory,9647,9642,0.0518295843267337
tminus1_2359,residual_roll7_std_lag2_c,official_residual_memory,9647,9642,0.0518295843267337
