bucket,one_vs_rest_brier,validation_split,method
24_or_below,0.2396199481013446,fold1,B0_climatology
25,0.034417627468763506,fold1,B0_climatology
26,0.05337088242922553,fold1,B0_climatology
27,0.05739562888515562,fold1,B0_climatology
28,0.06692860833965437,fold1,B0_climatology
29,0.07461046768641579,fold1,B0_climatology
30,0.06783858781596311,fold1,B0_climatology
31,0.07001089650983817,fold1,B0_climatology
32,0.08623510659085971,fold1,B0_climatology
33,0.04209969221070186,fold1,B0_climatology
34_or_higher,0.008144487883151497,fold1,B0_climatology
24_or_below,0.03551398317125986,fold1,B1_global_residual_pmf
25,0.02828501801724422,fold1,B1_global_residual_pmf
26,0.04522242501313342,fold1,B1_global_residual_pmf
27,0.04957277253162915,fold1,B1_global_residual_pmf
28,0.05742823315838948,fold1,B1_global_residual_pmf
29,0.06064852392824077,fold1,B1_global_residual_pmf
30,0.05812898916378182,fold1,B1_global_residual_pmf
31,0.05684185446462525,fold1,B1_global_residual_pmf
32,0.06349128245473781,fold1,B1_global_residual_pmf
33,0.031170086433013826,fold1,B1_global_residual_pmf
34_or_higher,0.010803376923502542,fold1,B1_global_residual_pmf
24_or_below,0.03465420080847216,fold1,B2_month_residual_pmf
25,0.02857864353694849,fold1,B2_month_residual_pmf
26,0.044462231668204254,fold1,B2_month_residual_pmf
27,0.04897615028011987,fold1,B2_month_residual_pmf
28,0.05793835869240754,fold1,B2_month_residual_pmf
29,0.06017185828854573,fold1,B2_month_residual_pmf
30,0.057977453283895725,fold1,B2_month_residual_pmf
31,0.05682017385908941,fold1,B2_month_residual_pmf
32,0.06304176121309366,fold1,B2_month_residual_pmf
33,0.030800365646451854,fold1,B2_month_residual_pmf
34_or_higher,0.009693803224101188,fold1,B2_month_residual_pmf
24_or_below,0.03495831426366896,fold1,B3_forecast_level_residual_pmf
25,0.027853526780864002,fold1,B3_forecast_level_residual_pmf
26,0.04554858479827062,fold1,B3_forecast_level_residual_pmf
27,0.0499022924626916,fold1,B3_forecast_level_residual_pmf
28,0.057174453252881806,fold1,B3_forecast_level_residual_pmf
29,0.061080717846862156,fold1,B3_forecast_level_residual_pmf
30,0.05817683441808421,fold1,B3_forecast_level_residual_pmf
31,0.05710575954152016,fold1,B3_forecast_level_residual_pmf
32,0.060882018902767815,fold1,B3_forecast_level_residual_pmf
33,0.030912524628545386,fold1,B3_forecast_level_residual_pmf
34_or_higher,0.008394594703442367,fold1,B3_forecast_level_residual_pmf
24_or_below,0.03456211069457879,fold1,B4_hierarchical_residual_pmf
25,0.02857960405761715,fold1,B4_hierarchical_residual_pmf
26,0.044294761798247845,fold1,B4_hierarchical_residual_pmf
27,0.0488242590785729,fold1,B4_hierarchical_residual_pmf
28,0.05741493662830648,fold1,B4_hierarchical_residual_pmf
29,0.06058183656583862,fold1,B4_hierarchical_residual_pmf
30,0.057374079783774325,fold1,B4_hierarchical_residual_pmf
31,0.05720990209261277,fold1,B4_hierarchical_residual_pmf
32,0.061534692308237396,fold1,B4_hierarchical_residual_pmf
33,0.030389386367565,fold1,B4_hierarchical_residual_pmf
34_or_higher,0.009000867222017471,fold1,B4_hierarchical_residual_pmf
24_or_below,0.0341223656073679,fold1,B5_kernel_analog_pmf
25,0.02873130495648887,fold1,B5_kernel_analog_pmf
26,0.04480244277513303,fold1,B5_kernel_analog_pmf
27,0.04913432672221906,fold1,B5_kernel_analog_pmf
28,0.05792518839441739,fold1,B5_kernel_analog_pmf
29,0.06104588000036646,fold1,B5_kernel_analog_pmf
30,0.05767250984420078,fold1,B5_kernel_analog_pmf
31,0.05651069265543507,fold1,B5_kernel_analog_pmf
32,0.060483370182171564,fold1,B5_kernel_analog_pmf
33,0.030340993532301918,fold1,B5_kernel_analog_pmf
34_or_higher,0.008423109343927898,fold1,B5_kernel_analog_pmf
24_or_below,0.07381922198274114,fold1,B6_month_climatology_diagnostic
25,0.03304902860470885,fold1,B6_month_climatology_diagnostic
26,0.05197757284808191,fold1,B6_month_climatology_diagnostic
27,0.054257998250000765,fold1,B6_month_climatology_diagnostic
28,0.06333118534609648,fold1,B6_month_climatology_diagnostic
29,0.07024048104797204,fold1,B6_month_climatology_diagnostic
30,0.06279392595984856,fold1,B6_month_climatology_diagnostic
31,0.06298870914815735,fold1,B6_month_climatology_diagnostic
32,0.07075804744402649,fold1,B6_month_climatology_diagnostic
33,0.03815126144796987,fold1,B6_month_climatology_diagnostic
34_or_higher,0.008083990258686223,fold1,B6_month_climatology_diagnostic
24_or_below,0.035705486072927194,fold1,P1_normal_mos
25,0.02864987699106543,fold1,P1_normal_mos
26,0.04555186154795267,fold1,P1_normal_mos
27,0.04951028376612597,fold1,P1_normal_mos
28,0.05727259860320517,fold1,P1_normal_mos
29,0.06084363136881914,fold1,P1_normal_mos
30,0.05802650922185417,fold1,P1_normal_mos
31,0.0570720432114729,fold1,P1_normal_mos
32,0.06362237225934693,fold1,P1_normal_mos
33,0.03126745630056966,fold1,P1_normal_mos
34_or_higher,0.009228750197163824,fold1,P1_normal_mos
24_or_below,0.03552260527983045,fold1,P2_student_t_mos
25,0.028601038826104097,fold1,P2_student_t_mos
26,0.04551911633712401,fold1,P2_student_t_mos
27,0.049420438457476075,fold1,P2_student_t_mos
28,0.0572210786144081,fold1,P2_student_t_mos
29,0.06092596702370368,fold1,P2_student_t_mos
30,0.057976303216680375,fold1,P2_student_t_mos
31,0.057079831355104735,fold1,P2_student_t_mos
32,0.06397601056502333,fold1,P2_student_t_mos
33,0.031416338666682704,fold1,P2_student_t_mos
34_or_higher,0.009502258993272722,fold1,P2_student_t_mos
24_or_below,0.036858622180887424,fold1,C1_multinomial_ridge
25,0.029627809832096282,fold1,C1_multinomial_ridge
26,0.045387919708763116,fold1,C1_multinomial_ridge
27,0.049951345349772344,fold1,C1_multinomial_ridge
28,0.05728246787041685,fold1,C1_multinomial_ridge
29,0.062032223962298245,fold1,C1_multinomial_ridge
30,0.05805630860593522,fold1,C1_multinomial_ridge
31,0.05778349076545736,fold1,C1_multinomial_ridge
32,0.06106682826438717,fold1,C1_multinomial_ridge
33,0.03273308191261708,fold1,C1_multinomial_ridge
34_or_higher,0.0076223998903257,fold1,C1_multinomial_ridge
24_or_below,0.03686304315944897,fold1,C2_ordinal_cdf_logistic
25,0.02895688961663915,fold1,C2_ordinal_cdf_logistic
26,0.046105584753960566,fold1,C2_ordinal_cdf_logistic
27,0.04952096367867311,fold1,C2_ordinal_cdf_logistic
28,0.056887848174591284,fold1,C2_ordinal_cdf_logistic
29,0.06124230549998014,fold1,C2_ordinal_cdf_logistic
30,0.05790090220841059,fold1,C2_ordinal_cdf_logistic
31,0.05742960618640482,fold1,C2_ordinal_cdf_logistic
32,0.06140960133725882,fold1,C2_ordinal_cdf_logistic
33,0.03229580354329599,fold1,C2_ordinal_cdf_logistic
34_or_higher,0.007741926395708628,fold1,C2_ordinal_cdf_logistic
24_or_below,0.03456211069457879,fold1,K0_B4_identity
25,0.02857960405761715,fold1,K0_B4_identity
26,0.044294761798247845,fold1,K0_B4_identity
27,0.0488242590785729,fold1,K0_B4_identity
28,0.05741493662830648,fold1,K0_B4_identity
29,0.06058183656583862,fold1,K0_B4_identity
30,0.057374079783774325,fold1,K0_B4_identity
31,0.05720990209261277,fold1,K0_B4_identity
32,0.061534692308237396,fold1,K0_B4_identity
33,0.030389386367565,fold1,K0_B4_identity
34_or_higher,0.009000867222017471,fold1,K0_B4_identity
24_or_below,0.034430455989512776,fold1,K1_B4_power_calibrated
25,0.02859339854838349,fold1,K1_B4_power_calibrated
26,0.04424233732751698,fold1,K1_B4_power_calibrated
27,0.04878068583343406,fold1,K1_B4_power_calibrated
28,0.05731284220950459,fold1,K1_B4_power_calibrated
29,0.060619456227677934,fold1,K1_B4_power_calibrated
30,0.057310076946573474,fold1,K1_B4_power_calibrated
31,0.057154857489329365,fold1,K1_B4_power_calibrated
32,0.06164169947857559,fold1,K1_B4_power_calibrated
33,0.030430136132923395,fold1,K1_B4_power_calibrated
34_or_higher,0.009007952742559142,fold1,K1_B4_power_calibrated
24_or_below,0.03456211069457879,fold1,K2_B4_monotone_cdf_projected
25,0.02857960405761715,fold1,K2_B4_monotone_cdf_projected
26,0.044294761798247845,fold1,K2_B4_monotone_cdf_projected
27,0.0488242590785729,fold1,K2_B4_monotone_cdf_projected
28,0.05741493662830648,fold1,K2_B4_monotone_cdf_projected
29,0.06058183656583862,fold1,K2_B4_monotone_cdf_projected
30,0.057374079783774325,fold1,K2_B4_monotone_cdf_projected
31,0.05720990209261277,fold1,K2_B4_monotone_cdf_projected
32,0.061534692308237396,fold1,K2_B4_monotone_cdf_projected
33,0.030389386367565,fold1,K2_B4_monotone_cdf_projected
34_or_higher,0.009000867222017471,fold1,K2_B4_monotone_cdf_projected
