target_year,target_month,cutoff_profile,rows
2000,1,t_minus_1_1800_hkt,24
2000,1,t_minus_1_2100_hkt,24
2000,1,t_minus_1_2359_hkt,30
2000,2,t_minus_1_1800_hkt,22
2000,2,t_minus_1_2100_hkt,23
2000,2,t_minus_1_2359_hkt,29
2000,3,t_minus_1_1800_hkt,23
2000,3,t_minus_1_2100_hkt,24
2000,3,t_minus_1_2359_hkt,31
2000,4,t_minus_1_1800_hkt,28
2000,4,t_minus_1_2100_hkt,28
2000,4,t_minus_1_2359_hkt,30
2000,5,t_minus_1_1800_hkt,24
2000,5,t_minus_1_2100_hkt,25
2000,5,t_minus_1_2359_hkt,31
2000,6,t_minus_1_1800_hkt,24
2000,6,t_minus_1_2100_hkt,24
2000,6,t_minus_1_2359_hkt,30
2000,7,t_minus_1_1800_hkt,25
2000,7,t_minus_1_2100_hkt,25
2000,7,t_minus_1_2359_hkt,31
2000,8,t_minus_1_1800_hkt,25
2000,8,t_minus_1_2100_hkt,26
2000,8,t_minus_1_2359_hkt,31
2000,9,t_minus_1_1800_hkt,25
2000,9,t_minus_1_2100_hkt,25
2000,9,t_minus_1_2359_hkt,30
2000,10,t_minus_1_1800_hkt,27
2000,10,t_minus_1_2100_hkt,27
2000,10,t_minus_1_2359_hkt,31
2000,11,t_minus_1_1800_hkt,25
2000,11,t_minus_1_2100_hkt,25
2000,11,t_minus_1_2359_hkt,30
2000,12,t_minus_1_1800_hkt,24
2000,12,t_minus_1_2100_hkt,24
2000,12,t_minus_1_2359_hkt,31
2001,1,t_minus_1_1800_hkt,26
2001,1,t_minus_1_2100_hkt,26
2001,1,t_minus_1_2359_hkt,31
2001,2,t_minus_1_1800_hkt,20
2001,2,t_minus_1_2100_hkt,20
2001,2,t_minus_1_2359_hkt,28
2001,3,t_minus_1_1800_hkt,28
2001,3,t_minus_1_2100_hkt,28
2001,3,t_minus_1_2359_hkt,31
2001,4,t_minus_1_1800_hkt,28
2001,4,t_minus_1_2100_hkt,28
2001,4,t_minus_1_2359_hkt,30
2001,5,t_minus_1_1800_hkt,28
2001,5,t_minus_1_2100_hkt,28
2001,5,t_minus_1_2359_hkt,31
2001,6,t_minus_1_1800_hkt,26
2001,6,t_minus_1_2100_hkt,26
2001,6,t_minus_1_2359_hkt,30
2001,7,t_minus_1_1800_hkt,26
2001,7,t_minus_1_2100_hkt,26
2001,7,t_minus_1_2359_hkt,31
2001,8,t_minus_1_1800_hkt,26
2001,8,t_minus_1_2100_hkt,27
2001,8,t_minus_1_2359_hkt,31
2001,9,t_minus_1_1800_hkt,27
2001,9,t_minus_1_2100_hkt,27
2001,9,t_minus_1_2359_hkt,30
2001,10,t_minus_1_1800_hkt,25
2001,10,t_minus_1_2100_hkt,26
2001,10,t_minus_1_2359_hkt,31
2001,11,t_minus_1_1800_hkt,22
2001,11,t_minus_1_2100_hkt,22
2001,11,t_minus_1_2359_hkt,30
2001,12,t_minus_1_1800_hkt,15
2001,12,t_minus_1_2100_hkt,15
2001,12,t_minus_1_2359_hkt,31
2002,1,t_minus_1_1800_hkt,16
2002,1,t_minus_1_2100_hkt,17
2002,1,t_minus_1_2359_hkt,31
2002,2,t_minus_1_1800_hkt,26
2002,2,t_minus_1_2100_hkt,27
2002,2,t_minus_1_2359_hkt,28
2002,3,t_minus_1_1800_hkt,29
2002,3,t_minus_1_2100_hkt,29
2002,3,t_minus_1_2359_hkt,31
2002,4,t_minus_1_1800_hkt,27
2002,4,t_minus_1_2100_hkt,27
2002,4,t_minus_1_2359_hkt,30
2002,5,t_minus_1_1800_hkt,20
2002,5,t_minus_1_2100_hkt,22
2002,5,t_minus_1_2359_hkt,31
2002,6,t_minus_1_1800_hkt,22
2002,6,t_minus_1_2100_hkt,22
2002,6,t_minus_1_2359_hkt,30
2002,7,t_minus_1_1800_hkt,29
2002,7,t_minus_1_2100_hkt,29
2002,7,t_minus_1_2359_hkt,31
2002,8,t_minus_1_1800_hkt,24
2002,8,t_minus_1_2100_hkt,25
2002,8,t_minus_1_2359_hkt,31
2002,9,t_minus_1_1800_hkt,27
2002,9,t_minus_1_2100_hkt,27
2002,9,t_minus_1_2359_hkt,30
2002,10,t_minus_1_1800_hkt,26
2002,10,t_minus_1_2100_hkt,26
2002,10,t_minus_1_2359_hkt,31
2002,11,t_minus_1_1800_hkt,19
2002,11,t_minus_1_2100_hkt,19
2002,11,t_minus_1_2359_hkt,30
2002,12,t_minus_1_1800_hkt,18
2002,12,t_minus_1_2100_hkt,19
2002,12,t_minus_1_2359_hkt,31
2003,1,t_minus_1_1800_hkt,20
2003,1,t_minus_1_2100_hkt,20
2003,1,t_minus_1_2359_hkt,31
2003,2,t_minus_1_1800_hkt,23
2003,2,t_minus_1_2100_hkt,23
2003,2,t_minus_1_2359_hkt,27
2003,3,t_minus_1_1800_hkt,26
2003,3,t_minus_1_2100_hkt,27
2003,3,t_minus_1_2359_hkt,31
2003,4,t_minus_1_1800_hkt,26
2003,4,t_minus_1_2100_hkt,27
