validation_split,base_method,weight
fold1,B0_climatology,0.0
fold1,B1_global_residual_pmf,0.033934965828528896
fold1,B2_month_residual_pmf,0.019627585928362445
fold1,B3_forecast_level_residual_pmf,0.022180453659340457
fold1,B4_hierarchical_residual_pmf,0.85
fold1,P1_normal_mos,0.03166917173287108
fold1,C1_multinomial_ridge,0.042587822850897204
fold2,B0_climatology,0.008824554220868506
fold2,B1_global_residual_pmf,0.02453935512561036
fold2,B2_month_residual_pmf,0.026631392896351892
fold2,B3_forecast_level_residual_pmf,0.028185089602046517
fold2,B4_hierarchical_residual_pmf,0.85
fold2,P1_normal_mos,0.02853161534280555
fold2,C1_multinomial_ridge,0.033287992812317264
fold3,B0_climatology,0.00010425323192756617
fold3,B1_global_residual_pmf,0.034725288311302276
fold3,B2_month_residual_pmf,0.02236062032680578
fold3,B3_forecast_level_residual_pmf,0.03545375965018379
fold3,B4_hierarchical_residual_pmf,0.8500000000000001
fold3,P1_normal_mos,0.032684153310714004
fold3,C1_multinomial_ridge,0.02467192516906654
fold4,B0_climatology,0.0
fold4,B1_global_residual_pmf,0.038360736117266946
fold4,B2_month_residual_pmf,0.02619712999562083
fold4,B3_forecast_level_residual_pmf,0.03262013936197463
fold4,B4_hierarchical_residual_pmf,0.8500000000000001
fold4,P1_normal_mos,0.03249044303515907
fold4,C1_multinomial_ridge,0.0203315514899785
presealed_2022_2023,B0_climatology,0.0
presealed_2022_2023,B1_global_residual_pmf,0.033603836112963595
presealed_2022_2023,B2_month_residual_pmf,0.023472725198156533
presealed_2022_2023,B3_forecast_level_residual_pmf,0.025971277455983294
presealed_2022_2023,B4_hierarchical_residual_pmf,0.85
presealed_2022_2023,P1_normal_mos,0.029531221042599982
presealed_2022_2023,C1_multinomial_ridge,0.0374209401902966
sealed_2024_2026_05,B0_climatology,0.0
sealed_2024_2026_05,B1_global_residual_pmf,0.03557003713387744
sealed_2024_2026_05,B2_month_residual_pmf,0.02908639903806193
sealed_2024_2026_05,B3_forecast_level_residual_pmf,0.026262961282401097
sealed_2024_2026_05,B4_hierarchical_residual_pmf,0.8500000000000001
sealed_2024_2026_05,P1_normal_mos,0.030916113864666354
sealed_2024_2026_05,C1_multinomial_ridge,0.02816448868099324
fold1__t_minus_1_1800_hkt,B0_climatology,0.0
fold1__t_minus_1_1800_hkt,B1_global_residual_pmf,0.04273188351163377
