validation_split,base_method,weight,stack
fold1,B0_climatology,0.0,S1_conservative_simplex_stack
fold1,B1_global_residual_pmf,0.033934965828528896,S1_conservative_simplex_stack
fold1,B2_month_residual_pmf,0.019627585928362445,S1_conservative_simplex_stack
fold1,B3_forecast_level_residual_pmf,0.022180453659340457,S1_conservative_simplex_stack
fold1,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold1,P1_normal_mos,0.03166917173287108,S1_conservative_simplex_stack
fold1,C1_multinomial_ridge,0.042587822850897204,S1_conservative_simplex_stack
fold1,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
fold1,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
fold2,B0_climatology,0.008824554220868506,S1_conservative_simplex_stack
fold2,B1_global_residual_pmf,0.02453935512561036,S1_conservative_simplex_stack
fold2,B2_month_residual_pmf,0.026631392896351892,S1_conservative_simplex_stack
fold2,B3_forecast_level_residual_pmf,0.028185089602046517,S1_conservative_simplex_stack
fold2,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
fold2,P1_normal_mos,0.02853161534280555,S1_conservative_simplex_stack
fold2,C1_multinomial_ridge,0.033287992812317264,S1_conservative_simplex_stack
fold2,B4_hierarchical_residual_pmf,0.8,H1_b4_challenger_linear_pool
fold2,E2_student_t_emos,0.2,H1_b4_challenger_linear_pool
fold3,B0_climatology,0.00010425323192756617,S1_conservative_simplex_stack
fold3,B1_global_residual_pmf,0.034725288311302276,S1_conservative_simplex_stack
fold3,B2_month_residual_pmf,0.02236062032680578,S1_conservative_simplex_stack
fold3,B3_forecast_level_residual_pmf,0.03545375965018379,S1_conservative_simplex_stack
fold3,B4_hierarchical_residual_pmf,0.8500000000000001,S1_conservative_simplex_stack
fold3,P1_normal_mos,0.032684153310714004,S1_conservative_simplex_stack
fold3,C1_multinomial_ridge,0.02467192516906654,S1_conservative_simplex_stack
fold3,B4_hierarchical_residual_pmf,0.65,H1_b4_challenger_linear_pool
fold3,E2_student_t_emos,0.35,H1_b4_challenger_linear_pool
fold4,B0_climatology,0.0,S1_conservative_simplex_stack
fold4,B1_global_residual_pmf,0.038360736117266946,S1_conservative_simplex_stack
fold4,B2_month_residual_pmf,0.02619712999562083,S1_conservative_simplex_stack
fold4,B3_forecast_level_residual_pmf,0.03262013936197463,S1_conservative_simplex_stack
fold4,B4_hierarchical_residual_pmf,0.8500000000000001,S1_conservative_simplex_stack
fold4,P1_normal_mos,0.03249044303515907,S1_conservative_simplex_stack
fold4,C1_multinomial_ridge,0.0203315514899785,S1_conservative_simplex_stack
fold4,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
fold4,E1_normal_emos,0.5,H1_b4_challenger_linear_pool
presealed_2022_2023,B0_climatology,0.0,S1_conservative_simplex_stack
presealed_2022_2023,B1_global_residual_pmf,0.033603836112963595,S1_conservative_simplex_stack
presealed_2022_2023,B2_month_residual_pmf,0.023472725198156533,S1_conservative_simplex_stack
presealed_2022_2023,B3_forecast_level_residual_pmf,0.025971277455983294,S1_conservative_simplex_stack
presealed_2022_2023,B4_hierarchical_residual_pmf,0.85,S1_conservative_simplex_stack
presealed_2022_2023,P1_normal_mos,0.029531221042599982,S1_conservative_simplex_stack
presealed_2022_2023,C1_multinomial_ridge,0.0374209401902966,S1_conservative_simplex_stack
presealed_2022_2023,B4_hierarchical_residual_pmf,0.5,H1_b4_challenger_linear_pool
presealed_2022_2023,T1_time_decay_b4,0.5,H1_b4_challenger_linear_pool
sealed_2024_2026_05,B0_climatology,0.0,S1_conservative_simplex_stack
sealed_2024_2026_05,B1_global_residual_pmf,0.03557003713387744,S1_conservative_simplex_stack
sealed_2024_2026_05,B2_month_residual_pmf,0.02908639903806193,S1_conservative_simplex_stack
sealed_2024_2026_05,B3_forecast_level_residual_pmf,0.026262961282401097,S1_conservative_simplex_stack
