model_id,feature,importance,fold_id,cutoff_profile,model_slot
M2_lgbm_residual,trend_years_since_2000,109.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_rh_mean_12h_pct,100.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_latest_temp_minus_official_max_c,98.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,rev_last3_slope_c_per_hour,90.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_latest_dewpoint_depression_c,82.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,rev_last_change_age_hours,76.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,doy_sin,73.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,doy_cos,72.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_temp_trend_12h_c,66.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_temp_mean_24h_c,63.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_latest_dewpoint_c,61.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_rh_trend_3h_pct,48.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_temp_mean_6h_c,46.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_latest_temp_minus_official_min_c,44.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_temp_mean_12h_c,42.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,official_range_c,42.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_rh_mean_6h_pct,29.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,fcst_flag_thunderstorm,22.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
M2_lgbm_residual,hko_temp_trend_6h_c,21.0,fold1_2011_2013,tminus1_2359,M2a_pruned_A3_LGBM_residual
