predicted_benefit_decile,rows,actual_mean_abs_improvement_vs_raw_c,router_apply_rate,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast
0,1577,0.0,0.0,1577,0.9522511097019658,1.219605745209337,0.8000000000000007,-0.04660748256182627,1.5,2.0,2.5,4.5,25.308180088776158,25.354787571337983,
1,1577,0.00021737123098115532,0.017121116043119847,1577,0.8851979743619167,1.1422806890716022,0.6999999999999993,0.05896780655101447,1.478900860245352,1.8999999999999986,2.2090905242661694,4.600000000000001,27.87684986108494,27.81788205453393,
2,1576,0.002075456430794558,0.125,1576,0.9215286044829112,1.1907077893303666,0.7000000000000028,-0.007580549990188664,1.5,2.0,2.4949219246904457,4.510997225178002,27.724081886558032,27.731662436548223,
3,1577,0.0039040573251217995,0.23779327837666456,1577,0.936172036523959,1.1878941886446317,0.7539446067441276,-0.005945853512761239,1.5,2.0,2.3999999999999986,4.600000000000001,27.505595046931116,27.51154090044388,
4,1577,0.006818339166187706,0.3823715916296766,1577,0.9698462137824491,1.2325698178078033,0.8000000000000007,-0.05063230114679608,1.6000000000000014,2.0709912606718843,2.404983796018351,3.8999999999999986,27.782468523203235,27.833100824350034,
5,1576,0.006164015949770907,0.5691624365482234,1576,0.9202953749131733,1.172011131990976,0.7830860345590338,-0.03269887237989723,1.5,1.8999999999999986,2.3000000000000007,4.100000000000001,27.640016863660712,27.67271573604061,
6,1577,0.02096361253065091,0.7520608750792644,1577,0.8808119106145614,1.1271121744311392,0.6999999999999993,-0.021210668371080946,1.43561103709384,1.8812382189987973,2.299999999999998,3.67811204476088,27.40206136713938,27.423272035510465,
7,1576,0.045336335239351655,0.8629441624365483,1576,0.9464149337961815,1.2131639010431046,0.7687564706215504,0.02618503740167995,1.5,2.010492808313259,2.4032880070967835,8.1,26.959687575472742,26.933502538071064,
8,1577,0.07627686188346612,0.9632213062777425,1577,0.9057142605008078,1.1491829784936107,0.7506883527564199,-0.04401194831457944,1.4025927363086697,1.9024188053116031,2.2316147888729194,3.9631164477931584,26.246920201336653,26.290932149651237,
9,1577,0.1432988451663784,0.9949270767279645,1577,0.8863777559750295,1.1519661855306285,0.7008366979781719,-0.08763155437932604,1.4494588100272798,1.9664209125456966,2.342009755499584,4.0711941087994,23.724162992228162,23.81179454660748,
