feature,present,family,missing_pct,policy_status,max_raw_features,selected_feature_count
official_max_c,True,official_anchor,31.566808334197162,pass,90,64
official_min_c,True,official_anchor,31.566808334197162,pass,90,64
official_range_c,True,official_anchor,31.566808334197162,pass,90,64
official_midpoint_c,True,official_anchor,31.566808334197162,pass,90,64
official_max_bin,True,official_anchor,31.566808334197162,pass,90,64
official_range_bin,True,official_anchor,31.566808334197162,pass,90,64
issue_hour_bucket,True,official_anchor,31.566808334197162,pass,90,64
issue_age_minutes,True,official_anchor,31.566808334197162,pass,90,64
eligible_forecast_count,True,forecast_revision,0.0,pass,90,64
rev_count,True,forecast_revision,31.566808334197162,pass,90,64
rev_path_min_c,True,forecast_revision,31.566808334197162,pass,90,64
rev_path_max_c,True,forecast_revision,31.566808334197162,pass,90,64
rev_path_range_c,True,forecast_revision,31.566808334197162,pass,90,64
rev_path_std_c,True,forecast_revision,31.566808334197162,pass,90,64
rev_latest_minus_prev_max_c,True,forecast_revision,31.999585363325384,pass,90,64
rev_latest_minus_first_max_c,True,forecast_revision,31.566808334197162,pass,90,64
rev_last3_slope_c_per_hour,True,forecast_revision,31.566808334197162,pass,90,64
rev_last_change_age_hours,True,forecast_revision,31.999585363325384,pass,90,64
fcst_flag_thunderstorm,True,forecast_revision,31.566808334197162,pass,90,64
fcst_flag_showers,True,forecast_revision,31.566808334197162,pass,90,64
fcst_flag_heavy_showers,True,forecast_revision,31.566808334197162,pass,90,64
fcst_flag_very_hot,True,forecast_revision,31.566808334197162,pass,90,64
fcst_flag_nt_higher,True,forecast_revision,31.566808334197162,pass,90,64
month,True,calendar,0.0,pass,90,64
season_bucket,True,calendar,0.0,pass,90,64
doy_sin,True,calendar,0.0,pass,90,64
doy_cos,True,calendar,0.0,pass,90,64
trend_years_since_2000,True,calendar,0.0,pass,90,64
hko_latest_temp_c,True,hko_hourly_state,0.0,pass,90,64
hko_latest_temp_minus_official_max_c,True,hko_hourly_state,31.566808334197162,pass,90,64
hko_latest_temp_minus_official_min_c,True,hko_hourly_state,31.566808334197162,pass,90,64
hko_latest_dewpoint_c,True,hko_hourly_state,0.0,pass,90,64
hko_latest_dewpoint_depression_c,True,hko_hourly_state,0.0,pass,90,64
hko_latest_rh_pct,True,hko_hourly_state,0.0,pass,90,64
hko_temp_trend_3h_c,True,hko_hourly_state,0.08292733492277392,pass,90,64
hko_temp_trend_6h_c,True,hko_hourly_state,0.0673784596247538,pass,90,64
hko_temp_trend_12h_c,True,hko_hourly_state,0.01036591686534674,pass,90,64
hko_temp_mean_6h_c,True,hko_hourly_state,0.04923810511039702,pass,90,64
hko_temp_mean_12h_c,True,hko_hourly_state,0.03887218824505028,pass,90,64
hko_temp_mean_24h_c,True,hko_hourly_state,0.007774437649010055,pass,90,64
hko_rh_trend_3h_pct,True,hko_hourly_state,0.08292733492277392,pass,90,64
hko_rh_mean_6h_pct,True,hko_hourly_state,0.04923810511039702,pass,90,64
hko_rh_mean_12h_pct,True,hko_hourly_state,0.03887218824505028,pass,90,64
network_mean_trend_6h_c,True,station_network,0.0,pass,90,64
network_spread_mean_6h_c,True,station_network,0.0,pass,90,64
network_spread_max_6h_c,True,station_network,0.0,pass,90,64
network_latest_temp_spread_c,True,station_network,0.0,pass,90,64
nt_heat_ceiling_index_c,True,station_network,31.569399813413497,pass,90,64
urban_core_mean_minus_coastal_marine_mean_c,True,station_network,0.018140354514356794,pass,90,64
inland_nt_mean_minus_coastal_marine_mean_c,True,station_network,0.002591479216336685,pass,90,64
west_nw_nt_mean_minus_coastal_marine_mean_c,True,station_network,0.002591479216336685,pass,90,64
inland_coastal_spread_6h_max_c,True,station_network,0.0,pass,90,64
network_latest_hko_minus_mean_c,True,station_network,0.0,pass,90,64
hourly_any_thunderstorm_warning_24h,True,text_warning_regime,0.0,pass,90,64
hourly_any_rainstorm_warning_24h,True,text_warning_regime,0.0,pass,90,64
hourly_warning_text_count_24h,True,text_warning_regime,0.0,pass,90,64
hourly_rainfall_text_count_24h,True,text_warning_regime,0.0,pass,90,64
target_clim_doy_30yr_median_c,True,target_history,0.0,pass,90,64
target_clim_doy_10yr_median_c,True,target_history,0.0,pass,90,64
target_modern_warming_signal_c,True,target_history,0.0,pass,90,64
target_lag2_minus_doy30_clim_c,True,target_history,9.122006841505131,pass,90,64
target_roll30_anomaly_lag2_c,True,target_history,9.122006841505131,pass,90,64
target_roll30_minus_doy30_clim_c,True,target_history,9.018347672851663,pass,90,64
target_lag_2_missing_flag,True,target_history,0.0,pass,90,64
