"relative_path","bytes","sha256"
"evidence\commands_run.txt","612","80eb95e293e746f7265f8c89b3c132975a5f7378766ad8d5f51d4c27b4df3bdb"
"evidence\git_diff_stat.txt","32310","f837a747600b9743b88a808639823c9314162e8a7dda7627cf5c5d4c01aea6e6"
"evidence\git_status_short.txt","86535","e8c27675d1d86e8c6f81684a5e77250fe63c09545655c49ba67e0e0d0dd96203"
"evidence\tracked_git_diff.patch","13442","ca10f8f5861b5724c939989ca4db0737e24aadfcd0ddcf0b6efc06ececca3635"
"evidence\tracked_name_status.txt","80","060ae573ff17e9608a088b89ed51fe91880832066b6387d00e4405e02c493630"
"handoff_docs\GPT_PRO_NEXT_ROUND_PROMPT.md","9020","376912c99e3efa190f938964ecac95a826955fcee4b882ee7e2e8e54c6f0a8e3"
"handoff_docs\README_HANDOFF.md","9276","46149a38e79af2fdeada5a1f13bad69d5c79386ee79534d8d2580f15f5bb8e4e"
"implementation\code\src\hkg_tmax\data\__init__.py","56","ebf860c4f6620b4ce2a2f51f13e3a3a9d611be62b9e8e65ef9d935f1368da268"
"implementation\code\src\hkg_tmax\data\forecast_anchor.py","19459","87e6b93fd6d42e0dfaa0d4fcff06c5722e1967898178f2760e48106114964045"
"implementation\code\src\hkg_tmax\data\hourly_readings_features.py","31769","0365729a55196e0e8757f3184bb0f2b4d945c51398d32810713f376b5b4956cd"
"implementation\code\src\hkg_tmax\data\target_history_features.py","10642","41a5c2b39fd3b95185a8c9fcc42e22a570655a3eb1452a0d31d347c0fe175ddf"
"implementation\code\src\hkg_tmax\evaluation\__init__.py","56","87d97a2da5c2dc59df4cd86ab4dfa5e8040753d040c931bedf3d0f5d30a7fa51"
"implementation\code\src\hkg_tmax\evaluation\ablation_runner.py","16014","a5947ffa456f57d66981d95592dd5192c8a87c333c092e49116e72dcf9b594c2"
"implementation\code\src\hkg_tmax\evaluation\metrics.py","4627","619738bf03526260bb5688fb7f45e4f09f2e85b1a858dccf7b51f20628d6412c"
"implementation\code\src\hkg_tmax\evaluation\reporting.py","7022","6302c665a6c5e1af323673df008d12a6dcb7894609ae823e61b27f43a1671b4a"
"implementation\code\src\hkg_tmax\features\__init__.py","53","87a4615b25dd6e8f97fb142f729794f7081198cf6cfdecb6b8a8de775de55e71"
"implementation\code\src\hkg_tmax\features\feature_registry.py","2494","a718604f59705d63d441548d9c901d3279976eb7afd4de89822b8d17bed30ab5"
"implementation\code\src\hkg_tmax\features\leakage_guards.py","5875","c241b673f3b6f13b8c14fe5e33dca787d36732aa5221481ba621c7a694019a68"
"implementation\code\src\hkg_tmax\features\station_groups.py","1883","566ab40e14c9441532502e7947c43797404232e4ff78123e7d212fa8e7b14adb"
"implementation\code\src\hkg_tmax\features\text_regime_flags.py","2922","d8bbdd704238bb4122087e22d72d3f78a09a1d975898705830cf93a0542d157a"
"implementation\code\src\hkg_tmax\modeling\__init__.py","54","a841e8087a84c344f7c79e909caa16a6c5a3911c61fd519269e62e9a535db6a1"
"implementation\code\src\hkg_tmax\modeling\baselines.py","3123","37da7874329b5fb8481e6d2c574ab27dfdfc565f4767d162b0b1be6df83536c2"
"implementation\code\src\hkg_tmax\modeling\ensemble.py","3197","75d40b7c297c4665bf5be80a9e175fc0168f8f6983dbd7e1f78cbeb72ff7d6df"
"implementation\code\src\hkg_tmax\modeling\residual_models.py","10718","a5c9a431d2dbb4b7e229741f658a16a4a5487805deaff4cb80d62027623238b8"
"implementation\code\tests\test_hkg_tmax_residual_ml_strategy.py","4851","8f4d64b2dcdcfcaba651636f62022a1c7d5a752227c74cfed345265a68b47a87"
"implementation\configs\hkg_tmax\residual_ml_strategy.yaml","531","26e5bcac0be00cceeadd38c6ab0b6aa7536bb687549ce7149b3ffa360bc75be4"
"implementation\docs\PROJECT_STRUCTURE_AND_CODE_MAP.md","27784","f2e68a58c87cf37c4d83d25f2b642db59cc56c92477798cbe794c446a20d8e8d"
"implementation\pyproject.toml","1702","5f0a50cf3de1311b8abe78c7445293e2877c32a4542d8a4b69d1294c1e8d89fb"
"implementation\requirements.txt","203","f8456a44f746dce8ec4e61ef43ef212a0a2ab06094cfd5d91d0998ab6787b3d6"
"implementation\scripts\run_hkg_tmax_residual_ml_strategy.py","13155","c5dda396d2647deff009ed2a99b5a8bf5f68d91738055e5416f3a177dd6fcf40"
"results_primary_smoke\ablation_scoreboard.csv","2928","867ba1acbcd4c755e418cc94feef99b9fd0248d6dadb1a7a9a2e962678b395c1"
"results_primary_smoke\artifact_manifest.csv","3281","d715887220334618295064991b0cb7c7435bec251ce852a71687e2fd0cc5ab44"
"results_primary_smoke\clipping_and_preprocessing_audit.json","280","7b861b4cfbc31174d38f7e5bf1c040636d50e2e34aa7f450d4145310dc1e4011"
"results_primary_smoke\cutoff_sensitivity_scoreboard.csv","189","5b1f14dcf8ea45f626c0e16859c7b18d92e567fc6fbe751664efa9d54d5c23bb"
"results_primary_smoke\ensemble_weights.json","413","90082480f2ed5d6938314266159cc9d3dc2451df7ea80e18ab5747646b72d84b"
"results_primary_smoke\feature_importance_catboost.csv","157694","8bb3ccc1691da6317806c25156fa3b568154f97036d083a2d41657d98ab48f86"
"results_primary_smoke\feature_importance_lgbm.csv","294870","a116d029c5b9a8d70f63186c54f580cfe65651b6e25720123a80f7596a4b4115"
"results_primary_smoke\feature_lineage.json","123646","91f0311e31cd829a9cb1d600c71573045b4027e07d7a80ae14609ab0b01db150"
"results_primary_smoke\feature_matrix_presealed_holdout.parquet","664071","54ff00e88a292e203c48fbd205b647618c479dc7758d969ed75865a247fc107e"
"results_primary_smoke\feature_matrix_schema.json","151228","505ac7ecf0b02261ff65e3e54c27ed6ffcbc1178a7b080d2ba9087e3cd153c04"
"results_primary_smoke\feature_matrix_sealed_confirmation.parquet","650403","d9c19a6de5f0638eda91477d1bc3bd2b86b313c156201cc88c759679a352ac72"
"results_primary_smoke\feature_matrix_trainval.parquet","4099798","491dc2a3ab9de8ad3e0e5b2d4a9c7334f2049fd79741719b050f3b8cf8a1d9b9"
"results_primary_smoke\feature_missingness_report.csv","148473","20a3e86df3588a445332eb74c34ba21f86632492fb32fbb45970a583f0ffb9c9"
"results_primary_smoke\final_model_card.md","2162","124305767e790f3b4a7b107291b2ffa77f6ffdc1b0e10f8f6b05786c65923317"
"results_primary_smoke\forecast_revision_count_distribution.csv","383","9b1e220790fee7f957da065f3f61aa0c10cf1e30a70b8964518b1ca0a224a4a5"
"results_primary_smoke\hourly_latest_age_distribution.csv","289397","10b2bd161f48017c52af0316f4e77dbe5323174ab13869488b45d8ab412c36c7"
"results_primary_smoke\leakage_audit.json","2170","aa43a5ba1db0f1c787f97303f99eb1a0101f483d069068e80798a14253d3f188"
"results_primary_smoke\linear_coefficients.csv","172037","30077070940736a84723a166517a444ca34dcc79bdc49fd13e73f1bd7309d2eb"
"results_primary_smoke\model_selection_log.json","902","e9cbddf7e6bc6a46d6d0b4b505a5dadba267295df117b22309bfb8ff95461745"
"results_primary_smoke\prediction_rows.csv","13477056","58a906d1e4497fca14a3f4b7eb2c1f16f5e80d81a3d3871ee4f67c416e7dfea9"
"results_primary_smoke\prediction_rows.parquet","1093886","a094d8bba26a3796a49bf0d11ba11c6206eafdd59088f53c460c2be30caf103a"
"results_primary_smoke\README.md","193","bf5370e7c7caefed7c8a0d2d9063ae2860caf60071ac7f7a9b9eaae2af052f39"
"results_primary_smoke\residual_error_diagnostics.md","808","90c843a30f63adfff0b10ffe0af11e7c61819af42412057addd29ade86e0719b"
"results_primary_smoke\row_count_audit.json","1115","67c39ee3df9ba50bc4a1f00a04056e979d9f34fceee86fbbe43e1e25a04e2e77"
"results_primary_smoke\scoreboard_by_month.csv","31524","491a8963f9e87780493e03a16ef4c5ffaebb65088bf01bba16ab11d44394b625"
"results_primary_smoke\scoreboard_by_regime.csv","57215","dfc252d045a4c1950cb2b72283f1d653e19e88ab0caec786b9057191cde5564d"
"results_primary_smoke\scoreboard_by_split.csv","8510","b696ef1961fdc60070e801978bf3ff5a8d7f6efaf18deefab8dd2a4fd7dbc717"
"results_primary_smoke\scoreboard.csv","2928","ea4520e8e0a64ce09ca6de1c77d27af2f6300a1afe592a826377a7d1d20b8208"
"results_primary_smoke\source_eligibility_audit.csv","2354346","da8643ded7678571e619e0df8025de3575251367fc5de3dc97ffefb6e26be104"
"results_primary_smoke\station_missingness_by_year.csv","1055","4cbfd461535fc82b3736d907f041817eab547979c68822923bc1db075569daaa"
"results_primary_smoke\station_outlier_report.csv","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6"
"results_primary_smoke\summary.json","1516","481573bc9f658de697f7eaae5ced1e6a144f843f67620cdf5c7788cc11f6be8d"
"results_primary_smoke\target_history_feature_audit.csv","1857","946fc27eb9a93fe9ce3a9be82feac42dfa716ede125242844bda8db50c567033"
"results_primary_smoke\text_flag_prevalence_by_year.csv","905","c3cc76f327b3424cebd4cf3213c3b406c4a9d464849082f7beae0bcc8662e498"
"results\ablation_scoreboard.csv","8376","c2e2c93d536b95f35616d8b4fffec03020aa04033434941a9faf7c7bac8daf21"
"results\artifact_manifest.csv","3289","421cceb0c8c1dcff36c66de0bd6b4466e3c7e39ab2e3a2e3f242c250fc5329c6"
"results\clipping_and_preprocessing_audit.json","280","7b861b4cfbc31174d38f7e5bf1c040636d50e2e34aa7f450d4145310dc1e4011"
"results\cutoff_sensitivity_scoreboard.csv","401","ecb81d2fafe9df3019799d0a6c39c986c642450079a50e8fc199dbc52c0eb7b6"
"results\ensemble_weights.json","1251","dfd08921d5084a49c59083f7320b28dba47fb846dc1821b4c73589cf460ba321"
"results\feature_importance_catboost.csv","473034","637d0a832b73bb1d4de6e5a5686122dc5eee4761ac02e2e029c33004dd856af7"
"results\feature_importance_lgbm.csv","883718","81564e109a5a0dc71ee5bcaadf457dc71c1d919589e16cb792a0ace7c5d2aacb"
"results\feature_lineage.json","123646","91f0311e31cd829a9cb1d600c71573045b4027e07d7a80ae14609ab0b01db150"
"results\feature_matrix_presealed_holdout.parquet","1330740","fc03982537b936bf2b434a106e92a69cf51c098c63b9d6fee1fbca2bafe2e868"
"results\feature_matrix_schema.json","151728","ab1233bf4e97de8c5a69971a9a212ee6c0479aaf1f1162111bb7580fbd1059e5"
"results\feature_matrix_sealed_confirmation.parquet","1429333","cdda7faea1e0d78a165fcab6060c4136eccebbd8b26a297fbefb43001b782e13"
"results\feature_matrix_trainval.parquet","11802034","079fa04ea5e872b205ad097a995eff6e6947eda86e3bb00253a4febe52444b35"
"results\feature_missingness_report.csv","155097","f59c7c441c727ada924c6922935b82477728cce36c98e5669516b6c418ff48c0"
"results\final_model_card.md","2162","124305767e790f3b4a7b107291b2ffa77f6ffdc1b0e10f8f6b05786c65923317"
"results\forecast_revision_count_distribution.csv","754","adafb6cd8e71833874b85794574c1c31146e3d64a10db71467e38034f6419362"
"results\hourly_latest_age_distribution.csv","1157402","85dd510dce273a2565fe083a9856765dc39711f95ed41fdd6b3bc43fd9c6f139"
"results\leakage_audit.json","2170","aa43a5ba1db0f1c787f97303f99eb1a0101f483d069068e80798a14253d3f188"
"results\linear_coefficients.csv","514497","d1e56c3d5e2f373580c2660c2792bf8b1cd43ab54e6434bd3db5a067b0a8d0f5"
"results\model_selection_log.json","2008","a1632eed8f708d521e15a0013d985ad11df4082c97de27cd2ad156c34c8af0fb"
"results\prediction_rows.csv","37481795","3c096454d76492b81bbdca10b97424d38acd941b4283b3137afb2f0d1cc4517e"
"results\prediction_rows.parquet","3061640","2eefe2672bb8f71ab788387aca88cfee5ee296ac44ec2b9679cea268645b5afc"
"results\README.md","193","bf5370e7c7caefed7c8a0d2d9063ae2860caf60071ac7f7a9b9eaae2af052f39"
"results\residual_error_diagnostics.md","808","90c843a30f63adfff0b10ffe0af11e7c61819af42412057addd29ade86e0719b"
"results\row_count_audit.json","1270","c00dbb2956291e75fdb860d4df80aeab65ccc5048a02becc5435239605aa8406"
"results\scoreboard_by_month.csv","94352","cff3af7866488a45ff0b2af459616f5019ac0ce939932472e075ddc2a1387917"
"results\scoreboard_by_regime.csv","173404","948562cbb3558063ab42a58450cfd59dbe96892c5e323f2040ceac80f7983033"
"results\scoreboard_by_split.csv","25153","e65a7c1b6255448700c76e8f67bbf69233b2f2c70601a3bf193d53b653c42c86"
"results\scoreboard.csv","8376","10e42086bffdd1332c2bd8c2a677d96a3eaffd08ac4987298d0837fedfbfd789"
"results\source_eligibility_audit.csv","8284060","660271a9b1e7d2810580b97af1471d5fc9dbcd0060a940b43f44ecf77e8f684f"
"results\station_missingness_by_year.csv","1070","3623b9dd34237f22f71b0467c64a17d1214ac0296b5a32f1cd15c3bd1257dd81"
"results\station_outlier_report.csv","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6"
"results\summary.json","1504","ddc5d9d10c37607bbbc6220fe7dff2bc766ad89cbcf27c002a8f4657e8d949e6"
"results\target_history_feature_audit.csv","1857","946fc27eb9a93fe9ce3a9be82feac42dfa716ede125242844bda8db50c567033"
"results\text_flag_prevalence_by_year.csv","905","f8fa2dad250c07d4962f4fb76ac8dbd39cc0267eda8477e7e091daa4d1073c97"
"run_logs\full.pid","7","19d41730e99daec5fc0f8aeda4a5c3ebc499d2480f3a7770b11d26ebe7a66110"
"run_logs\full.stderr.log","10764","d453a649d159ff552ac63e8e3ec72f75e9abcee3ad86463c15c998ef5e1327fb"
"run_logs\full.stdout.log","17684","5fedd72ee7fd302ced56a5816e5f2113afe6a72b0629fde447b0d26cd73daaf1"
"run_logs\primary_smoke.pid","6","d78747617dc33ab05b096f583baecb36f76647744dfabd88d35b5cb1c21efa1f"
"run_logs\primary_smoke.stderr.log","3588","2a30a0a38214f64c1feb3077d0a7387b66cf948e9f9cd1f1b69caa728428ae75"
"run_logs\primary_smoke.stdout.log","7697","e813280f6e452975c97d81ada280e7f5a260b3944114501026b3855865f0c6ea"
"source_docs\attached_spec\hkg_tmax_ml_strategy_codex_implementation_20260705.md","94510","a6732c89bb958712f04826b4fc3a0ac5808012130016e507bbdb9bf54b1caf58"
"source_docs\live_trading\HKG_TMAX_DAILY_TARGET_1884_DATA_CONTEXT_20260705.md","70037","c4212811932c5c6e09d95425f92f75537cdead7210c707192e4ce5a5412175d7"
"source_docs\live_trading\HKG_TMAX_INFO_GOV_HOURLY_READINGS_DATA_CONTEXT_20260705.md","48061","5aff7f1a6a18ca8e8a16cd7291d9ce7d809890787c0a2ee3bfc0a671406ad891"
"source_docs\live_trading\HKG_TMAX_INFO_GOV_LIVE_FORECAST_SOURCE_CONTEXT_20260704.md","28171","75d4f889804cc37fea4e0d8cd3a4685e5eff58490a8708675ae671553fae062d"
