cutoff_profile,eligible_forecast_count,rows
tminus1_1800,1,123
tminus1_1800,2,76
tminus1_1800,3,7339
tminus1_1800,4,691
tminus1_1800,5,92
tminus1_1800,6,12
tminus1_1800,7,2
tminus1_2100,1,15
tminus1_2100,2,161
tminus1_2100,3,46
tminus1_2100,4,55
tminus1_2100,5,71
tminus1_2100,6,6580
tminus1_2100,7,1158
tminus1_2100,8,244
tminus1_2100,9,73
tminus1_2100,10,17
tminus1_2100,11,6
tminus1_2100,12,2
tminus1_2359,1,29
tminus1_2359,2,1119
tminus1_2359,3,136
tminus1_2359,4,54
tminus1_2359,5,30
tminus1_2359,6,87
tminus1_2359,7,36
tminus1_2359,8,45
tminus1_2359,9,74
tminus1_2359,10,5837
tminus1_2359,11,1593
tminus1_2359,12,407
tminus1_2359,13,137
tminus1_2359,14,36
tminus1_2359,15,16
tminus1_2359,16,6
tminus1_2359,17,2
