year,rows,warning_text_rows,rainfall_text_rows,lightning_text_rows,tropical_cyclone_text_rows
1999,21,18,1,0,0
2000,9309,3612,372,0,1241
2001,9340,3242,381,0,1355
2002,9212,2777,2175,0,675
2003,9323,2915,2158,0,990
2004,9250,3126,1893,0,969
2005,9406,3218,2384,434,968
2006,9362,2934,2319,619,1463
2007,9358,3249,2139,565,1035
2008,9465,4395,2288,675,1481
2009,9381,3848,2248,599,1607
2010,9407,3171,2204,559,936
2011,9302,3748,1926,409,1003
2012,9545,3617,2562,687,1458
2013,9640,4281,2808,806,1480
2014,9933,4268,2912,1155,751
2015,9633,3461,2550,801,1069
2016,9884,3971,3097,927,1123
2017,9735,3696,2656,775,1363
2018,9624,3928,2742,825,1266
2019,9766,3436,2806,963,1168
2020,9574,3824,2669,799,1180
2021,9735,4379,2703,861,1314
2022,9560,4427,2742,684,1044
2023,9874,4397,2846,748,1046
2024,10072,4851,3170,998,1540
2025,10037,5306,2833,890,2148
2026,3896,1193,770,199,27
