source,issued_at_utc,valid_at_utc,lead_hour,variable,canonical_variable,friendly_name,normalized_units,grid_point_count,bbox_min,bbox_p10,bbox_mean,bbox_median,bbox_p90,bbox_max,bbox_std
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,u10,wind_u_10m,10m U wind component,m_s-1,99,-3.4639220237731934,-2.203922080993652,-0.6113968615730604,-0.563922107219696,0.7560778975486758,1.236077904701233,1.105116048112067
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,v10,wind_v_10m,10m V wind component,m_s-1,99,-0.48223876953125,0.39776123762130744,2.959175367698525,2.1177611351013184,5.917761325836182,6.417761325836182,2.148807989813928
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,t2m,temperature_2m,2m air temperature,degC,99,25.584283447265648,26.584283447265648,27.617611725161794,27.584283447265648,28.404272460937523,29.084283447265648,0.6954388605459995
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,d2m,dewpoint_2m,2m dewpoint temperature,degC,99,22.363732910156273,23.443713378906274,24.39907473169194,24.263726806640648,25.283728027343773,25.663720703125023,0.7434980332036162
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,tmax,temperature_2m_max,2m forecast-period maximum temperature,degC,99,25.533898925781273,26.633874511718773,27.740956994259015,27.833886718750023,28.633874511718773,29.133874511718773,0.7521330072354434
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,tmin,temperature_2m_min,2m forecast-period minimum temperature,degC,99,22.450006103515648,23.390002441406274,26.097473514441308,26.450006103515648,27.850000000000023,28.950006103515648,1.741668281985456
gfs,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,prmsl,pressure_msl,mean sea-level pressure,hPa,99,1004.88734375,1005.348921875,1006.0583412247476,1006.019296875,1006.851296875,1007.62328125,0.5960508209017322
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,u10,wind_u_10m,10m U wind component,m_s-1,99,-2.601635694503784,-1.9216357707977294,-0.5369892777508181,-0.7016357183456421,0.898364245891571,1.298364281654358,1.0617607967454967
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,v10,wind_v_10m,10m V wind component,m_s-1,99,-0.07234802097082138,0.6276519894599915,2.876136822193259,2.427651882171631,5.3276519775390625,5.927651882171631,1.8377282645664703
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,t2m,temperature_2m,2m air temperature,degC,99,25.869073486328148,26.869073486328148,28.135734850950936,28.269067382812523,29.069055175781273,29.669061279296898,0.7932791043710999
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,d2m,dewpoint_2m,2m dewpoint temperature,degC,99,22.388116455078148,23.388116455078148,24.647718086628018,24.688134765625023,25.80811157226565,26.088128662109398,0.9141878179745466
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,tmax,temperature_2m_max,2m forecast-period maximum temperature,degC,99,25.837579345703148,26.937585449218773,28.178988739938465,28.337579345703148,29.137567138671898,29.637567138671898,0.8096641000603377
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,tmin,temperature_2m_min,2m forecast-period minimum temperature,degC,99,22.695428466796898,23.63342895507815,26.80936877318105,27.545434570312523,28.567425537109397,29.045434570312523,1.78476231706197
gefs_control,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,prmsl,pressure_msl,mean sea-level pressure,hPa,99,1004.640234375,1004.98303125,1005.6198650568182,1005.672265625,1006.17346875,1006.51828125,0.45185304851307057
