source,item_id,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc_expected,availability_proxy_utc,availability_proxy_method,http_last_modified_utc,raw_path,raw_bytes,raw_sha256,station_id,station_name,station_latitude,station_longitude,nearest_grid_latitude,nearest_grid_longitude,issued_at_utc_grib,valid_at_utc_grib,tcc_atmosphere_instant,tcc_atmosphere_avg,10u_heightaboveground_instant_m_s_1,10v_heightaboveground_instant_m_s_1,2t_heightaboveground_instant_degc,2d_heightaboveground_instant_degc,tmax_heightaboveground_max_degc,tmin_heightaboveground_min_degc,2r_heightaboveground_instant,prmsl_meansea_instant_hpa,cape_surface_instant_j_kg_1,t_surface_instant_degc,cin_surface_instant_j_kg_1,tp_surface_accum_kg_m_2,gust_surface_instant_m_s_1,sdswrf_surface_avg_w_m_2,normalized_variable_count,normalization_elapsed_seconds,normalization_note
gfs,gfs_20260701_06z_f009,2026-07-01,6,9,2026-07-01T06:00:00Z,2026-07-01T15:00:00Z,2026-07-01T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_06z_f009.grib2,11050825,644fe4db6eb2ae45001c4531b56e9ab11b215153cf269e9145fb45639947af46,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T06:00:00Z,2026-07-01T15:00:00Z,94.4000015258789,39.599998474121094,-7.634299278259277,-1.3339892625808716,28.851525878906273,25.949975585937523,28.997735595703148,28.741479492187523,84.19999694824219,1008.58546875,2354.0,28.903802490234398,-0.361328125,0.0625,11.003142356872559,0.0,16,5.33055739995325,
gfs,gfs_20260701_00z_f039,2026-07-01,0,39,2026-07-01T00:00:00Z,2026-07-02T15:00:00Z,2026-07-01T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_00z_f039.grib2,11386736,c07fd04e7602005015e5f94ea9d2527bc36da81978e328ce76a04cb18e5d0d82,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T00:00:00Z,2026-07-02T15:00:00Z,100.0,100.0,-4.783515453338623,0.22338378429412842,28.557855224609398,25.253930664062523,28.892785644531273,28.207849121093773,82.0999984741211,1010.8328125,1601.0,28.921899414062523,-1.800537109375,1.1875,6.9236249923706055,0.0,16,5.358490299957339,
gfs,gfs_20260701_06z_f036,2026-07-01,6,36,2026-07-01T06:00:00Z,2026-07-02T18:00:00Z,2026-07-01T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_06z_f036.grib2,11586939,31e4a123e8f2b303cac2246c4a898e78552a0854dac4e3d859c31a6c76641357,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T06:00:00Z,2026-07-02T18:00:00Z,80.0,100.0,-4.927666187286377,0.5244189500808716,28.355798339843773,24.751916503906273,28.905511474609398,27.846368408203148,80.5999984741211,1009.42390625,1255.0,28.659051513671898,-3.2498779296875,3.75,6.8158040046691895,0.0,16,5.397296400042251,
gfs,gfs_20260701_06z_f024,2026-07-01,6,24,2026-07-01T06:00:00Z,2026-07-02T06:00:00Z,2026-07-01T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_06z_f024.grib2,11452814,ce43282b57375ff33e48254a1f883ea831980c5f25159f3a0e08ada6ab127cf3,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T06:00:00Z,2026-07-02T06:00:00Z,7.800000190734863,19.0,-6.880556583404541,-0.41481444239616394,29.956597900390648,25.149987792968773,30.036889648437523,28.612115478515648,75.30000305175781,1008.103046875,1793.0,32.8109069824219,0.27734375,0.875,8.101862907409668,820.8159790039062,16,5.468276700004935,
gfs,gfs_20260701_00z_f042,2026-07-01,0,42,2026-07-01T00:00:00Z,2026-07-02T18:00:00Z,2026-07-01T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_00z_f042.grib2,11637169,efeb31beac7e4830ec137eb843bf10c565f71825ce32b72e183cfc40ae9a4102,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T00:00:00Z,2026-07-02T18:00:00Z,42.79999923706055,99.80000305175781,-4.657050609588623,-0.16477783024311066,28.153466796875023,24.850000000000023,28.892785644531273,27.949243164062523,82.0999984741211,1009.307578125,1237.0,28.461633300781273,-1.7176513671875,2.125,6.405271530151367,0.0,16,3.6367228999733925,
gfs,gfs_20260701_06z_f042,2026-07-01,6,42,2026-07-01T06:00:00Z,2026-07-03T00:00:00Z,2026-07-01T12:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_06z_f042.grib2,11567389,04818b38e094b58f44bb1f58067fd6bc32aa3f6e722a072d2399b4ec415c5bf0,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T06:00:00Z,2026-07-03T00:00:00Z,31.899999618530273,53.900001525878906,-7.788107872009277,-0.8172900676727295,28.249993896484398,24.549981689453148,28.700006103515648,27.652246093750023,80.69999694824219,1009.313125,986.0,29.350000000000023,-0.15673828125,1.75,9.200512886047363,66.91200256347656,16,3.603572799998801,
gfs,gfs_20260701_00z_f018,2026-07-01,0,18,2026-07-01T00:00:00Z,2026-07-01T18:00:00Z,2026-07-01T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_00z_f018.grib2,11351524,cad34eea88d7adb21c252cb8875322ce9bb3e79a27ce3d14e07bed1466123301,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T00:00:00Z,2026-07-01T18:00:00Z,100.0,85.69999694824219,-7.717416763305664,-0.8175024390220642,28.476983642578148,26.049981689453148,28.868463134765648,28.350000000000023,86.9000015258789,1007.5165625,2478.0,28.487878417968773,0.0574951171875,0.8125,10.229142189025879,0.0,16,3.642577100021299,
gfs,gfs_20260701_00z_f003,2026-07-01,0,3,2026-07-01T00:00:00Z,2026-07-01T03:00:00Z,2026-07-01T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_00z_f003.grib2,10981558,ac1a1fd46a5d68cb3342ee7849d0db0ca88fec0be5160b8b934cafad45e76286,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T00:00:00Z,2026-07-01T03:00:00Z,100.0,100.0,-6.533105373382568,-1.5687377452850342,29.168634033203148,24.900262451171898,29.284020996093773,28.530999755859398,77.69999694824219,1008.86625,1372.0,31.564202880859398,0.45947265625,0.125,6.635409832000732,622.9439697265625,16,3.6520280000404455,
gfs,gfs_20260701_12z_f000,2026-07-01,12,0,2026-07-01T12:00:00Z,2026-07-01T12:00:00Z,2026-07-01T18:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_12z_f000.grib2,7613127,4a83b1f0d1c2a0c10e985753f44debde0550ec47aea76cbe83da955a7a9419ca,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00013669999316334724,Skipped f000 analysis/initialization lead; fetched and cataloged but not decoded for forward T-24 features.
gfs,gfs_20260701_00z_f033,2026-07-01,0,33,2026-07-01T00:00:00Z,2026-07-02T09:00:00Z,2026-07-01T06:00:00Z,issued_at_utc + 6h conservative NOMADS buffer,,raw\gfs\20260701\gfs_20260701_00z_f033.grib2,11301010,ab9071699429fc6496d9ce6c406bbb066ec7d6e2f7b359207fe34275824142e3,hko:HKO,Hong Kong Observatory,22.301944,114.174167,22.25,114.25,2026-07-01T00:00:00Z,2026-07-02T09:00:00Z,100.0,100.0,-6.289116382598877,0.5757544040679932,29.670251464843773,25.415032958984398,30.105249023437523,29.459832763671898,77.80000305175781,1007.377265625,1828.0,31.050012207031273,-0.4381103515625,0.0,7.8122029304504395,586.97998046875,16,3.28860229998827,
