source,item_id,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc,lead_hour_grib,availability_proxy_utc,variable,grib_short_name,grib_name,grib_type_of_level,grib_level,grib_step_type,grib_units,normalized_units,grid_point_count,bbox_min,bbox_mean,bbox_median,bbox_max,bbox_std
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,cape,cape,Convective available potential energy,surface,,instant,J kg**-1,J_kg_1,99,105.0,942.080808080808,769.0,2111.0,658.585040899288
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,cin,cin,Convective inhibition,surface,,instant,J kg**-1,J_kg_1,99,-39.474609375,-11.828144728535351,-9.474609375,-0.474609375,11.072135497318136
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,d2m,2d,2 metre dewpoint temperature,heightAboveGround,,instant,K,degC,99,21.949975585937523,24.22472503353853,24.249963378906276,25.749963378906276,1.1601442741987869
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,gust,gust,Wind speed (gust),surface,,instant,m s**-1,m_s_1,99,1.5454777479171753,8.046487943090574,9.545477867126465,12.545477867126465,3.638778149096309
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,prmsl,prmsl,Pressure reduced to MSL,meanSea,,instant,Pa,hPa,99,1005.957734375,1007.2606597222224,1007.339765625,1008.36171875,0.6679335027122927
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,r2,2r,2 metre relative humidity,heightAboveGround,,instant,%,,99,74.90021514892578,85.84668161411479,83.80021667480469,98.30021667480467,5.821474259082226
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,sdswrf,sdswrf,Surface downward short-wave radiation flux,surface,,avg,W m**-2,W_m_2,99,0.0,0.0,0.0,0.0,0.0
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,t2m,2t,2 metre temperature,heightAboveGround,,instant,K,degC,99,22.2499938964844,26.84191869870583,27.550012207031276,29.2499938964844,2.0470074646109144
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,tcc,tcc,Total Cloud Cover,atmosphere,,avg,%,,99,57.0,90.87878787878788,95.0,100.0,10.733006514196871
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,tmax,tmax,Maximum temperature,heightAboveGround,,max,K,degC,99,22.7499938964844,27.006564731790583,27.7499938964844,29.2499938964844,1.9462044006068568
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,tmin,tmin,Minimum temperature,heightAboveGround,,min,K,degC,99,22.297235107421898,26.582090497257752,27.197229003906276,28.997247314453148,1.9458507999602537
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,tp,tp,Total Precipitation,surface,,accum,kg m**-2,kg_m_2,99,0.0,4.0242424422893865,3.400000095367432,11.5,3.4198201688301
gefs_control,gefs_control_20260706_18z_f003,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,,2026-07-07T00:00:00Z,u10,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,m_s_1,99,-2.6519970893859863,-0.3738152545246512,-0.0219970699399709,1.678002953529358,0.9803754901684848
