source,issue_day_utc,cycle_hour,lead_hour_requested,issued_at_utc,valid_at_utc_expected,availability_proxy_utc,station_id,station_name,2t_heightaboveground_instant_degc,2d_heightaboveground_instant_degc,tmax_heightaboveground_max_degc,tmin_heightaboveground_min_degc,2r_heightaboveground_instant,prmsl_meansea_instant_hpa,tcc_atmosphere_instant,tcc_atmosphere_avg,10u_heightaboveground_instant_m_s_1,10v_heightaboveground_instant_m_s_1,gust_surface_instant_m_s_1,tp_surface_accum_kg_m_2,sdswrf_surface_avg_w_m_2,cape_surface_instant_j_kg_1,cin_surface_instant_j_kg_1
gefs_control,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.649987792968773,25.049981689453148,27.7499938964844,27.297235107421898,86.00021362304688,1007.29375,,96.0,0.2080029249191284,7.657314300537109,11.245477676391602,5.099999904632568,0.0,1459.0,-0.474609375
gefs_control,2026-07-06,18,6,2026-07-06T18:00:00Z,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.449975585937523,24.149987792968773,27.849969482421898,27.197229003906276,82.31680297851562,1007.985078125,,98.0,2.5682032108306885,6.668125152587891,9.983816146850586,13.300000190734863,16.384000778198242,716.0,-2.0499267578125
gefs_control,2026-07-06,18,9,2026-07-06T18:00:00Z,2026-07-07T03:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.4789978027344,23.833123779296898,27.649987792968773,27.068994140625023,80.53738403320312,1009.031640625,,100.0,0.1515576243400573,4.551557540893555,7.517499446868896,3.5999999046325684,58.448001861572266,524.0,-7.8818359375
gefs_control,2026-07-06,18,12,2026-07-06T18:00:00Z,2026-07-07T06:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.149987792968773,24.208428955078148,28.149987792968773,27.067193603515648,79.53128051757812,1007.45734375,,100.0,-0.3242382705211639,3.702905178070069,6.527215480804443,4.5,102.87999725341795,786.0,-2.6646728515625
gefs_control,2026-07-06,18,15,2026-07-06T18:00:00Z,2026-07-07T09:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.544244384765648,24.644219970703148,28.898309326171898,28.098321533203148,79.76266479492188,1006.381015625,,65.0,-0.4658984243869781,5.07522439956665,7.394321918487549,1.600000023841858,470.8599853515625,1184.0,-2.373046875
gefs_control,2026-07-06,18,18,2026-07-06T18:00:00Z,2026-07-07T12:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.350030517578148,24.808709716796898,29.005059814453148,28.098321533203148,81.21421813964844,1006.72140625,,76.0,0.0552337653934955,4.664172172546387,7.7365570068359375,3.5999999046325684,282.2720031738281,1178.0,-5.68359375
gefs_control,2026-07-06,18,21,2026-07-06T18:00:00Z,2026-07-07T15:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.149987792968773,24.850030517578148,28.419030761718773,28.095635986328148,82.43133544921875,1008.11234375,,92.0,0.6080840826034546,5.1186065673828125,8.72891902923584,1.100000023841858,0.0,1192.0,-3.868896484375
gefs_control,2026-07-06,18,24,2026-07-06T18:00:00Z,2026-07-07T18:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.7499938964844,24.949975585937523,28.390527343750023,27.695642089843773,84.87614440917969,1006.71703125,,63.0,-0.5572363138198853,4.945624828338623,8.419759750366211,3.5,0.0,1259.0,-4.346923828125
gefs_control,2026-07-06,18,27,2026-07-06T18:00:00Z,2026-07-07T21:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.716210937500023,24.350000000000023,27.719659423828148,27.6745544433594,81.5677719116211,1006.481328125,,29.0,-0.589770495891571,4.668609619140625,7.944214344024658,2.799999952316284,0.0,812.0,-11.208251953125
gefs_control,2026-07-06,18,30,2026-07-06T18:00:00Z,2026-07-08T00:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.450006103515648,24.350000000000023,28.390283203125023,27.6437927246094,79.15238189697266,1007.23578125,,21.0,-1.450720191001892,4.505407810211182,7.540324687957764,4.300000190734863,64.97599792480469,1010.0,-5.831298828125
gefs_control,2026-07-06,18,33,2026-07-06T18:00:00Z,2026-07-08T03:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,29.293481445312523,24.535577392578148,29.3283630371094,28.429620361328148,76.3574447631836,1007.806875,,37.0,-1.2227051258087158,6.271002292633057,8.92332935333252,2.700000047683716,672.1920166015625,1117.0,-5.6136474609375
gefs_control,2026-07-06,18,36,2026-07-06T18:00:00Z,2026-07-08T06:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,29.585351562500023,24.149987792968773,29.637414550781276,28.387719726562523,74.0184097290039,1006.36234375,,58.0,-0.3481262326240539,5.538409233093262,7.714633464813232,4.599999904632568,792.9600219726562,873.0,-6.70361328125
gefs_control,2026-07-06,18,39,2026-07-06T18:00:00Z,2026-07-08T09:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,29.270288085937523,24.370294189453148,29.602746582031276,29.149987792968773,75.9427719116211,1004.923046875,,31.0,-0.814373791217804,5.062429904937744,7.028017997741699,0.8999999761581421,664.8200073242188,946.0,-3.386474609375
gefs_control,2026-07-06,18,42,2026-07-06T18:00:00Z,2026-07-08T12:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.6218200683594,24.6218200683594,29.614434814453148,28.5825134277344,79.29297637939453,1005.98703125,,15.0,-1.920526146888733,4.452557563781738,6.946414470672607,1.899999976158142,393.7439880371094,970.0,-2.006103515625
gefs_control,2026-07-06,18,45,2026-07-06T18:00:00Z,2026-07-08T15:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.207086181640648,24.915185546875023,28.649987792968773,28.198327636718773,82.19550323486328,1007.405390625,,0.0,-2.5120482444763184,4.202737331390381,7.310750961303711,0.6000000238418579,0.0,1133.0,-1.87158203125
gefs_control,2026-07-06,18,48,2026-07-06T18:00:00Z,2026-07-08T18:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.902764892578148,25.002740478515648,28.654473876953148,27.857965087890648,84.05941772460938,1005.82859375,,7.0,-1.6023986339569092,3.6417815685272217,6.511606216430664,1.2999999523162842,0.0,1268.0,-0.838134765625
gfs,2026-07-06,18,3,2026-07-06T18:00:00Z,2026-07-06T21:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.070642089843773,24.934503173828148,27.5100036621094,27.083459472656276,87.80000305175781,1007.078515625,100.0,100.0,0.5905822515487671,7.555062770843506,10.523576736450195,6.25,0.0,1309.0,-0.1590576171875
gfs,2026-07-06,18,6,2026-07-06T18:00:00Z,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.007135009765648,24.256036376953148,27.5485778808594,26.883477783203148,84.69999694824219,1008.645625,100.0,100.0,3.94036865234375,6.277395725250244,10.110148429870604,14.5625,15.423999786376951,758.0,-0.8173828125
gfs,2026-07-06,18,9,2026-07-06T18:00:00Z,2026-07-07T03:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.4401794433594,23.949975585937523,27.4011169433594,26.213342285156276,81.69999694824219,1009.162578125,100.0,100.0,1.407659888267517,2.913543701171875,6.9149909019470215,3.9375,101.88800048828124,660.0,0.3583984375
gfs,2026-07-06,18,12,2026-07-06T18:00:00Z,2026-07-07T06:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.140191650390648,24.195092773437523,28.448693847656276,26.208398437500023,79.0,1007.757421875,99.0999984741211,99.5999984741211,-0.1195556670427322,3.823876857757568,6.414402484893799,4.625,293.7919921875,862.0,-0.4339599609375
gfs,2026-07-06,18,15,2026-07-06T18:00:00Z,2026-07-07T09:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.119531250000023,24.331719970703148,28.681695556640648,27.892480468750023,80.0999984741211,1006.32890625,83.5999984741211,93.5999984741211,0.374267578125,4.213076591491699,6.004823207855225,1.3125,550.260009765625,960.0,-0.4794921875
gfs,2026-07-06,18,18,2026-07-06T18:00:00Z,2026-07-07T12:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.361901855468773,24.549981689453148,28.591516113281276,27.192468261718773,84.4000015258789,1007.104296875,90.8000030517578,88.69999694824219,0.285186767578125,3.87811279296875,6.310833930969238,3.4375,326.5119934082031,907.0,-1.928466796875
gfs,2026-07-06,18,21,2026-07-06T18:00:00Z,2026-07-07T15:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.545129394531276,25.050012207031276,27.644799804687523,27.256005859375023,86.4000015258789,1007.912421875,100.0,88.69999694824219,-1.0074005126953125,4.029138088226318,6.819872856140137,1.875,0.0,1296.0,-1.110595703125
gfs,2026-07-06,18,24,2026-07-06T18:00:00Z,2026-07-07T18:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.149987792968773,24.950006103515648,27.678094482421898,27.049676513671898,87.5,1006.850625,5.0,77.4000015258789,-0.643341064453125,4.815240383148193,7.010022640228272,4.9375,0.0,1192.0,-0.528564453125
gfs,2026-07-06,18,27,2026-07-06T18:00:00Z,2026-07-07T21:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,26.886682128906276,24.363977050781276,27.2499938964844,26.7499938964844,85.9000015258789,1006.91546875,38.29999923706055,15.600000381469728,-0.472460925579071,4.561532497406006,6.900555610656738,4.875,0.0,815.0,-5.139892578125
gfs,2026-07-06,18,30,2026-07-06T18:00:00Z,2026-07-08T00:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.778100585937523,24.678125000000023,27.778100585937523,26.696710205078148,83.0,1008.079375,44.5,39.20000076293945,-1.364221215248108,4.305132865905762,7.507208347320557,7.625,61.36000061035156,1059.0,-1.35400390625
gfs,2026-07-06,18,33,2026-07-06T18:00:00Z,2026-07-08T03:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.669732666015648,24.926660156250023,28.693078613281276,27.720788574218773,80.0999984741211,1008.05984375,5.0,55.400001525878906,-2.1433167457580566,4.95404052734375,7.812821388244629,1.125,665.823974609375,1265.0,-0.6640625
gfs,2026-07-06,18,36,2026-07-06T18:00:00Z,2026-07-08T06:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.583459472656276,24.550012207031276,28.919732666015648,27.669305419921898,78.5,1006.96828125,36.400001525878906,37.900001525878906,-1.541900634765625,4.539019584655762,6.22235107421875,3.625,809.6959838867188,1077.0,-1.528076171875
gfs,2026-07-06,18,39,2026-07-06T18:00:00Z,2026-07-08T09:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,28.613916015625023,24.288659667968773,28.974481201171898,28.330651855468773,77.19999694824219,1005.668125,64.4000015258789,83.80000305175781,-1.6360352039337158,4.000006198883057,5.724339962005615,2.0625,641.739990234375,836.0,-0.2752685546875
gfs,2026-07-06,18,42,2026-07-06T18:00:00Z,2026-07-08T12:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.910546875000023,24.451287841796898,28.956506347656276,27.630670166015648,81.5999984741211,1006.23859375,13.300000190734863,86.80000305175781,-1.9635193347930908,3.150887966156006,5.702862739562988,3.625,374.8479919433594,805.0,-1.16162109375
gfs,2026-07-06,18,45,2026-07-06T18:00:00Z,2026-07-08T15:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.710534667968773,24.5742126464844,27.899621582031276,27.399102783203148,83.0999984741211,1007.06546875,33.900001525878906,36.09999847412109,-2.490081787109375,3.88916015625,6.929107666015625,1.0625,0.0,849.0,-0.4912109375
gfs,2026-07-06,18,48,2026-07-06T18:00:00Z,2026-07-08T18:00:00Z,2026-07-07T00:00:00Z,hko:HKO,Hong Kong Observatory,27.198449707031276,24.7800231933594,27.9003845214844,27.116357421875023,86.30000305175781,1005.045078125,16.700000762939453,47.70000076293945,-2.090466260910034,3.430529832839966,6.614860534667969,2.5,0.0,1080.0,-0.6220703125
gefs_control,2026-07-07,18,3,2026-07-07T18:00:00Z,2026-07-07T21:00:00Z,2026-07-08T00:00:00Z,hko:HKO,Hong Kong Observatory,27.550012207031276,24.940576171875023,27.649987792968773,27.168756103515648,85.6117172241211,1006.66671875,,38.0,-0.6153515577316284,5.61343240737915,9.600820541381836,4.5,0.0,1253.0,-4.697021484375
