split_label,cutoff_profile,rows
fold1_validation,t_minus_1_1800_hkt,984
fold1_validation,t_minus_1_2100_hkt,991
fold1_validation,t_minus_1_2359_hkt,1096
fold2_validation,t_minus_1_1800_hkt,967
fold2_validation,t_minus_1_2100_hkt,977
fold2_validation,t_minus_1_2359_hkt,1095
fold3_validation,t_minus_1_1800_hkt,994
fold3_validation,t_minus_1_2100_hkt,1007
fold3_validation,t_minus_1_2359_hkt,1095
fold4_validation,t_minus_1_1800_hkt,678
fold4_validation,t_minus_1_2100_hkt,679
fold4_validation,t_minus_1_2359_hkt,731
presealed_holdout,t_minus_1_1800_hkt,663
presealed_holdout,t_minus_1_2100_hkt,667
presealed_holdout,t_minus_1_2359_hkt,730
sealed_confirmation,t_minus_1_1800_hkt,764
sealed_confirmation,t_minus_1_2100_hkt,767
sealed_confirmation,t_minus_1_2359_hkt,882
training_pool,t_minus_1_1800_hkt,3285
training_pool,t_minus_1_2100_hkt,3340
training_pool,t_minus_1_2359_hkt,4015
