rank,method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy,gates,champion_flag
1,B5_kernel_analog_pmf,analog_pmf,fold1_4_plus_presealed_primary,4747,0.041287481602243464,-0.00023609070400862353,0.005685703105391923,1.0754666554382608,0.04577769216075405,0.4128748160224347,0.014418671313172942,0.04478032592191239,0.9956389846866228,fail:nll,False
2,S1_conservative_simplex_stack,stack,fold1_4_plus_presealed_primary,4747,0.04147241842274705,-5.115388350503819e-05,0.0012319239570179295,1.032837157849584,0.045866833214548375,0.4147241842274705,0.018679146772594076,0.037927133904140875,1.0294167583886327,pass,False
3,K0_B4_identity,calibration,fold1_4_plus_presealed_primary,4747,0.04152357230625209,0.0,0.0,1.0371814802846449,0.04592126878890932,0.4152357230625209,0.019859164348639623,0.04028467228663252,1.0111104114068155,pass,False
4,B4_hierarchical_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04152357230625209,0.0,0.0,1.0371814802846449,0.04592126878890932,0.4152357230625209,0.019859164348639623,0.04028467228663252,1.0111104114068155,pass,True
5,K2_B4_monotone_cdf_projected,calibration,fold1_4_plus_presealed_primary,4747,0.04152357230625209,0.0,0.0,1.0371814802846453,0.04592126878890932,0.4152357230625209,0.019859164348639657,0.04028467228663252,1.0111104114068163,pass,False
6,K1_B4_power_calibrated,calibration,fold1_4_plus_presealed_primary,4747,0.041530749069962646,7.176763710557699e-06,-0.00017283589325182202,1.0363858136521897,0.045904175282722025,0.4153074906996265,0.014911281836911847,0.049581710787870936,1.031232269788554,pass,False
7,B3_forecast_level_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04161610990316648,9.253759691438962e-05,-0.0022285557762682304,1.0386554524659721,0.04597776184948174,0.41616109903166487,0.010817383942660323,0.12738332920816858,1.0181758606466074,pass,False
8,B2_month_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04166639597794482,0.00014282367169272947,-0.0034395805505208162,1.0410355895121823,0.04602962078831273,0.41666395977944815,0.014702624621148434,0.11525843684982906,1.0377436017163728,pass,False
9,B1_global_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04169997453650381,0.00017640223025171958,-0.004248243117203073,1.0415289441471594,0.046147212918491796,0.41699974536503814,0.020252510211494632,0.08654657703576185,1.0479049970884473,pass,False
10,P1_normal_mos,mos,fold1_4_plus_presealed_primary,4747,0.041777162394712124,0.0002535900884600359,-0.006107135643092383,1.0421852825024316,0.04627877625034306,0.4177716239471212,0.02610013471215218,0.12292427914572968,1.0578354718952852,fail:nll,False
11,P2_student_t_mos,mos,fold1_4_plus_presealed_primary,4747,0.0418682574027635,0.00034468509651141427,-0.008300949975335238,1.0472084634751542,0.04633234786342199,0.4186825740276351,0.031952295219512226,0.09074794188067309,1.1060384634754006,fail:nll,False
12,C1_multinomial_ridge,direct_classifier,fold1_4_plus_presealed_primary,4747,0.042644184748099515,0.0011206124418474267,-0.02698738041087807,1.056926569742907,0.046787164105161885,0.4264418474809952,0.013812647461126365,0.08660466842603204,1.0804587542566741,fail:nll,False
13,C2_ordinal_cdf_logistic,direct_classifier,fold1_4_plus_presealed_primary,4747,0.04304722830474747,0.0015236559984953824,-0.03669376004689196,1.0649434873001715,0.04691005769983757,0.43047228304747465,0.017662944430510013,0.13601885884250015,1.1107602320594896,fail:nll,False
14,B6_month_climatology_diagnostic,diagnostic,fold1_4_plus_presealed_primary,4747,0.08357475398673322,0.04205118168048114,-1.0127062616467035,1.531136771452496,0.05742551230754751,0.8357475398673321,0.05146873473761157,0.20895955589784027,1.3696346052292538,"fail:nll,brier",False
15,B0_climatology,baseline,fold1_4_plus_presealed_primary,4747,0.19331748829673426,0.15179391599048217,-3.6556083101652357,2.1150902504773867,0.07498747714928823,1.9331748829673423,0.0328282567721567,0.05708617316927961,2.000885391405626,"fail:nll,brier",False
