method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
B5_kernel_analog_pmf,analog_pmf,fold1,1096,0.04128679935739536,-6.99418424801243e-05,0.0016911836003252326,1.0655585097211844,0.04447201672854818,0.41286799357395365,0.023277578503479664,0.1513467306009454,0.9681059438328704
S1_conservative_simplex_stack,stack,fold1,1096,0.04131353745565403,-4.32037442214539e-05,0.0010446602650013433,1.0124876564558738,0.0445028832180595,0.4131353745565403,0.03188077921298508,0.2070923210348733,0.9932894293565395
K1_B4_power_calibrated,calibration,fold1,1096,0.04133182744852601,-2.4913751349477098e-05,0.0006024108918318764,1.0168314745601132,0.044502172629635524,0.4133182744852602,0.027022363033878078,0.20287781510201597,1.0011115246318343
B4_hierarchical_residual_pmf,residual_pmf,fold1,1096,0.04135674119987549,0.0,0.0,1.0181507906824119,0.04452422150885171,0.4135674119987549,0.031314341823129394,0.2095165181932006,0.9822368385084519
K2_B4_monotone_cdf_projected,calibration,fold1,1096,0.04135674119987549,0.0,0.0,1.0181507906824119,0.044524221508851713,0.41356741199875485,0.031314341823129505,0.2095165181932006,0.9822368385084531
K0_B4_identity,calibration,fold1,1096,0.04135674119987549,0.0,0.0,1.0181507906824119,0.04452422150885171,0.4135674119987549,0.031314341823129394,0.2095165181932006,0.9822368385084519
B3_forecast_level_residual_pmf,residual_pmf,fold1,1096,0.04156857173058466,0.00021183053070917418,-0.005122031489023897,1.0176992501806366,0.04472632923632719,0.4156857173058467,0.01735205530531116,0.1055501949889488,0.9815112201192299
B2_month_residual_pmf,residual_pmf,fold1,1096,0.04161844076117875,0.00026169956130326494,-0.006327857411164999,1.0249684393336285,0.044828636409211815,0.4161844076117876,0.02160820463378724,0.36234709446571534,1.003775324910129
P1_normal_mos,mos,fold1,1096,0.04189165942976933,0.0005349182298938424,-0.012934245164738773,1.0262498134870457,0.045159169958227545,0.4189165942976933,0.026254354860027182,0.18967536610002816,1.025466231010428
P2_student_t_mos,mos,fold1,1096,0.04194592524503598,0.0005891840451604929,-0.01424638470214541,1.031535508891474,0.04519645339412821,0.41945925245035975,0.026676634717737527,0.18920004227264592,1.0724947526142323
B1_global_residual_pmf,residual_pmf,fold1,1096,0.042121374283760095,0.0007646330838846083,-0.018488716995112526,1.0316839590103954,0.04519150411450529,0.421213742837601,0.012194686054452966,0.39198837352365357,1.02065804094438
C1_multinomial_ridge,direct_classifier,fold1,1096,0.04227027673625241,0.0009135355363769221,-0.022089156685770796,1.034995707857869,0.04530931803117789,0.42270276736252416,0.023501599187785754,0.18371998889889418,1.0433396736028553
