bin,lo,hi,count,confidence,accuracy,abs_gap,validation_split,method
0,0.0,0.1,0,,,,fold1,B0_climatology
1,0.1,0.2,0,,,,fold1,B0_climatology
2,0.2,0.30000000000000004,0,,,,fold1,B0_climatology
3,0.30000000000000004,0.4,0,,,,fold1,B0_climatology
4,0.4,0.5,1096,0.4057285171947664,0.3978102189781022,0.007918298216664177,fold1,B0_climatology
5,0.5,0.6000000000000001,0,,,,fold1,B0_climatology
6,0.6000000000000001,0.7000000000000001,0,,,,fold1,B0_climatology
7,0.7000000000000001,0.8,0,,,,fold1,B0_climatology
8,0.8,0.9,0,,,,fold1,B0_climatology
9,0.9,1.0,0,,,,fold1,B0_climatology
0,0.0,0.1,0,,,,fold1,B1_global_residual_pmf
1,0.1,0.2,0,,,,fold1,B1_global_residual_pmf
2,0.2,0.30000000000000004,0,,,,fold1,B1_global_residual_pmf
3,0.30000000000000004,0.4,624,0.32179325839298245,0.3189102564102564,0.0028830019827260633,fold1,B1_global_residual_pmf
4,0.4,0.5,43,0.44134495980967975,0.3953488372093023,0.04599612260037744,fold1,B1_global_residual_pmf
5,0.5,0.6000000000000001,6,0.5586550401903202,0.16666666666666666,0.39198837352365357,fold1,B1_global_residual_pmf
6,0.6000000000000001,0.7000000000000001,0,,,,fold1,B1_global_residual_pmf
7,0.7000000000000001,0.8,42,0.7631382182026624,0.5952380952380952,0.16790012296456713,fold1,B1_global_residual_pmf
8,0.8,0.9,0,,,,fold1,B1_global_residual_pmf
9,0.9,1.0,381,0.9890162362178754,0.989501312335958,0.00048507611808257245,fold1,B1_global_residual_pmf
0,0.0,0.1,0,,,,fold1,B2_month_residual_pmf
1,0.1,0.2,0,,,,fold1,B2_month_residual_pmf
2,0.2,0.30000000000000004,63,0.24836000672586628,0.19047619047619047,0.05788381624967581,fold1,B2_month_residual_pmf
3,0.30000000000000004,0.4,561,0.3383162019590034,0.32085561497326204,0.017460586985741378,fold1,B2_month_residual_pmf
4,0.4,0.5,43,0.4351575024543142,0.3953488372093023,0.03980866524501192,fold1,B2_month_residual_pmf
