rank,method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy,fold14_rps,fold14_relative_rps_gain_vs_b4,presealed_rps,presealed_relative_rps_gain_vs_b4,v2_promotion_pass,gates,champion_flag
1,B5_kernel_analog_pmf,analog_pmf,fold1_4_plus_presealed_primary,4747,0.041287481602243464,-0.00023609070400862353,0.005685703105391923,1.0754666554382608,0.04577769216075405,0.4128748160224347,0.014418671313172942,0.04478032592191239,0.9956389846866228,0.041194204883647216,0.005331771123960622,0.04180075910717654,0.007600659793615371,False,"fail:fold14_rps_gain,presealed_rps_gain,nll",False
2,H1_b4_challenger_linear_pool,hybrid_pool,fold1_4_plus_presealed_primary,4747,0.04147001892601819,-5.3553380233897774e-05,0.0012897103322161516,1.0342103337252304,0.04586157345096705,0.41470018926018193,0.016325438572151532,0.06407652136038211,1.0140581865371627,0.04138848933695236,0.0006406119278307564,0.04191865503461746,0.004801671375596326,False,"fail:fold14_rps_gain,presealed_rps_gain",False
3,S1_conservative_simplex_stack,stack,fold1_4_plus_presealed_primary,4747,0.04147241842274705,-5.115388350503819e-05,0.0012319239570179295,1.032837157849584,0.045866833214548375,0.4147241842274705,0.018679146772594076,0.037927133904140875,1.0294167583886327,0.041375227859220945,0.0009608213020533024,0.042007232797657154,0.002698730771762715,False,"fail:fold14_rps_gain,presealed_rps_gain",False
4,T1_time_decay_b4,time_decay_residual_pmf,fold1_4_plus_presealed_primary,4747,0.04148558365624809,-3.798865000399776e-05,0.0009148695040931705,1.0319405254803506,0.04594103932650791,0.41485583656248093,0.0097004704202734,0.055937555098642955,1.031466262445044,0.04142280738417458,-0.00018802577364744472,0.04183102514243889,0.006882108406832967,False,"fail:fold14_rps_gain,presealed_rps_gain",False
5,K2_B4_monotone_cdf_projected,calibration,fold1_4_plus_presealed_primary,4747,0.04152357230625209,0.0,0.0,1.0371814802846453,0.04592126878890932,0.4152357230625209,0.019859164348639657,0.04028467228663252,1.0111104114068163,0.04141502029294337,1.6754534598379838e-16,0.042120905782226166,0.0,False,"fail:fold14_rps_gain,presealed_rps_gain,overall_rps_not_better",False
6,B4_hierarchical_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04152357230625209,0.0,0.0,1.0371814802846449,0.04592126878890932,0.4152357230625209,0.019859164348639623,0.04028467228663252,1.0111104114068155,0.041415020292943375,0.0,0.042120905782226166,0.0,False,reference,True
7,K0_B4_identity,calibration,fold1_4_plus_presealed_primary,4747,0.04152357230625209,0.0,0.0,1.0371814802846449,0.04592126878890932,0.4152357230625209,0.019859164348639623,0.04028467228663252,1.0111104114068155,0.041415020292943375,0.0,0.042120905782226166,0.0,False,"fail:fold14_rps_gain,presealed_rps_gain,overall_rps_not_better",False
8,K1_B4_power_calibrated,calibration,fold1_4_plus_presealed_primary,4747,0.041530749069962646,7.176763710557699e-06,-0.00017283589325182202,1.0363858136521897,0.045904175282722025,0.4153074906996265,0.014911281836911847,0.049581710787870936,1.031232269788554,0.041421121306115104,-0.0001473140210622702,0.04213400212116211,-0.00031092253817277126,False,"fail:fold14_rps_gain,presealed_rps_gain,overall_rps_not_better",False
9,B3_forecast_level_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04161610990316648,9.253759691438962e-05,-0.0022285557762682304,1.0386554524659721,0.04597776184948174,0.41616109903166487,0.010817383942660323,0.12738332920816858,1.0181758606466074,0.04154754528463661,-0.0031999257939713498,0.04199340315335069,0.0030270628446284887,False,"fail:fold14_rps_gain,presealed_rps_gain,overall_rps_not_better",False
10,E2_student_t_emos,emos,fold1_4_plus_presealed_primary,4747,0.04165764655384261,0.0001340742475905224,-0.0032288707388100904,1.0474144066731021,0.04614029300536344,0.4165764655384261,0.022522190685865244,0.11025383547332457,1.0307688136519615,0.041584024109152185,-0.004080737254585048,0.04206277170496784,0.0013801715841271634,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
11,B2_month_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04166639597794482,0.00014282367169272947,-0.0034395805505208162,1.0410355895121823,0.04602962078831273,0.41666395977944815,0.014702624621148434,0.11525843684982906,1.0377436017163728,0.04164757672480494,-0.0056152678476699205,0.041769953429811796,0.008332022920610176,False,"fail:fold14_rps_gain,presealed_rps_gain,overall_rps_not_better",False
12,B1_global_residual_pmf,residual_pmf,fold1_4_plus_presealed_primary,4747,0.04169997453650381,0.00017640223025171958,-0.004248243117203073,1.0415289441471594,0.046147212918491796,0.41699974536503814,0.020252510211494632,0.08654657703576185,1.0479049970884473,0.04168679019057991,-0.006562109488639777,0.041772524560580934,0.008270981242579042,False,"fail:fold14_rps_gain,presealed_rps_gain,overall_rps_not_better",False
13,P1_normal_mos,mos,fold1_4_plus_presealed_primary,4747,0.041777162394712124,0.0002535900884600359,-0.006107135643092383,1.0421852825024316,0.04627877625034306,0.4177716239471212,0.02610013471215218,0.12292427914572968,1.0578354718952852,0.0417320758346068,-0.007655568907627664,0.04202526200011361,0.0022706962335295668,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
14,P2_student_t_mos,mos,fold1_4_plus_presealed_primary,4747,0.0418682574027635,0.00034468509651141427,-0.008300949975335238,1.0472084634751542,0.04633234786342199,0.4186825740276351,0.031952295219512226,0.09074794188067309,1.1060384634754006,0.04182430974016759,-0.009882633023699235,0.042110089951596125,0.00025678058031233607,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
15,E1_normal_emos,emos,fold1_4_plus_presealed_primary,4747,0.042284872625387486,0.0007613003191353981,-0.018334172058235253,1.097560492518502,0.04671432064326987,0.4228487262538749,0.0488203325093898,0.14521034157001766,0.8385629308418233,0.04219332539679974,-0.01879282198466004,0.042788633196944946,-0.015852636649626422,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
16,C1_multinomial_ridge,direct_classifier,fold1_4_plus_presealed_primary,4747,0.042644184748099515,0.0011206124418474267,-0.02698738041087807,1.056926569742907,0.046787164105161885,0.4264418474809952,0.013812647461126365,0.08660466842603204,1.0804587542566741,0.042589686133397815,-0.028363280571773366,0.042944076440231994,-0.019543042646371182,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
17,G1_gamlss_tree_location_scale,gamlss_tree,fold1_4_plus_presealed_primary,4747,0.042795006170382836,0.0012714338641307485,-0.03061956844063034,1.1658124865248978,0.04744647673191613,0.4279500617038284,0.07495479248501938,0.15800402012835213,0.7605761845023182,0.04268854262259929,-0.030750252460286873,0.043380847364145166,-0.029912499708177203,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
18,C2_ordinal_cdf_logistic,direct_classifier,fold1_4_plus_presealed_primary,4747,0.04304722830474747,0.0015236559984953824,-0.03669376004689196,1.0649434873001715,0.04691005769983757,0.43047228304747465,0.017662944430510013,0.13601885884250015,1.1107602320594896,0.042977349506991086,-0.03772373411860705,0.043431753141168566,-0.031121062916352124,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
19,E3_two_piece_normal_emos,emos,fold1_4_plus_presealed_primary,4747,0.04367780907554495,0.0021542367692928624,-0.05187985160343502,1.2752212135238055,0.04858725363587499,0.4367780907554495,0.09497908184264725,0.3980765555891983,0.6989835656293215,0.043554217735001094,-0.051652695735180235,0.04435790005494856,-0.053108883372264534,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,brier,overall_rps_not_better",False
20,Q2_threshold_cdf_gb,threshold_cdf,fold1_4_plus_presealed_primary,4747,0.04693804915631302,0.005414476850060933,-0.13039525622042134,1.163617484775455,0.04712859562055747,0.4693804915631301,0.040806260410345636,0.09931961361401342,1.3634544139261444,0.04674568588110907,-0.1287133400022498,0.04799657419260654,-0.13949530052270961,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,overall_rps_not_better",False
21,Q1_quantile_cdf_gb,quantile_cdf,fold1_4_plus_presealed_primary,4747,0.06761118142033988,0.026087609114087792,-0.6282602306391605,1.3133843223138428,0.0507678945596583,0.6761118142033988,0.1218629232115096,0.2126964538949978,1.6478880737912893,0.0666274606920288,-0.6087752757513756,0.07302434055133383,-0.733684003114388,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,brier,overall_rps_not_better",False
22,B6_month_climatology_diagnostic,diagnostic,fold1_4_plus_presealed_primary,4747,0.08357475398673322,0.04205118168048114,-1.0127062616467035,1.531136771452496,0.05742551230754751,0.8357475398673321,0.05146873473761157,0.20895955589784027,1.3696346052292538,0.08123164364208703,-0.9614053806446626,0.0964682803626835,-1.2902707947793086,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,brier,overall_rps_not_better",False
23,B0_climatology,baseline,fold1_4_plus_presealed_primary,4747,0.19331748829673426,0.15179391599048217,-3.6556083101652357,2.1150902504773867,0.07498747714928823,1.9331748829673423,0.0328282567721567,0.05708617316927961,2.000885391405626,0.19133910815771,-3.620041395713427,0.2042039992809267,-3.8480438748564385,False,"fail:fold14_rps_gain,presealed_rps_gain,nll,brier,overall_rps_not_better",False
