split,feature,missing_pct,non_null_count
presealed_holdout_2022_2023,coastal_hko_alignment_c,0.0,2920
rolling_valid_2011_2013,coastal_hko_alignment_c,0.0,4384
rolling_valid_2014_2016,coastal_hko_alignment_c,0.0,4384
rolling_valid_2017_2019,coastal_hko_alignment_c,0.0,4380
rolling_valid_2020_2021,coastal_hko_alignment_c,0.0,2924
sealed_confirmation_2024_plus,coastal_hko_alignment_c,0.0,3528
train_base_2000_2010,coastal_hko_alignment_c,0.0,16068
presealed_holdout_2022_2023,coastal_marine_latest_count,0.0,2920
rolling_valid_2011_2013,coastal_marine_latest_count,0.0,4384
rolling_valid_2014_2016,coastal_marine_latest_count,0.0,4384
rolling_valid_2017_2019,coastal_marine_latest_count,0.0,4380
rolling_valid_2020_2021,coastal_marine_latest_count,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_latest_count,0.0,3528
train_base_2000_2010,coastal_marine_latest_count,0.0,16068
presealed_holdout_2022_2023,coastal_marine_latest_max_c,0.0,2920
rolling_valid_2011_2013,coastal_marine_latest_max_c,0.0,4384
rolling_valid_2014_2016,coastal_marine_latest_max_c,0.0,4384
rolling_valid_2017_2019,coastal_marine_latest_max_c,0.0,4380
rolling_valid_2020_2021,coastal_marine_latest_max_c,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_latest_max_c,0.0,3528
train_base_2000_2010,coastal_marine_latest_max_c,0.0,16068
presealed_holdout_2022_2023,coastal_marine_latest_max_minus_hko_c,0.0,2920
rolling_valid_2011_2013,coastal_marine_latest_max_minus_hko_c,0.0,4384
rolling_valid_2014_2016,coastal_marine_latest_max_minus_hko_c,0.0,4384
rolling_valid_2017_2019,coastal_marine_latest_max_minus_hko_c,0.0,4380
rolling_valid_2020_2021,coastal_marine_latest_max_minus_hko_c,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_latest_max_minus_hko_c,0.0,3528
train_base_2000_2010,coastal_marine_latest_max_minus_hko_c,0.0,16068
presealed_holdout_2022_2023,coastal_marine_latest_mean_c,0.0,2920
rolling_valid_2011_2013,coastal_marine_latest_mean_c,0.0,4384
rolling_valid_2014_2016,coastal_marine_latest_mean_c,0.0,4384
rolling_valid_2017_2019,coastal_marine_latest_mean_c,0.0,4380
rolling_valid_2020_2021,coastal_marine_latest_mean_c,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_latest_mean_c,0.0,3528
train_base_2000_2010,coastal_marine_latest_mean_c,0.0,16068
presealed_holdout_2022_2023,coastal_marine_latest_mean_minus_hko_c,0.0,2920
rolling_valid_2011_2013,coastal_marine_latest_mean_minus_hko_c,0.0,4384
rolling_valid_2014_2016,coastal_marine_latest_mean_minus_hko_c,0.0,4384
rolling_valid_2017_2019,coastal_marine_latest_mean_minus_hko_c,0.0,4380
rolling_valid_2020_2021,coastal_marine_latest_mean_minus_hko_c,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_latest_mean_minus_hko_c,0.0,3528
train_base_2000_2010,coastal_marine_latest_mean_minus_hko_c,0.0,16068
presealed_holdout_2022_2023,coastal_marine_latest_missing_fraction,0.0,2920
rolling_valid_2011_2013,coastal_marine_latest_missing_fraction,0.0,4384
rolling_valid_2014_2016,coastal_marine_latest_missing_fraction,0.0,4384
rolling_valid_2017_2019,coastal_marine_latest_missing_fraction,0.0,4380
rolling_valid_2020_2021,coastal_marine_latest_missing_fraction,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_latest_missing_fraction,0.0,3528
train_base_2000_2010,coastal_marine_latest_missing_fraction,0.0,16068
presealed_holdout_2022_2023,coastal_marine_mean_minus_hko_c,0.0,2920
rolling_valid_2011_2013,coastal_marine_mean_minus_hko_c,0.0,4384
rolling_valid_2014_2016,coastal_marine_mean_minus_hko_c,0.0,4384
rolling_valid_2017_2019,coastal_marine_mean_minus_hko_c,0.0,4380
rolling_valid_2020_2021,coastal_marine_mean_minus_hko_c,0.0,2924
sealed_confirmation_2024_plus,coastal_marine_mean_minus_hko_c,0.0,3528
train_base_2000_2010,coastal_marine_mean_minus_hko_c,0.0,16068
presealed_holdout_2022_2023,cool_season_flag,0.0,2920
rolling_valid_2011_2013,cool_season_flag,0.0,4384
rolling_valid_2014_2016,cool_season_flag,0.0,4384
rolling_valid_2017_2019,cool_season_flag,0.0,4380
rolling_valid_2020_2021,cool_season_flag,0.0,2924
sealed_confirmation_2024_plus,cool_season_flag,0.0,3528
train_base_2000_2010,cool_season_flag,0.0,16068
presealed_holdout_2022_2023,day_of_year,0.0,2920
rolling_valid_2011_2013,day_of_year,0.0,4384
rolling_valid_2014_2016,day_of_year,0.0,4384
rolling_valid_2017_2019,day_of_year,0.0,4380
rolling_valid_2020_2021,day_of_year,0.0,2924
sealed_confirmation_2024_plus,day_of_year,0.0,3528
train_base_2000_2010,day_of_year,0.0,16068
presealed_holdout_2022_2023,doy_cos,0.0,2920
rolling_valid_2011_2013,doy_cos,0.0,4384
rolling_valid_2014_2016,doy_cos,0.0,4384
rolling_valid_2017_2019,doy_cos,0.0,4380
rolling_valid_2020_2021,doy_cos,0.0,2924
sealed_confirmation_2024_plus,doy_cos,0.0,3528
train_base_2000_2010,doy_cos,0.0,16068
presealed_holdout_2022_2023,doy_sin,0.0,2920
rolling_valid_2011_2013,doy_sin,0.0,4384
rolling_valid_2014_2016,doy_sin,0.0,4384
rolling_valid_2017_2019,doy_sin,0.0,4380
rolling_valid_2020_2021,doy_sin,0.0,2924
sealed_confirmation_2024_plus,doy_sin,0.0,3528
train_base_2000_2010,doy_sin,0.0,16068
presealed_holdout_2022_2023,eligible_forecast_count,0.0,2920
rolling_valid_2011_2013,eligible_forecast_count,0.0,4384
rolling_valid_2014_2016,eligible_forecast_count,0.0,4384
rolling_valid_2017_2019,eligible_forecast_count,0.0,4380
rolling_valid_2020_2021,eligible_forecast_count,0.0,2924
sealed_confirmation_2024_plus,eligible_forecast_count,0.0,3528
train_base_2000_2010,eligible_forecast_count,0.0,16068
presealed_holdout_2022_2023,fcst_flag_active_southerly,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_active_southerly,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_active_southerly,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_active_southerly,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_active_southerly,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_active_southerly,31.604308390022677,2413
train_base_2000_2010,fcst_flag_active_southerly,33.78142892706,10640
presealed_holdout_2022_2023,fcst_flag_bright_periods,29.45205479452055,2060
rolling_valid_2011_2013,fcst_flag_bright_periods,29.949817518248175,3071
rolling_valid_2014_2016,fcst_flag_bright_periods,30.67974452554745,3039
rolling_valid_2017_2019,fcst_flag_bright_periods,29.315068493150687,3096
rolling_valid_2020_2021,fcst_flag_bright_periods,28.59097127222982,2088
sealed_confirmation_2024_plus,fcst_flag_bright_periods,31.604308390022677,2413
train_base_2000_2010,fcst_flag_bright_periods,33.78142892706,10640
