dataset_id,source_file,file_type,attribute,source_dtype,semantic_class,row_count,non_null_count,null_count,null_pct,storage_decision,db_layer,model_role,operational_status,quality_action,usefulness_score_0_100,rationale,profile_min,profile_max
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,source_id,string,identifier_or_code,49628,49628,0,0.0,KEEP,raw_audit,SOURCE_OR_CATALOG_METADATA,CONDITIONAL_CATEGORICAL_ONLY,NONE,15,"Useful for lineage/source-era grouping, not meteorology by itself.",,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,content_sha256,string,hash_identifier,49628,49628,0,0.0,KEEP,raw_audit,PROVENANCE_ONLY,NOT_A_PREDICTOR,NONE,0,"Integrity/deduplication key; essential for provenance, not forecasting.",,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,raw_retrieved_at_utc,string,datetime_or_date,49628,49628,0,0.0,KEEP,raw_audit,PROVENANCE_TIMESTAMP,GATING_OR_AUDIT_ONLY,VALIDATE_TIMEZONE,95,Needed to prove retrieval/availability and reproduce vintages; not a weather variable.,2026-06-18T22:52:48.528263+00:00,2026-06-18T22:58:13.112613+00:00
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,local_date,string,datetime_or_date,49628,49627,1,2e-05,KEEP,raw_audit,PRIMARY_KEY_DATE,JOIN_ONLY,ENSURE_HKT_LOCAL_DATE,100,Primary label date and time-series key.,1884-01-01T00:00:00+00:00,2026-06-17T00:00:00+00:00
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,year,int64,numeric,49628,49628,0,0.0,DERIVE_NOT_STORE_DUPLICATE,raw_audit,DERIVED_CALENDAR,SAFE_IF_DERIVED_FROM_TARGET_DATE,NONE,10,Redundant with local_date; generate in feature views.,1884.0,2026.0
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,month,double,numeric,49628,49627,1,2e-05,DERIVE_NOT_STORE_DUPLICATE,raw_audit,DERIVED_CALENDAR,SAFE_IF_DERIVED_FROM_TARGET_DATE,NONE,10,Redundant with local_date; generate in feature views.,1.0,12.0
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,day,double,numeric,49628,49627,1,2e-05,DERIVE_NOT_STORE_DUPLICATE,raw_audit,DERIVED_CALENDAR,SAFE_IF_DERIVED_FROM_TARGET_DATE,NONE,10,Redundant with local_date; generate in feature views.,1.0,31.0
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,absolute_daily_max_c,double,numeric,49628,49627,1,2e-05,KEEP,raw_audit,LABEL_ONLY,FORBIDDEN_AT_INFERENCE_FOR_TARGET_T,RANGE_CHECK_3_TO_40C,100,Canonical outcome; use only after T is complete and for causal lag creation.,3.2,36.6
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,value_precision,double,numeric,49628,49627,1,2e-05,KEEP,raw_audit,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",0.1,0.1
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,completeness,string,nominal_text,49628,49627,1,2e-05,KEEP,raw_audit,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,parse_issue,string,nominal_text,49628,1,49627,0.99998,KEEP,raw_audit,QUALITY_CONTROL,POSSIBLE_MISSINGNESS_OR_TRUST_FEATURE_ONLY,STANDARDIZE_ENUMS_AND_QUARANTINE_BAD_ROWS,35,"Quality/trust metadata; useful for filtering and possibly uncertainty, not primary physical signal.",,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,availability_tier,string,nominal_text,49628,49627,1,2e-05,KEEP,raw_audit,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,operational_input_allowed,bool,nominal_text,49628,49627,1,2e-05,KEEP,raw_audit,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_extract_tmax_payload_rows.parquet,parquet,source_time_policy,string,free_natural_text,49628,49627,1,2e-05,KEEP,raw_audit,LEAKAGE_POLICY_METADATA,GATING_ONLY,NONE,100,Critical eligibility gate; never feed blindly as a meteorological predictor.,,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,local_date,string,datetime_or_date,49459,49459,0,0.0,KEEP,label_core,PRIMARY_KEY_DATE,JOIN_ONLY,ENSURE_HKT_LOCAL_DATE,100,Primary label date and time-series key.,1884-01-01T00:00:00+00:00,2026-05-31T00:00:00+00:00
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,target_tmax_c,double,numeric,49459,49459,0,0.0,KEEP,label_core,LABEL_ONLY,FORBIDDEN_AT_INFERENCE_FOR_TARGET_T,RANGE_CHECK_3_TO_40C,100,Canonical outcome; use only after T is complete and for causal lag creation.,3.2,36.6
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,target_station,string,nominal_text,49459,49459,0,0.0,KEEP,label_core,STATION_IDENTITY,JOIN_ONLY,NORMALIZE_TO_STATION_DIMENSION,20,Target identity; not variable because only one station.,,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,target_source_id,string,identifier_or_code,49459,49459,0,0.0,KEEP,label_core,SOURCE_OR_CATALOG_METADATA,CONDITIONAL_CATEGORICAL_ONLY,NONE,15,"Useful for lineage/source-era grouping, not meteorology by itself.",,
01_hko_daily_tmax_target,01_hko_daily_tmax_target/hko_daily_tmax_target_labels.parquet,parquet,content_sha256,string,hash_identifier,49459,49459,0,0.0,KEEP,label_core,PROVENANCE_ONLY,NOT_A_PREDICTOR,NONE,0,"Integrity/deduplication key; essential for provenance, not forecasting.",,
