key,present
prob_tmax_ge_20_0,True
prob_tmax_ge_20_5,True
prob_tmax_ge_21_0,True
prob_tmax_ge_21_5,True
prob_tmax_ge_22_0,True
prob_tmax_ge_22_5,True
prob_tmax_ge_23_0,True
prob_tmax_ge_23_5,True
prob_tmax_ge_24_0,True
prob_tmax_ge_24_5,True
prob_tmax_ge_25_0,True
prob_tmax_ge_25_5,True
prob_tmax_ge_26_0,True
prob_tmax_ge_26_5,True
prob_tmax_ge_27_0,True
prob_tmax_ge_27_5,True
prob_tmax_ge_28_0,True
prob_tmax_ge_28_5,True
prob_tmax_ge_29_0,True
prob_tmax_ge_29_5,True
prob_tmax_ge_30_0,True
prob_tmax_ge_30_5,True
prob_tmax_ge_31_0,True
prob_tmax_ge_31_5,True
prob_tmax_ge_32_0,True
prob_tmax_ge_32_5,True
prob_tmax_ge_33_0,True
prob_tmax_ge_33_5,True
prob_tmax_ge_34_0,True
prob_tmax_ge_34_5,True
prob_tmax_ge_35_0,True
prob_tmax_ge_35_5,True
prob_tmax_ge_36_0,True
prob_tmax_ge_36_5,True
prob_tmax_ge_37_0,True
prob_tmax_ge_37_5,True
prob_tmax_ge_38_0,True
prob_tmax_ge_38_5,True
prob_tmax_ge_39_0,True
prob_tmax_ge_39_5,True
prob_tmax_ge_40_0,True
