index_year,product_type,candidate_urls,successful_raw_urls,attempted_urls,missing_success_urls,raw_success_coverage_pct
2000,5day,1190,1190,1190,0,1.0
2000,local,7498,7498,7498,0,1.0
2001,5day,1548,1547,1548,1,0.9993540051679587
2001,local,9903,9897,9903,6,0.9993941229930324
2002,5day,1629,1627,1629,2,0.9987722529158993
2002,local,9936,9917,9936,19,0.9980877616747182
2003,5day,1829,1829,1829,0,1.0
2003,7day,10,10,10,0,1.0
2003,local,10015,10015,10015,0,1.0
2004,7day,2137,2137,2137,0,1.0
2004,local,9996,9996,9996,0,1.0
2005,7day,2103,2103,2103,0,1.0
2005,local,9962,9962,9962,0,1.0
2006,7day,2055,2055,2055,0,1.0
2006,local,10012,10012,10012,0,1.0
2007,7day,1942,1942,1942,0,1.0
2007,local,9942,9942,9942,0,1.0
2008,7day,1947,1947,1947,0,1.0
2008,local,10110,10110,10110,0,1.0
2009,7day,2084,2084,2084,0,1.0
2009,local,10158,10158,10158,0,1.0
2010,7day,2305,2305,2305,0,1.0
2010,local,10281,10281,10281,0,1.0
2011,7day,2458,2458,2458,0,1.0
2011,local,10333,10333,10333,0,1.0
2012,7day,2786,2786,2786,0,1.0
2012,local,10514,10514,10514,0,1.0
2013,7day,2740,2447,2447,293,0.8930656934306569
2013,local,10211,8962,8962,1249,0.8776809323278817
2014,7day,656,0,0,656,0.0
2014,9day,1954,0,0,1954,0.0
2014,local,10182,0,0,10182,0.0
2015,9day,2413,0,0,2413,0.0
2015,local,10034,0,0,10034,0.0
2016,9day,2600,0,0,2600,0.0
2016,local,10216,0,0,10216,0.0
2017,9day,2467,0,0,2467,0.0
2017,local,10079,0,0,10079,0.0
2018,9day,2384,0,0,2384,0.0
2018,local,9995,0,0,9995,0.0
2019,9day,2404,0,0,2404,0.0
2019,local,9958,0,0,9958,0.0
2020,9day,2328,0,0,2328,0.0
2020,local,9984,0,0,9984,0.0
2021,9day,2342,0,0,2342,0.0
2021,local,9956,0,0,9956,0.0
2022,9day,2455,0,0,2455,0.0
2022,local,9910,0,0,9910,0.0
2023,9day,2505,0,0,2505,0.0
2023,local,10036,0,0,10036,0.0
2024,9day,2655,0,0,2655,0.0
2024,local,10211,0,0,10211,0.0
2025,9day,2658,0,0,2658,0.0
2025,local,10152,0,0,10152,0.0
2026,9day,1275,0,0,1275,0.0
2026,local,4782,0,0,4782,0.0
