script,category,lifecycle,risk,project_paths_detected,execute_guard_detected,main_guard_detected,bytes
audit_hkg_t24_50_spec_fidelity.py,audit,maintained_utility,offline_or_derived,False,False,True,16049
audit_hkg_t24_baseline_reproduction.py,audit,retained_reproduction,offline_or_derived,True,False,True,38373
audit_raw_archive.py,audit,maintained_utility,offline_or_derived,False,False,True,8474
audit_tactical_gribstream_deep_sanity.py,audit,maintained_utility,offline_or_derived,False,False,True,51732
backfill_hko_info_gov_hourly_readings.py,acquisition,active_operator,network,True,True,True,63628
backfill_public_weather_to_postgres.py,acquisition,operator_workflow,network,False,True,True,142167
benchmark_public_daily_coverage_gfs_gefs_himawari.py,utility,maintained_utility,offline_or_derived,False,False,True,28146
benchmark_public_weather_speed_optimization.py,utility,maintained_utility,offline_or_derived,False,False,True,36769
build_hkg_t24_governance.py,builder,maintained_utility,offline_or_derived,False,False,True,1237
build_hkg_tmax_phase_ab_analysis.py,builder,retained_reproduction,offline_or_derived,True,False,True,64400
build_last2_gfs_gefs_radar_structured_delivery.py,builder,maintained_utility,network,False,False,True,23388
build_target_parity.py,builder,maintained_utility,offline_or_derived,False,False,True,10938
check_t03_t05_status.py,diagnostic,maintained_utility,offline_or_derived,False,False,True,2055
check_t06_gribstream_status.py,diagnostic,maintained_utility,offline_or_derived,False,False,True,1236
check_t07_t13_gribstream_status.py,diagnostic,maintained_utility,offline_or_derived,False,False,True,2455
decode_himawari_hko_b13_item.py,utility,maintained_utility,offline_or_derived,False,False,True,22313
export_hko_press_archive_offline.py,utility,active_operator,offline_or_derived,True,False,True,21418
fetch_public_gfs_gefs_himawari_smoke.py,acquisition,operator_workflow,network,False,False,True,17473
finalize_hko_official_backfill.py,operations,active_operator,mutation_or_process,True,False,True,11275
generate_dataset_documentation.py,builder,maintained_utility,offline_or_derived,False,False,True,31094
load_datasets_to_mysql.py,utility,active_operator,offline_or_derived,True,False,True,44114
load_hko_forecasts_2000_2026_to_postgres.py,utility,maintained_utility,offline_or_derived,False,False,True,20832
