experiment_folder,file_count,total_bytes,read_pass_count,parse_pass_count,extensions_json
0000_research_state_and_data_contract,44,11547509,44,44,"{"".csv"": 9, "".json"": 6, "".log"": 14, "".md"": 11, "".yaml"": 4}"
0001_official_forecast_pre_cutoff_bias,2,6959,2,2,"{"".md"": 2}"
0002_feature_correlation_atlas,1,8992,1,1,"{"".md"": 1}"
0003_station_network_information_gain,1,19246,1,1,"{"".md"": 1}"
0004_slope_trend_regime_signals,1,16371,1,1,"{"".md"": 1}"
0005_champion_error_autopsy,1,17457,1,1,"{"".md"": 1}"
0006_press_archive_offline_export,1,7087,1,1,"{"".md"": 1}"
0007_long_history_signal_stability,1,6387,1,1,"{"".md"": 1}"
0008_station_network_forensics,1,15196,1,1,"{"".md"": 1}"
0009_nonlinear_threshold_lifts,1,4883,1,1,"{"".md"": 1}"
0010_cross_feature_interaction_screens,1,6331,1,1,"{"".md"": 1}"
0011_past_only_residual_correction_screen,1,8673,1,1,"{"".md"": 1}"
0012_official_forecast_residual_anatomy,1,4076,1,1,"{"".md"": 1}"
0013_official_forecast_feature_conditioning,1,8579,1,1,"{"".md"": 1}"
0014_official_anchor_blend_sensitivity,1,7015,1,1,"{"".md"": 1}"
0015_official_forecast_archive_coverage_gap,1,2364,1,1,"{"".md"": 1}"
0016_past_only_official_anchor_correction_ladder,2,12766,2,2,"{"".json"": 1, "".md"": 1}"
0017_past_only_official_residual_analog_screen,2,17014,2,2,"{"".json"": 1, "".md"": 1}"
0018_past_only_official_expert_blend_screen,2,8048,2,2,"{"".json"": 1, "".md"": 1}"
0019_multistation_info_gain,2,35183,2,2,"{"".json"": 1, "".md"": 1}"
0020_regime_experts,2,16954,2,2,"{"".json"": 1, "".md"": 1}"
0021_failure_modes,2,30125,2,2,"{"".json"": 1, "".md"": 1}"
0022_failure_specialists,2,25162,2,2,"{"".json"": 1, "".md"": 1}"
0023_composite_expert_stack,2,11813,2,2,"{"".json"": 1, "".md"": 1}"
0024_press_archive_raw_detail_gap_audit,2,12676,2,2,"{"".json"": 1, "".md"": 1}"
0025_longhist_signal_atlas,2,26330,2,2,"{"".json"": 1, "".md"": 1}"
0026_pressure_gradient_experts,2,38461,2,2,"{"".json"": 1, "".md"": 1}"
0027_pressure_regime_interaction_atlas,2,20017,2,2,"{"".json"": 1, "".md"": 1}"
0028_smooth_gated_pressure_experts,2,19301,2,2,"{"".json"": 1, "".md"": 1}"
0029_official_residual_source_text_range_dynamics,2,41964,2,2,"{"".json"": 1, "".md"": 1}"
0030_multi_signal_local_residual_lab,2,52053,2,2,"{"".json"": 1, "".md"": 1}"
0031_regime_gated_specialist_selector,2,18824,2,2,"{"".json"": 1, "".md"": 1}"
0032_residual_failure_cluster_discovery,2,31741,2,2,"{"".json"": 1, "".md"": 1}"
0033_smooth_residual_archetype_specialists,2,36003,2,2,"{"".json"": 1, "".md"": 1}"
0034_cluster_centroid_soft_gating,2,23719,2,2,"{"".json"": 1, "".md"": 1}"
0035_forecast_revision_momentum_deep_dive,2,58390,2,2,"{"".json"": 1, "".md"": 1}"
0036_revision_centroid_stack_ablation,2,28124,2,2,"{"".json"": 1, "".md"": 1}"
0037_stack_trust_meta_features,2,38783,2,2,"{"".json"": 1, "".md"": 1}"
0038_forecast_history_state_deepening,2,58890,2,2,"{"".json"": 1, "".md"": 1}"
0039_station_network_residuals,2,73600,2,2,"{"".json"": 1, "".md"": 1}"
0040_station_network_smooth_residuals,2,40559,2,2,"{"".json"": 1, "".md"": 1}"
0041_station_network_forecast_stack,2,55886,2,2,"{"".json"": 1, "".md"": 1}"
0042_trust_router_sensitivity,2,128579,2,2,"{"".json"": 1, "".md"": 1}"
0043_router_simplification_or_archive_refresh_decision,2,16730,2,2,"{"".json"": 1, "".md"": 1}"
0044_forecast_archive_continuous_scored_export,2,9065,2,2,"{"".json"": 1, "".md"": 1}"
0045_missing_press_raw_detail_backfill_or_blocker,2,17707,2,2,"{"".json"": 1, "".md"": 1}"
0046_long_history_cross_family_interaction_atlas,21,100668,21,21,"{"".csv"": 1, "".json"": 3, "".md"": 13, "".yaml"": 4}"
0047_station_contribution_atlas,21,103255,21,21,"{"".csv"": 1, "".json"": 3, "".md"": 13, "".yaml"": 4}"
0048_gated_residual_specialist_screen,21,94376,21,21,"{"".csv"": 1, "".json"": 3, "".md"": 13, "".yaml"": 4}"
0049_router_gate_stack_screen,21,180556,21,21,"{"".csv"": 1, "".json"": 3, "".md"": 13, "".yaml"": 4}"
0050_station_lag_slope_information_atlas,35,689605,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0051_station_regime_interaction_atlas,35,328053,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0052_candidate_residual_feature_design_notes,35,319311,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0053_candidate_timestamp_eligibility_audit,35,277052,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0054_station_only_walkforward_matrix_audit,35,344386,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0055_station_only_walkforward_benchmark,35,283118,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0056_station_only_failure_mode_analysis,35,304387,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0057_station_only_residual_specialist_design_queue,35,295099,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0058_station_only_late_period_bias_repair,35,283077,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0059_station_only_february_march_transition_specialist,35,293530,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0060_station_only_spring_transition_pressure_dew_specialist,35,272139,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0061_station_only_pressure_high_uncertainty_guard,35,289048,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0062_station_only_nearby_temperature_level_error_scale,35,283481,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0063_station_only_guarded_candidate_stack,35,296981,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0064_station_only_heat_proxy_specialist_validation,35,278286,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0065_station_feature_bucket_residual_mining,35,521098,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0066_station_feature_guarded_stack,35,307188,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0067_station_official_family_router,35,343953,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0068_prior_calibrated_fusion_screen,35,383059,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0069_era_source_aware_fusion_model,35,392638,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0070_nonlinear_local_residual_fusion_lab,35,352618,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0071_sparse_specialist_delta_stack,35,330915,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0072_cell_robustness_smooth_shrinkage,35,400029,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0073_source_era_specific_shrinkage,35,393297,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0074_online_residual_memory_halflife,35,317264,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0075_online_residual_memory_refinement,35,331747,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0076_online_no_regret_trust_router,35,298262,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0077_remaining_0075_error_feature_mining,35,365097,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0078_prior_only_residual_specialists,35,302084,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0079_guarded_specialist_combination,35,335136,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0080_source_era_hardened_specialist_gate,35,326789,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0081_rss_gate_stability_stress,35,295565,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0082_refreshed_archive_replay_readiness_audit,35,286624,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0083_expanded_frame_official_anchor_replay,35,297413,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0084_expanded_frame_hardened_official_specialists,35,274751,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0085_long_history_feature_station_residual_bridge,35,275523,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0086_guarded_long_history_residual_specialists,35,273219,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0087_long_history_signal_interaction_specialists,35,279589,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0088_prior_gated_specialist_stack,35,267149,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0089_remaining_error_regime_autopsy,35,313619,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0090_guarded_specialists_from_error_autopsy,35,315164,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0091_near_miss_specialist_failure_analysis,35,298072,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0092_blocking_slice_guarded_specialists,35,299874,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0093_guarded_champion_sensitivity_check,35,326128,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0094_expanded_high_error_interaction_lab,35,337889,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0095_mam_error_direction_split_lab,35,397338,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0096_directional_cell_failure_audit,35,398709,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0097_stable_directional_cell_specialist,35,413346,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0098_source_submonth_stable_cell_specialist,35,292172,35,35,"{"".csv"": 13, "".json"": 5, "".md"": 13, "".yaml"": 4}"
0099_mam_cell_policy_sensitivity,39,18995736,39,39,"{"".csv"": 15, "".json"": 7, "".md"": 13, "".yaml"": 4}"
0100_stable_mam_cell_feature_atlas,2,45472,2,2,"{"".json"": 1, "".md"": 1}"
0101_stable_mam_cell_feature_specialists,2,49833,2,2,"{"".json"": 1, "".md"": 1}"
0102_timestamp_proof_unlock_queue,2,19629,2,2,"{"".json"": 1, "".md"": 1}"
0103_current_rss_safe_continuation,2,15525,2,2,"{"".json"": 1, "".md"": 1}"
