folder,cap_c,changed_rows,correction_residual_corr,clip_match_on_changed,target_date,target_tmax_c,forecast_max_c,official_residual_c,candidate_correction_c,candidate_prediction_c
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-01,12.1,12.0,0.09999999999999964,0.10476122676256679,12.104761226762566
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-02,14.1,14.0,0.09999999999999964,0.10528394657607647,14.105283946576076
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-03,18.1,17.0,1.1000000000000014,0.35,17.35
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-04,18.2,17.0,1.1999999999999993,0.35,17.35
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-05,18.0,19.0,-1.0,-0.35,18.65
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-06,20.4,19.0,1.3999999999999986,0.35,19.35
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-07,19.3,20.0,-0.6999999999999993,-0.35,19.65
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-08,19.4,18.0,1.3999999999999986,0.35,18.35
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-09,17.6,17.0,0.6000000000000014,0.35,17.35
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-10,16.7,18.0,-1.3000000000000007,-0.35,17.65
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-11,18.8,18.0,0.8000000000000007,0.35,18.35
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-12,18.1,18.0,0.10000000000000142,0.10711958210508972,18.10711958210509
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-13,16.2,16.0,0.1999999999999993,0.2070334115479282,16.20703341154793
0111_conditional_information_gain_atlas,0.35,3439,0.8253813209549551,0.8025588833963362,2005-01-14,14.3,13.0,1.3000000000000007,0.35,13.35
