expert_id,row_count,mae_c,bias_c,active_count,placeholder_count
E0_OFFICIAL_RAW_ANCHOR,2191,,,0,2191
E10_DIAGNOSTIC_PROXY,2191,,,0,2191
E11_ARWF_LIVE_SHADOW,2191,,,0,2191
E1_OFFICIAL_RESIDUAL,2191,,,0,2191
E2_TARGET_MEMORY,2191,2.058655993325406,0.0005239605510986244,2191,0
E3_STATION_PROXY,2191,,,0,2191
E4_GFS_MOS,2191,1.7068887588291806,1.089358726187896,730,1461
E5_GEFS_ENSEMBLE,2191,1.6097922394523998,0.7177388605818343,1094,1097
E6_IFS_OPER_SHADOW,2191,,,0,2191
E7_IFS_ENS_SHADOW,2191,,,0,2191
E8_AI_NWP_SHADOW,2191,,,0,2191
E9_CWA_WRF_LIVE_SHADOW,2191,,,0,2191
