month,row_count,mae_c,rmse_c,bias_c,p90_abs_error_c
1,186,1.803763440860215,2.421687406019431,0.4048387096774194,3.7500000000000018
2,169,2.0822485207100594,2.63390501372046,-0.095266272189349,4.220000000000003
3,186,2.0268817204301075,2.58945338193301,0.1440860215053762,4.549999999999999
4,180,2.14,2.9315903912760772,0.28111111111111114,4.819999999999999
5,186,1.6768817204301074,2.293363496925914,0.1790322580645162,4.099999999999998
6,180,1.2644444444444443,1.622412469818394,0.18444444444444463,2.7099999999999986
7,186,1.1704301075268815,1.570956150185756,-0.05322580645161289,2.700000000000003
8,186,1.3591397849462366,1.8046534829568772,0.14408602150537655,3.200000000000003
9,180,1.2183333333333333,1.6411885936722812,0.05833333333333343,2.700000000000003
10,186,1.2263440860215056,1.6617939522651257,0.2413978494623657,2.5500000000000007
11,180,1.1172222222222221,1.5411936211189619,0.36722222222222206,2.6999999999999997
12,186,1.624731182795699,2.24576064179045,0.6612903225806451,3.749999999999999
