experiment_id,folder,title,file_count,total_bytes,frame_class,evidence_class,best_reported_mae_c,reported_baseline_mae_c,computed_delta_c,reported_status,key_summary,primary_concern,recommended_action,reproducibility_note
0000,0000_research_state_and_data_contract,Research State And Data Contract,44,11547509,legacy_narrow_or_long_history_mixed,CONTROL_AUDIT_OR_DATA_ENGINEERING,,,,,,No predictive score should be inferred,"Retain; use as governance, coverage, timestamp, or database evidence.",Self-contained experiment artifacts or legacy report
0001,0001_official_forecast_pre_cutoff_bias,Official Forecast Pre-Cutoff Bias,2,6959,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,1.0047,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0002,0002_feature_correlation_atlas,Feature Correlation Atlas,1,8992,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0003,0003_station_network_information_gain,Station Network Information Gain,1,19246,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0004,0004_slope_trend_regime_signals,"Slope, Trend, And Regime Signals",1,16371,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0005,0005_champion_error_autopsy,Champion Error Autopsy,1,17457,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0006,0006_press_archive_offline_export,Press Archive Offline Export,1,7087,legacy_narrow_or_long_history_mixed,CONTROL_AUDIT_OR_DATA_ENGINEERING,,,,,,No predictive score should be inferred,"Retain; use as governance, coverage, timestamp, or database evidence.",Self-contained experiment artifacts or legacy report
0007,0007_long_history_signal_stability,Long-History Signal Stability,1,6387,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0008,0008_station_network_forensics,Station Network Forensics,1,15196,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0009,0009_nonlinear_threshold_lifts,Nonlinear Threshold Lifts,1,4883,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0010,0010_cross_feature_interaction_screens,Cross-Feature Interaction Screens,1,6331,legacy_narrow_or_long_history_mixed,VALID_DIAGNOSTIC_OR_EXPANDED_RESEARCH_EVIDENCE,,,,,,Scientifically useful signal mapping or expanded-frame test,"Use for hypothesis formation, respecting source timing and frame comparability.",Self-contained experiment artifacts or legacy report
0011,0011_past_only_residual_correction_screen,Past-Only Residual Correction Screen,1,8673,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,1.2304,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0012,0012_official_forecast_residual_anatomy,Official Forecast Residual Anatomy,1,4076,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0013,0013_official_forecast_feature_conditioning,Official Forecast Feature Conditioning,1,8579,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0014,0014_official_anchor_blend_sensitivity,Official Anchor Blend Sensitivity,1,7015,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0015,0015_official_forecast_archive_coverage_gap,Official Forecast Archive Coverage Gap,1,2364,legacy_narrow_or_long_history_mixed,CONTROL_AUDIT_OR_DATA_ENGINEERING,,,,,,No predictive score should be inferred,"Retain; use as governance, coverage, timestamp, or database evidence.",Self-contained experiment artifacts or legacy report
0016,0016_past_only_official_anchor_correction_ladder,Past-Only Official Anchor Correction Ladder,2,12766,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,0.9959,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0017,0017_past_only_official_residual_analog_screen,Past-Only Official Residual Analog Screen,2,17014,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,0.9921,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0018,0018_past_only_official_expert_blend_screen,Past-Only Official Expert Blend Screen,2,8048,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_CAUSAL_EVIDENCE,0.9974,,,,,"Useful narrow-frame causal result, not directly comparable with expanded frame",Preserve and replay on canonical frame.,Self-contained experiment artifacts or legacy report
0019,0019_multistation_info_gain,Multistation Attribute Information-Gain Matrix,2,35183,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0092,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0020,0020_regime_experts,Regime Expert Factory,2,16954,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0071,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0021,0021_failure_modes,Official Forecast Failure-Mode Segmentation,2,30125,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0022,0022_failure_specialists,Fold-Local Failure-Mode Specialists,2,25162,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0074,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0023,0023_composite_expert_stack,Composite Official-Anchor Expert Stack,2,11813,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0002,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0024,0024_press_archive_raw_detail_gap_audit,Press Archive Raw-Detail Gap Audit,2,12676,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0025,0025_longhist_signal_atlas,Long-History Calendar-Adjusted Signal Atlas,2,26330,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0026,0026_pressure_gradient_experts,Pressure-Gradient Official Residual Experts,2,38461,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0001,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0027,0027_pressure_regime_interaction_atlas,Pressure-Regime Interaction Atlas,2,20017,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0037,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0028,0028_smooth_gated_pressure_experts,Smooth Gated Pressure Experts,2,19301,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0021,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0029,0029_official_residual_source_text_range_dynamics,Official Residual Source/Text/Range Dynamics,2,41964,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0038,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0030,0030_multi_signal_local_residual_lab,Multi-Signal Local Residual Lab,2,52053,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0014,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0031,0031_regime_gated_specialist_selector,Regime-Gated Specialist Selector,2,18824,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,1.0014,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0032,0032_residual_failure_cluster_discovery,Residual Failure Cluster Discovery,2,31741,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9962,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0033,0033_smooth_residual_archetype_specialists,Smooth Residual Archetype Specialists,2,36003,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9935,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0034,0034_cluster_centroid_soft_gating,Cluster-Centroid Soft Gating,2,23719,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9948,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0035,0035_forecast_revision_momentum_deep_dive,Forecast Revision Momentum Deep Dive,2,58390,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9935,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0036,0036_revision_centroid_stack_ablation,Revision-Centroid Stack Ablation,2,28124,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9927,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0037,0037_stack_trust_meta_features,Stack Trust Meta-Features,2,38783,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9898,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0038,0038_forecast_history_state_deepening,Forecast-History State Deepening,2,58890,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,0.9898,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
0039,0039_station_network_residuals,Station-Network Forecast Residual Interaction Mining,2,73600,legacy_narrow_or_long_history_mixed,VALID_FRAME_SPECIFIC_PROXY_EVIDENCE,,,,,,Useful narrow-frame causal/diagnostic result with station/proxy eligibility caveats,Preserve insight; replay on canonical cleaned frame before comparison.,Self-contained experiment artifacts or legacy report
